Caitlyn	caitlyn	Caitlyn
Jenner	jenner	Jenner
is	is	is
not	not	not
afraid	afraid	afraid
to	to	to
speak	speak	speak
her	her	her
mind	mind	mind
.	.	.
The	the	The
Olympian	olympian	Olympian
turned	turn	turned
reality	realiti	reality
TV	tv	TV
star	star	star
is	is	is
making	make	making
news	news	news
once	onc	once
again	again	again
.	.	.
This	this	This
week	week	week
,	,	,
while	while	while
promoting	promot	promoting
her	her	her
new	new	new
book	book	book
,	,	,
The	the	The
Secrets	secret	Secrets
of	of	of
My	my	My
Life	life	Life
,	,	,
she	she	she
admitted	admit	admitted
that	that	that
while	while	while
she	she	she
is	is	is
a	a	a
Republican	republican	Republican
and	and	and
voted	vote	voted
for	for	for
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
she	she	she
is	is	is
not	not	not
happy	happi	happy
with	with	with
all	all	all
of	of	of
the	the	the
president	presid	president
s	s	s
policies	polici	policy
and	and	and
actions	action	action
.	.	.
Jenner	jenner	Jenner
spoke	spoke	spoke
to	to	to
a	a	a
packed	pack	packed
audience	audienc	audience
at	at	at
the	the	the
92nd	92nd	92nd
Street	street	Street
Y	y	Y
Community	communiti	Community
Center	center	Center
in	in	in
New	new	New
York	york	York
this	this	this
week	week	week
.	.	.
She	she	She
says	say	say
that	that	that
she	she	she
is	is	is
looking	look	looking
into	into	into
where	where	where
her	her	her
voice	voic	voice
can	can	can
be	be	be
heard	heard	heard
the	the	the
loudest	loudest	loudest
and	and	and
how	how	how
she	she	she
can	can	can
do	do	do
the	the	the
most	most	most
to	to	to
impact	impact	impact
her	her	her
community	communiti	community
.	.	.
She	she	She
says	say	say
that	that	that
she	she	she
does	doe	doe
not	not	not
regret	regret	regret
voting	vote	voting
for	for	for
the	the	the
president	presid	president
but	but	but
she	she	she
is	is	is
not	not	not
thrilled	thrill	thrilled
with	with	with
everything	everyth	everything
has	has	ha
done	done	done
.	.	.
In	in	In
the	the	the
past	past	past
she	she	she
has	has	ha
said	said	said
that	that	that
she	she	she
is	is	is
a	a	a
Republican	republican	Republican
because	becaus	because
she	she	she
supports	support	support
the	the	the
Constitution	constitut	Constitution
and	and	and
limited	limit	limited
government	govern	government
.	.	.
While	while	While
she	she	she
says	say	say
that	that	that
she	she	she
has	has	ha
no	no	no
regrets	regret	regret
about	about	about
voting	vote	voting
for	for	for
the	the	the
president	presid	president
,	,	,
Jenner	jenner	Jenner
admits	admit	admits
,	,	,
As	as	As
far	far	far
as	as	a
LGBT	lgbt	LGBT
issues	issu	issue
,	,	,
yes	yes	yes
,	,	,
he	he	he
s	s	s
made	made	made
some	some	some
mistakes	mistak	mistake
.	.	.
I	i	I
don	don	don
t	t	t
support	support	support
him	him	him
in	in	in
everything	everyth	everything
that	that	that
he	he	he
does	doe	doe
.	.	.
But	but	But
we	we	we
needed	need	needed
to	to	to
shake	shake	shake
the	the	the
system	system	system
up	up	up
.	.	.
At	at	At
the	the	the
same	same	same
time	time	time
,	,	,
Jenner	jenner	Jenner
said	said	said
,	,	,
My	my	My
loyalties	loyalti	loyalty
are	are	are
not	not	not
with	with	with
Donald	donald	Donald
Trump	trump	Trump
.	.	.
I	i	I
will	will	will
come	come	come
after	after	after
him	him	him
and	and	and
come	come	come
after	after	after
Republicans	republican	Republicans
if	if	if
they	they	they
come	come	come
after	after	after
my	my	my
community	communiti	community
.	.	.
I	i	I
ve	ve	ve
got	got	got
a	a	a
voice	voic	voice
and	and	and
they	they	they
better	better	better
listen	listen	listen
,	,	,
OK	ok	OK
?	?	?
I	i	I
will	will	will
come	come	come
after	after	after
them	them	them
.	.	.
When	when	When
a	a	a
member	member	member
of	of	of
the	the	the
audience	audienc	audience
asked	ask	asked
if	if	if
she	she	she
had	had	had
any	ani	any
plans	plan	plan
to	to	to
run	run	run
for	for	for
elected	elect	elected
office	offic	office
,	,	,
Jenner	jenner	Jenner
replied	repli	replied
,	,	,
Would	would	Would
I	i	I
be	be	be
better	better	better
working	work	working
from	from	from
the	the	the
inside	insid	inside
