Nicolas	nicola	Nicolas
J	j	J
S	s	S
Davies	davi	Davies
Consortium	consortium	Consortium
NewsSeventy	newsseventi	NewsSeventy
-seven	-seven	-seven
million	million	million
people	peopl	people
in	in	in
North	north	North
and	and	and
South	south	South
Korea	korea	Korea
find	find	find
themselves	themselv	themselves
directly	direct	directly
in	in	in
the	the	the
line	line	line
of	of	of
fire	fire	fire
from	from	from
the	the	the
threat	threat	threat
of	of	of
a	a	a
Second	second	Second
Korean	korean	Korean
War	war	War
.	.	.
The	the	The
rest	rest	rest
of	of	of
the	the	the
world	world	world
is	is	is
recoiling	recoil	recoiling
in	in	in
horror	horror	horror
from	from	from
the	the	the
scale	scale	scale
of	of	of
civilian	civilian	civilian
casualties	casualti	casualty
such	such	such
a	a	a
war	war	war
would	would	would
cause	caus	cause
and	and	and
the	the	the
unthinkable	unthink	unthinkable
prospect	prospect	prospect
that	that	that
either	either	either
side	side	side
might	might	might
actually	actual	actually
use	use	use
nuclear	nuclear	nuclear
weapons	weapon	weapon
.	.	.
Since	sinc	Since
the	the	the
first	first	first
Korean	korean	Korean
War	war	War
killed	kill	killed
at	at	at
least	least	least
20	20	20
percent	percent	percent
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
population	popul	population
and	and	and
left	left	left
the	the	the
country	countri	country
in	in	in
ruins	ruin	ruin
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
has	has	ha
repeatedly	repeat	repeatedly
failed	fail	failed
to	to	to
follow	follow	follow
through	through	through
on	on	on
diplomacy	diplomaci	diplomacy
to	to	to
establish	establish	establish
a	a	a
lasting	last	lasting
peace	peac	peace
in	in	in
Korea	korea	Korea
and	and	and
has	has	ha
instead	instead	instead
kept	kept	kept
reverting	revert	reverting
to	to	to
illegal	illeg	illegal
and	and	and
terrifying	terrifi	terrifying
threats	threat	threat
of	of	of
war	war	war
.	.	.
Most	most	Most
significantly	signific	significantly
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
has	has	ha
waged	wage	waged
a	a	a
relentless	relentless	relentless
propaganda	propaganda	propaganda
campaign	campaign	campaign
to	to	to
discount	discount	discount
North	north	North
Korea	korea	Korea
s	s	s
legitimate	legitim	legitimate
defense	defens	defense
concerns	concern	concern
as	as	a
it	it	it
confronts	confront	confronts
the	the	the
threat	threat	threat
of	of	of
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
war	war	war
machine	machin	machine
that	that	that
has	has	ha
only	onli	only
grown	grown	grown
more	more	more
dangerous	danger	dangerous
since	sinc	since
the	the	the
last	last	last
time	time	time
it	it	it
destroyed	destroy	destroyed
North	north	North
Korea	korea	Korea
.	.	.
The	the	The
North	north	North
has	has	ha
lived	live	lived
under	under	under
this	this	this
threat	threat	threat
for	for	for
65	65	65
years	year	year
and	and	and
has	has	ha
watched	watch	watched
Iraq	iraq	Iraq
and	and	and
Libya	libya	Libya
destroyed	destroy	destroyed
after	after	after
they	they	they
gave	gave	gave
up	up	up
their	their	their
nuclear	nuclear	nuclear
weapons	weapon	weapon
programs	program	program
.	.	.
When	when	When
North	north	North
Korea	korea	Korea
discovered	discov	discovered
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
plan	plan	plan
for	for	for
a	a	a
Second	second	Second
Korean	korean	Korean
War	war	War
on	on	on
South	south	South
Korea	korea	Korea
s	s	s
military	militari	military
computer	comput	computer
network	network	network
in	in	in
September	septemb	September
2016	2016	2016
,	,	,
its	it	it
leaders	leader	leader
quite	quit	quite
rationally	ration	rationally
concluded	conclud	concluded
that	that	that
a	a	a
viable	viabl	viable
nuclear	nuclear	nuclear
deterrent	deterr	deterrent
is	is	is
the	the	the
only	onli	only
way	way	way
to	to	to
guarantee	guarante	guarantee
their	their	their
country	countri	country
s	s	s
safety	safeti	safety
.	.	.
What	what	What
does	doe	doe
it	it	it
say	say	say
about	about	about
the	the	the
role	role	role
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
is	is	is
playing	play	playing
in	in	in
the	the	the
world	world	world
that	that	that
the	the	the
only	onli	only
way	way	way
North	north	North
Korea	korea	Korea
s	s	s
leaders	leader	leader
believe	believ	believe
they	they	they
can	can	can
keep	keep	keep
their	their	their
own	own	own
people	peopl	people
safe	safe	safe
is	is	is
to	to	to
develop	develop	develop
weapons	weapon	weapon
that	that	that
could	could	could
kill	kill	kill
millions	million	million
of	of	of
Americans	american	Americans
