It	it	It
s	s	s
an	an	an
old	old	old
story	stori	story
A	a	A
demographic	demograph	demographic
won	won	won
t	t	t
vote	vote	vote
Republican	republican	Republican
,	,	,
so	so	so
Republicans	republican	Republicans
find	find	find
ways	way	way
to	to	to
prevent	prevent	prevent
said	said	said
demographic	demograph	demographic
from	from	from
voting	vote	voting
instead	instead	instead
of	of	of
figuring	figur	figuring
out	out	out
what	what	what
they	they	they
can	can	can
do	do	do
to	to	to
get	get	get
that	that	that
group	group	group
to	to	to
vote	vote	vote
for	for	for
them	them	them
.	.	.
An	an	An
Arizona	arizona	Arizona
Republican	republican	Republican
is	is	is
once	onc	once
again	again	again
engaging	engag	engaging
in	in	in
this	this	this
nonsense	nonsens	nonsense
by	by	by
claiming	claim	claiming
that	that	that
college	colleg	college
students	student	student
unfairly	unfair	unfairly
influence	influenc	influence
elections	elect	election
because	becaus	because
they	they	they
register	regist	register
to	to	to
vote	vote	vote
where	where	where
they	they	they
go	go	go
to	to	to
school	school	school
,	,	,
and	and	and
not	not	not
where	where	where
their	their	their
permanent	perman	permanent
addresses	address	address
are	are	are
.	.	.
Bob	bob	Bob
Thorpe	thorp	Thorpe
s	s	s
claim	claim	claim
is	is	is
that	that	that
the	the	the
votes	vote	vote
of	of	of
college	colleg	college
students	student	student
dilute	dilut	dilute
the	the	the
votes	vote	vote
of	of	of
full	full	full
-time	-time	-time
residents	resid	resident
in	in	in
local	local	local
elections	elect	election
.	.	.
Thorpe	thorp	Thorpe
represents	repres	represents
Flagstaff	flagstaff	Flagstaff
,	,	,
which	which	which
is	is	is
home	home	home
to	to	to
Northern	northern	Northern
Arizona	arizona	Arizona
University	univers	University
.	.	.
Republicans	republican	Republicans
had	had	had
a	a	a
difficult	difficult	difficult
time	time	time
holding	hold	holding
their	their	their
seats	seat	seat
in	in	in
that	that	that
particular	particular	particular
district	district	district
.	.	.
What	what	What
Thorpe	thorp	Thorpe
wants	want	want
to	to	to
do	do	do
is	is	is
prohibit	prohibit	prohibit
students	student	student
from	from	from
using	use	using
their	their	their
dorms	dorm	dorm
or	or	or
other	other	other
college	colleg	college
addresses	address	address
from	from	from
registering	regist	registering
to	to	to
vote	vote	vote
.	.	.
Thorpe	thorp	Thorpe
tried	tri	tried
to	to	to
spin	spin	spin
his	his	his
voter	voter	voter
suppression	suppress	suppression
tactic	tactic	tactic
into	into	into
something	someth	something
positive	posit	positive
with	with	with
this	this	this
absolutely	absolut	absolutely
transparent	transpar	transparent
lie	lie	lie
This	this	This
proposal	propos	proposal
will	will	will
address	address	address
several	sever	several
problems	problem	problem
with	with	with
voting	vote	voting
in	in	in
Arizona	arizona	Arizona
s	s	s
college	colleg	college
communities	communiti	community
while	while	while
ensuring	ensur	ensuring
that	that	that
voting	vote	voting
rights	right	right
are	are	are
preserved	preserv	preserved
for	for	for
all	all	all
Arizona	arizona	Arizona
voters	voter	voter
.	.	.
Preserving	preserv	Preserving
voter	voter	voter
rights	right	right
for	for	for
all	all	all
Arizonans	arizonan	Arizonans
.	.	.
Ha	ha	Ha
!	!	!
There	there	There
s	s	s
a	a	a
problem	problem	problem
beyond	beyond	beyond
the	the	the
obvious	obvious	obvious
one	one	one
of	of	of
voter	voter	voter
suppression	suppress	suppression
Thorpe	thorp	Thorpe
makes	make	make
no	no	no
mention	mention	mention
of	of	of
other	other	other
part	part	part
-time	-time	-time
residents	resid	resident
who	who	who
flee	flee	flee
colder	colder	colder
states	state	state
to	to	to
reside	resid	reside
in	in	in
Arizona	arizona	Arizona
for	for	for
six	six	six
months	month	month
out	out	out
of	of	of
the	the	the
