During	dure	During
an	an	an
appearance	appear	appearance
on	on	on
Meet	meet	Meet
the	the	the
Press	press	Press
Sunday	sunday	Sunday
morning	morn	morning
,	,	,
Republican	republican	Republican
Senator	senat	Senator
Tom	tom	Tom
Cotton	cotton	Cotton
AR	ar	AR
was	was	wa
grilled	grill	grilled
by	by	by
the	the	the
show	show	show
s	s	s
host	host	host
Chuck	chuck	Chuck
Todd	todd	Todd
.	.	.

Todd	todd	Todd
repeatedly	repeat	repeatedly
asked	ask	asked
Cotton	cotton	Cotton
to	to	to
make	make	make
a	a	a
case	case	case
for	for	for
the	the	the
presumptive	presumpt	presumptive
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
.	.	.
Spoiler	spoiler	Spoiler
alert	alert	alert
Cotton	cotton	Cotton
was	was	wa
unable	unabl	unable
to	to	to
do	do	do
explain	explain	explain
why	whi	why
he	he	he
supports	support	support
Trump	trump	Trump
,	,	,
other	other	other
than	than	than
the	the	the
fact	fact	fact
that	that	that
he	he	he
is	is	is
not	not	not
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Here	here	Here
s	s	s
a	a	a
transcript	transcript	transcript
of	of	of
the	the	the
relevant	relev	relevant
portion	portion	portion
of	of	of
the	the	the
interview	interview	interview
Chuck	chuck	Chuck
Todd	todd	Todd
Okay	okay	Okay
,	,	,
fine	fine	fine
,	,	,
but	but	but
you	you	you
just	just	just
gave	gave	gave
the	the	the
case	case	case
against	against	against
Clinton	clinton	Clinton
.	.	.

What	what	What
s	s	s
the	the	the
case	case	case
for	for	for
Trump	trump	Trump
?	?	?

You	you	You
just	just	just
did	did	did
a	a	a
whole	whole	whole
speech	speech	speech
by	by	by
the	the	the
way	way	way
earlier	earlier	earlier
this	this	this
weekend	weekend	weekend
.	.	.

You	you	You
didn	didn	didn
t	t	t
even	even	even
mention	mention	mention
his	his	his
name	name	name
.	.	.

You	you	You
laid	laid	laid
out	out	out
a	a	a
strong	strong	strong
case	case	case
against	against	against
her	her	her
.	.	.

But	but	But
you	you	you
did	did	did
not	not	not
make	make	make
a	a	a
case	case	case
for	for	for
him	him	him
.	.	.

Make	make	Make
the	the	the
case	case	case
for	for	for
him	him	him
.	.	.
Senator	senat	Senator
Cotton	cotton	Cotton
Donald	donald	Donald
Trump	trump	Trump
can	can	can
ultimately	ultim	ultimately
make	make	make
the	the	the
case	case	case
for	for	for
himself	himself	himself
.	.	.

But	but	But
Donald	donald	Donald
Trump	trump	Trump
,	,	,
like	like	like
most	most	most
Americans	american	Americans
,	,	,
like	like	like
most	most	most
Republicans	republican	Republicans
,	,	,
believe	believ	believe
in	in	in
protecting	protect	protecting
America	america	America
s	s	s
core	core	core
national	nation	national
interests	interest	interest
.	.	.

He	he	He
believes	believ	belief
as	as	a
do	do	do
I	i	I
,	,	,
as	as	a
do	do	do
most	most	most
Americans	american	Americans
