Take	take	Take
note	note	note
,	,	,
these	these	these
are	are	are
the	the	the
kinds	kind	kind
of	of	of
students	student	student
employers	employ	employer
will	will	will
be	be	be
falling	fall	falling
all	all	all
over	over	over
themselves	themselv	themselves
to	to	to
hire	hire	hire
.	.	.

Lets	let	Lets
be	be	be
honest	honest	honest
,	,	,
these	these	these
students	student	student
terrorists	terrorist	terrorist
demanding	demand	demanding
safe	safe	safe
spaces	space	space
in	in	in
the	the	the
work	work	work
place	place	place
are	are	are
not	not	not
going	go	going
to	to	to
be	be	be
very	veri	very
employable	employ	employable
,	,	,
and	and	and
are	are	are
likely	like	likely
to	to	to
find	find	find
themselves	themselv	themselves
flipping	flip	flipping
burgers	burger	burger
for	for	for
less	less	le
than	than	than
15	15	15
hour	hour	hour
A	a	A
group	group	group
of	of	of
sensible	sensibl	sensible
Princeton	princeton	Princeton
students	student	student
is	is	is
standing	stand	standing
up	up	up
to	to	to
the	the	the
mob	mob	mob
,	,	,
and	and	and
demanding	demand	demanding
that	that	that
Princeton	princeton	Princeton
s	s	s
president	presid	president
Eisgruber	eisgrub	Eisgruber
do	do	do
the	the	the
same	same	same
.	.	.

The	the	The
whole	whole	whole
statement	statement	statement
deserves	deserv	deserves
to	to	to
be	be	be
seen	seen	seen
The	the	The
Legislative	legisl	Legislative
Committee	committe	Committee
of	of	of
the	the	the
Princeton	princeton	Princeton
Open	open	Open
Campus	campus	Campus
Coalition	coalit	Coalition
has	has	ha
sent	sent	sent
the	the	the
following	follow	following
letter	letter	letter
to	to	to
President	presid	President
Eisgruber	eisgrub	Eisgruber
Dear	dear	Dear
President	presid	President
Eisgruber	eisgrub	Eisgruber
,	,	,
We	we	We
write	write	write
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
Princeton	princeton	Princeton
Open	open	Open
Campus	campus	Campus
Coalition	coalit	Coalition
to	to	to
request	request	request
a	a	a
meeting	meet	meeting
with	with	with
you	you	you
so	so	so
that	that	that
we	we	we
may	may	may
present	present	present
our	our	our
perspectives	perspect	perspective
on	on	on
the	the	the
events	event	event
of	of	of
recent	recent	recent
weeks	week	week
.	.	.

We	we	We
are	are	are
concerned	concern	concerned
mainly	main	mainly
with	with	with
the	the	the
importance	import	importance
of	of	of
preserving	preserv	preserving
an	an	an
intellectual	intellectu	intellectual
culture	cultur	culture
in	in	in
which	which	which
allmembers	allmemb	allmembers
of	of	of
the	the	the
Princeton	princeton	Princeton
community	communiti	community
feel	feel	feel
free	free	free
to	to	to
engage	engag	engage
in	in	in
civil	civil	civil
discussion	discuss	discussion
and	and	and
to	to	to
express	express	express
their	their	their
convictions	convict	conviction
without	without	without
fear	fear	fear
of	of	of
being	be	being
subjected	subject	subjected
to	to	to
intimidation	intimid	intimidation
or	or	or
abuse	abus	abuse
.	.	.

Thanks	thank	Thanks
to	to	to
recent	recent	recent
polls	poll	poll
,	,	,
surveys	survey	survey
,	,	,
and	and	and
petitions	petit	petition
,	,	,
we	we	we
have	have	have
reason	reason	reason
to	to	to
believe	believ	believe
that	that	that
our	our	our
concerns	concern	concern
are	are	are
shared	share	shared
by	by	by
a	a	a
majority	major	majority
of	of	of
our	our	our
fellow	fellow	fellow
Princeton	princeton	Princeton
undergraduates	undergradu	undergraduate
.	.	.
Academic	academ	Academic
discourse	discours	discourse
consists	consist	consists
of	of	of
reasoned	reason	reasoned
arguments	argument	argument
.	.	.

We	we	We
simply	simpli	simply
wish	wish	wish
to	to	to
present	present	present
our	our	our
own	own	own
reasoned	reason	reasoned
arguments	argument	argument
and	and	and
engage	engag	engage
you	you	you
and	and	and
other	other	other
senior	senior	senior
administrators	administr	administrator
in	in	in
dialogue	dialogu	dialogue
.	.	.

We	we	We
will	will	will
not	not	not
occupy	occupi	occupy
your	your	your
office	offic	office
,	,	,
and	and	and
,	,	,
though	though	though
we	we	we
respectfully	respect	respectfully
request	request	request
a	a	a
minimum	minimum	minimum
of	of	of
an	an	an
hour	hour	hour
of	of	of
your	your	your
time	time	time
,	,	,
we	we	we
will	will	will
only	onli	only
