Donald	donald	Donald
Trump	trump	Trump
ignited	ignit	ignited
a	a	a
firestorm	firestorm	firestorm
on	on	on
Wednesday	wednesday	Wednesday
when	when	when
he	he	he
told	told	told
MSNBC	msnbc	MSNBC
s	s	s
Chris	chris	Chris
Matthew	matthew	Matthew
s	s	s
that	that	that
abortion	abort	abortion
should	should	should
be	be	be
banned	ban	banned
and	and	and
women	women	woman
should	should	should
be	be	be
punished	punish	punished
for	for	for
having	have	having
them	them	them
.	.	.

When	when	When
he	he	he
realized	realiz	realized
that	that	that
people	peopl	people
were	were	were
flipping	flip	flipping
their	their	their
lids	lid	lid
,	,	,
he	he	he
backtracked	backtrack	backtracked
and	and	and
said	said	said
he	he	he
meant	meant	meant
doctors	doctor	doctor
should	should	should
be	be	be
punished	punish	punished
.	.	.

Now	now	Now
his	his	his
campaign	campaign	campaign
spokeswoman	spokeswoman	spokeswoman
,	,	,
Katrina	katrina	Katrina
Pierson	pierson	Pierson
,	,	,
is	is	is
adding	ad	adding
to	to	to
the	the	the
controversy	controversi	controversy
after	after	after
she	she	she
yelled	yell	yelled
at	at	at
CNN	cnn	CNN
anchor	anchor	anchor
Alisyn	alisyn	Alisyn
Camerota	camerota	Camerota
Thursday	thursday	Thursday
morning	morn	morning
for	for	for
repeating	repeat	repeating
Trump	trump	Trump
s	s	s
words	word	word
verbatim	verbatim	verbatim
.	.	.
During	dure	During
the	the	the
interview	interview	interview
,	,	,
Pierson	pierson	Pierson
became	becam	became
visibly	visibl	visibly
angry	angri	angry
when	when	when
Camerota	camerota	Camerota
asked	ask	asked
her	her	her
about	about	about
Trump	trump	Trump
wanting	want	wanting
to	to	to
ban	ban	ban
abortions	abort	abortion
.	.	.

She	she	She
told	told	told
the	the	the
host	host	host
that	that	that
her	her	her
boss	boss	bos
never	never	never
called	call	called
for	for	for
a	a	a
ban	ban	ban
on	on	on
abortion	abort	abortion
.	.	.

Actually	actual	Actually
,	,	,
he	he	he
did	did	did
.	.	.

Several	sever	Several
times	time	time
during	dure	during
his	his	his
interview	interview	interview
with	with	with
MSNBC	msnbc	MSNBC
,	,	,
and	and	and
Camerota	camerota	Camerota
pointed	point	pointed
that	that	that
out	out	out
by	by	by
repeating	repeat	repeating
his	his	his
exact	exact	exact
words	word	word
He	he	He
said	said	said
,	,	,
I	i	I
would	would	would
ban	ban	ban
it	it	it
.	.	.

Katrina	katrina	Katrina
,	,	,
You	you	You
are	are	are
mincing	minc	mincing
words	word	word
here	here	here
.	.	.

Pierson	pierson	Pierson
responded	respond	responded
This	this	This
is	is	is
a	a	a
misspeak	misspeak	misspeak
,	,	,
Alisyn	alisyn	Alisyn
.	.	.

No	no	No
Alisyn	alisyn	Alisyn
,	,	,
there	there	there
was	was	wa
a	a	a
misspeak	misspeak	misspeak
here	here	here
,	,	,
and	and	and
you	you	you
have	have	have
a	a	a
presidential	presidenti	presidential
candidate	candid	candidate
that	that	that
clarified	clarifi	clarified
the	the	the
record	record	record
.	.	.

Not	not	Not
once	onc	once
,	,	,
but	but	but
twice	twice	twice
.	.	.

Although	although	Although
he	he	he
did	did	did
clarify	clarifi	clarify
his	his	his
abortion	abort	abortion
position	posit	position
,	,	,
his	his	his
clarification	clarif	clarification
was	was	wa
just	just	just
as	as	a
,	,	,
confusing	confus	confusing
.	.	.

First	first	First
,	,	,
he	he	he
said	said	said
it	it	it
should	should	should
be	be	be
up	up	up
to	to	to
the	the	the
state	state	state
.	.	.

Then	then	Then
he	he	he
said	said	said
At	at	At
this	this	this
point	point	point
Pierson	pierson	Pierson
completely	complet	completely
lost	lost	lost
it	it	it
,	,	,
cutting	cut	cutting
the	the	the
host	host	host
off	off	off
,	,	,
she	she	she
shouted	shout	shouted
No	no	No
,	,	,
they	they	they
weren	weren	weren
t	t	t
confusing	confus	confusing
!	!	!

Because	becaus	Because
the	the	the
first	first	first
thing	thing	thing
was	was	wa
about	about	about
a	a	a
ban	ban	ban
.	.	.

That	that	That
s	s	s
correct	correct	correct
and	and	and
that	that	that
s	s	s
correct	correct	correct
,	,	,
it	it	it
should	should	should
be	be	be
down	down	down
to	to	to
the	the	the
states	state	state
because	becaus	because
that	that	that
s	s	s
what	what	what
the	the	the
potential	potenti	potential
ban	ban	ban
was	was	wa
talking	talk	talking
about	about	about
.	.	.

Unfazed	unfaz	Unfazed
by	by	by
her	her	her
anger	anger	anger
,	,	,
the	the	the
CNN	cnn	CNN
host	host	host
continued	continu	continued
to	to	to
repeat	repeat	repeat
Trump	trump	Trump
s	s	s
words	word	word
back	back	back
to	to	to
her	her	her
,	,	,
demolishing	demolish	demolishing
her	her	her
it	it	it
was	was	wa
about	about	about
the	the	the
states	state	state
talking	talk	talking
point	point	point
.	.	.

She	she	She
also	also	also
muses	muse	mus
that	that	that
it	it	it
is	is	is
a	a	a
window	window	window
into	into	into
Trump	trump	Trump
s	s	s
mind	mind	mind
and	and	and
asks	ask	asks
the	the	the
spokeswoman	spokeswoman	spokeswoman
if	if	if
he	he	he
has	has	ha
even	even	even
bothered	bother	bothered
to	to	to
sit	sit	sit
down	down	down
with	with	with
policy	polici	policy
advisors	advisor	advisor
and	and	and
discuss	discuss	discus
this	this	this
issue	issu	issue
.	.	.

After	after	After
about	about	about
a	a	a
minute	minut	minute
of	of	of
back	back	back
and	and	and
forth	forth	forth
with	with	with
the	the	the
CNN	cnn	CNN
host	host	host
refusing	refus	refusing
to	to	to
let	let	let
Pierson	pierson	Pierson
glass	glass	glass
over	over	over
the	the	the
fact	fact	fact
that	that	that
he	he	he
said	said	said
women	women	woman
should	should	should
be	be	be
punished	punish	punished
if	if	if
they	they	they
terminate	termin	terminate
a	a	a
pregnancy	pregnanc	pregnancy
,	,	,
the	the	the
Trump	trump	Trump
puppet	puppet	puppet
repeated	repeat	repeated
It	it	It
was	was	wa
a	a	a
misspeak	misspeak	misspeak
!	!	!

How	how	How
many	mani	many
times	time	time
do	do	do
I	i	I
have	have	have
to	to	to
say	say	say
that	that	that
?	?	?

This	this	This
was	was	wa
a	a	a
complete	complet	complete
misspeak	misspeak	misspeak
during	dure	during
a	a	a
conversation	convers	conversation
over	over	over
a	a	a
hypothetical	hypothet	hypothetical
concept	concept	concept
and	and	and
there	there	there
was	was	wa
a	a	a
clarification	clarif	clarification
issue	issu	issue
.	.	.

Here	here	Here
s	s	s
the	the	the
problem	problem	problem
with	with	with
this	this	this
it	it	it
was	was	wa
a	a	a
misspeak	misspeak	misspeak
nonsense	nonsens	nonsense
Trump	trump	Trump
has	has	ha
obviously	obvious	obviously
never	never	never
considered	consid	considered
the	the	the
ramifications	ramif	ramification
of	of	of
his	his	his
pro	pro	pro
-life	-life	-life
stance	stanc	stance
and	and	and
Matthews	matthew	Matthews
shone	shone	shone
a	a	a
glaring	glare	glaring
light	light	light
on	on	on
that	that	that
.	.	.

The	the	The
entire	entir	entire
point	point	point
of	of	of
the	the	the
question	question	question
was	was	wa
to	to	to
see	see	see
whether	whether	whether
or	or	or
not	not	not
the	the	the
blustering	bluster	blustering
tough	tough	tough
guy	guy	guy
had	had	had
actually	actual	actually
sat	sat	sat
down	down	down
and	and	and
laid	laid	laid
out	out	out
a	a	a
concrete	concret	concrete
agenda	agenda	agenda
on	on	on
the	the	the
issue	issu	issue
of	of	of
women	women	woman
s	s	s
rights	right	right
,	,	,
his	his	his
response	respons	response
showed	show	showed
that	that	that
he	he	he
clearly	clear	clearly
has	has	ha
not	not	not
.	.	.

Furthermore	furthermor	Furthermore
,	,	,
Trump	trump	Trump
and	and	and
his	his	his
people	peopl	people
can	can	can
say	say	say
that	that	that
he	he	he
isFurthermore	isfurthermor	isFurthermore
,	,	,
Trump	trump	Trump
and	and	and
his	his	his
people	peopl	people
can	can	can
say	say	say
that	that	that
he	he	he
is	is	is
pro	pro	pro
-life	-life	-life
all	all	all
they	they	they
want	want	want
,	,	,
but	but	but
nobody	nobodi	nobody
actually	actual	actually
believes	believ	belief
that	that	that
.	.	.

He	he	He
did	did	did
not	not	not
just	just	just
change	chang	change
his	his	his
mind	mind	mind
this	this	this
year	year	year
,	,	,
he	he	he
has	has	ha
always	alway	always
been	been	been
pro	pro	pro
-choice	-choic	-choice
,	,	,
but	but	but
he	he	he
isn	isn	isn
t	t	t
saying	say	saying
that	that	that
because	becaus	because
he	he	he
wants	want	want
to	to	to
appease	appeas	appease
the	the	the
right	right	right
-wing	-wing	-wing
s	s	s
base	base	base
.	.	.

It	it	It
s	s	s
actually	actual	actually
pretty	pretti	pretty
ironic	iron	ironic
,	,	,
someone	someon	someone
who	who	who
puts	put	put
on	on	on
this	this	this
big	big	big
show	show	show
of	of	of
not	not	not
caring	care	caring
what	what	what
other	other	other
people	peopl	people
think	think	think
and	and	and
refusing	refus	refusing
to	to	to
be	be	be
politically	polit	politically
correct	correct	correct
is	is	is
too	too	too
afraid	afraid	afraid
to	to	to
stand	stand	stand
up	up	up
for	for	for
his	his	his
own	own	own
beliefs	belief	belief
.	.	.

And	and	And
if	if	if
he	he	he
can	can	can
t	t	t
do	do	do
that	that	that
for	for	for
himself	himself	himself
,	,	,
what	what	what
makes	make	make
Republicans	republican	Republicans
think	think	think
he	he	he
could	could	could
do	do	do
it	it	it
for	for	for
the	the	the
country	countri	country
?	?	?
Watch	watch	Watch
the	the	the
interview	interview	interview
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screenshot	screenshot	screenshot

