America	america	America
has	has	ha
never	never	never
seen	seen	seen
two	two	two
people	peopl	people
living	live	living
in	in	in
the	the	the
White	white	White
House	hous	House
play	play	play
the	the	the
victim	victim	victim
card	card	card
with	with	with
such	such	such
frequency	frequenc	frequency
and	and	and
with	with	with
such	such	such
passion	passion	passion
.	.	.
The	the	The
truth	truth	truth
of	of	of
the	the	the
matter	matter	matter
is	is	is
,	,	,
Barack	barack	Barack
Obama	obama	Obama
and	and	and
his	his	his
race	race	race
-obsessed	-obsess	-obsessed
wife	wife	wife
will	will	will
go	go	go
down	down	down
as	as	a
two	two	two
people	peopl	people
who	who	who
did	did	did
less	less	le
for	for	for
the	the	the
black	black	black
community	communiti	community
than	than	than
any	ani	any
President	presid	President
in	in	in
modern	modern	modern
-day	-day	-day
history	histori	history
.	.	.
The	the	The
data	data	data
suggest	suggest	suggest
that	that	that
even	even	even
as	as	a
whites	white	white
enjoy	enjoy	enjoy
the	the	the
benefits	benefit	benefit
of	of	of
improved	improv	improved
public	public	public
safety	safeti	safety
from	from	from
the	the	the
last	last	last
two	two	two
decades	decad	decade
,	,	,
blacks	black	black
cannot	cannot	cannot
do	do	do
so	so	so
in	in	in
anything	anyth	anything
like	like	like
the	the	the
same	same	same
way	way	way
.	.	.
In	in	In
2015	2015	2015
,	,	,
there	there	there
was	was	wa
an	an	an
overall	overal	overall
13	13	13
percent	percent	percent
uptick	uptick	uptick
in	in	in
the	the	the
murder	murder	murder
tally	talli	tally
compared	compar	compared
to	to	to
2014	2014	2014
,	,	,
all	all	all
of	of	of
it	it	it
concentrated	concentr	concentrated
in	in	in
cities	citi	city
and	and	and
neighborhoods	neighborhood	neighborhood
where	where	where
large	larg	large
numbers	number	number
of	of	of
black	black	black
people	peopl	people
live	live	live
.	.	.
Murder	murder	Murder
rose	rose	rose
by	by	by
more	more	more
than	than	than
50	50	50
percent	percent	percent
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
,	,	,
and	and	and
by	by	by
63	63	63
percent	percent	percent
in	in	in
Baltimore	baltimor	Baltimore
,	,	,
which	which	which
alone	alon	alone
account	account	account
for	for	for
about	about	about
15	15	15
percent	percent	percent
of	of	of
the	the	the
national	nation	national
increase	increas	increase
.	.	.
Black	black	Black
victims	victim	victim
accounted	account	accounted
for	for	for
nearly	near	nearly
two	two	two
-thirds	-third	-thirds
of	of	of
the	the	the
year	year	year
-over-year	-over-year	-over-year
increase	increas	increase
,	,	,
which	which	which
translates	translat	translates
to	to	to
944	944	944
additional	addit	additional
black	black	black
people	peopl	people
murdered	murder	murdered
out	out	out
of	of	of
just	just	just
under	under	under
1	1	1
,	,	,
500	500	500
additional	addit	additional
victims	victim	victim
nationwide	nationwid	nationwide
.	.	.
More	more	More
than	than	than
half	half	half
of	of	of
this	this	this
increase	increas	increase
about	about	about
811	811	811
additional	addit	additional
murders	murder	murder
came	came	came
just	just	just
from	from	from
among	among	among
blacks	black	black
aged	age	aged
17	17	17
to	to	to
39	39	39
.	.	.
Whatever	whatev	Whatever
the	the	the
cause	caus	cause
of	of	of
last	last	last
year	year	year
s	s	s
increase	increas	increase
in	in	in
murders	murder	murder
,	,	,
blacks	black	black
were	were	were
the	the	the
only	onli	only
group	group	group
represented	repres	represented
so	so	so
disproportionately	disproportion	disproportionately
within	within	within
it	it	it
.	.	.
The	the	The
number	number	number
of	of	of
Hispanic	hispan	Hispanic
