Newly	newli	Newly
released	releas	released
financial	financi	financial
disclosures	disclosur	disclosure
reveal	reveal	reveal
Bill	bill	Bill
Clinton	clinton	Clinton
received	receiv	received
16	16	16
.	.	.
46	46	46
million	million	million
in	in	in
payments	payment	payment
from	from	from
a	a	a
George	georg	George
Soros	soro	Soros
-backed	-back	-backed
for	for	for
-profit	-profit	-profit
education	educ	education
company	compani	company
,	,	,
as	as	a
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
State	state	State
Department	depart	Department
funneled	funnel	funneled
tens	ten	ten
of	of	of
millions	million	million
of	of	of
dollars	dollar	dollar
to	to	to
a	a	a
group	group	group
run	run	run
by	by	by
the	the	the
company	compani	company
s	s	s
chairman	chairman	chairman
.	.	.
With	with	With
4	4	4
billion	billion	billion
in	in	in
annual	annual	annual
revenue	revenu	revenue
,	,	,
Laureate	laureat	Laureate
Education	educ	Education
is	is	is
America	america	America
s	s	s
largest	largest	largest
for	for	for
-profit	-profit	-profit
college	colleg	college
company	compani	company
.	.	.
From	from	From
2010	2010	2010
until	until	until
just	just	just
days	day	day
before	befor	before
the	the	the
2015	2015	2015
release	releas	release
of	of	of
Clinton	clinton	Clinton
Cash	cash	Cash
,	,	,
Bill	bill	Bill
Clinton	clinton	Clinton
served	serv	served
as	as	a
Laureate	laureat	Laureate
s	s	s
honorary	honorari	honorary
chancellor	chancellor	chancellor
.	.	.
When	when	When
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
team	team	team
obtained	obtain	obtained
a	a	a
copy	copi	copy
of	of	of
the	the	the
book	book	book
and	and	and
its	it	it
Clinton	clinton	Clinton
-Laureate	-laureat	-Laureate
connection	connect	connection
revelation	revel	revelation
,	,	,
Bill	bill	Bill
Clinton	clinton	Clinton
abruptly	abrupt	abruptly
resigned	resign	resigned
.	.	.
Laureate	laureat	Laureate
s	s	s
chairman	chairman	chairman
and	and	and
longtime	longtim	longtime
Clinton	clinton	Clinton
crony	croni	crony
,	,	,
Douglas	dougla	Douglas
Becker	becker	Becker
,	,	,
is	is	is
also	also	also
the	the	the
chairman	chairman	chairman
of	of	of
a	a	a
nonprofit	nonprofit	nonprofit
sister	sister	sister
organization	organ	organization
called	call	called
the	the	the
International	intern	International
Youth	youth	Youth
Foundation	foundat	Foundation
IYF	iyf	IYF
.	.	.
Indeed	inde	Indeed
,	,	,
IYF	iyf	IYF
s	s	s
offices	offic	office
are	are	are
less	less	le
than	than	than
a	a	a
mile	mile	mile
from	from	from
Laureate	laureat	Laureate
s	s	s
in	in	in
Baltimore	baltimor	Baltimore
.	.	.
Shortly	short	Shortly
after	after	after
Laureate	laureat	Laureate
made	made	made
Bill	bill	Bill
Clinton	clinton	Clinton
its	it	it
honorary	honorari	honorary
chancellor	chancellor	chancellor
in	in	in
April	april	April
2010	2010	2010
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
made	made	made
Laureate	laureat	Laureate
part	part	part
of	of	of
her	her	her
State	state	State
Department	depart	Department
Global	global	Global
Partnership	partnership	Partnership
.	.	.
IYF	iyf	IYF
received	receiv	received
USAID	usaid	USAID
funds	fund	fund
before	befor	before
Hillary	hillari	Hillary
s	s	s
tenure	tenur	tenure
at	at	at
the	the	the
State	state	State
Dept	dept	Dept
.	.	.
But	but	But
the	the	the
grants	grant	grant
the	the	the
group	group	group
received	receiv	received
exploded	explod	exploded
after	after	after
Bill	bill	Bill
Clinton	clinton	Clinton
was	was	wa
put	put	put
on	on	on
the	the	the
Laureate	laureat	Laureate
payroll	payrol	payroll
.	.	.
According	accord	According
to	to	to
a	a	a
Bloomberg	bloomberg	Bloomberg
analysis	analysi	analysis
of	of	of
the	the	the
Clinton	clinton	Clinton
Cash	cash	Cash
revelation	revel	revelation
In	in	In
2009	2009	2009
,	,	,
the	the	the
year	year	year
before	befor	before
Bill	bill	Bill
Clinton	clinton	Clinton
joined	join	joined
Laureate	laureat	Laureate
,	,	,
the	the	the
nonprofit	nonprofit	nonprofit
received	receiv	received
11	11	11
grants	grant	grant
worth	worth	worth
9	9	9
million	million	million
from	from	from
the	the	the
State	state	State
Department	depart	Department
or	or	or
the	the	the
affiliated	affili	affiliated
USAID	usaid	USAID
.	.	.
In	in	In
2010	2010	2010
,	,	,
the	the	the
group	group	group
received	receiv	received
14	14	14
grants	grant	grant
worth	worth	worth
15	15	15
.	.	.
1	1	1
million	million	million
.	.	.
In	in	In
2011	2011	2011
,	,	,
13	13	13
grants	grant	grant
added	ad	added
up	up	up
to	to	to
14	14	14
.	.	.
6	6	6
million	million	million
.	.	.
The	the	The
following	follow	following
year	year	year
,	,	,
those	those	those
numbers	number	number
jumped	jump	jumped
IYF	iyf	IYF
received	receiv	received
21	21	21
grants	grant	grant
worth	worth	worth
25	25	25
.	.	.
5	5	5
million	million	million
,	,	,
including	includ	including
a	a	a
direct	direct	direct
grant	grant	grant
from	from	from
the	the	the
State	state	State
Department	depart	Department
.	.	.
Read	read	Read
more	more	more
Breitbart	breitbart	Breitbart
