If	if	If
anything	anyth	anything
should	should	should
tell	tell	tell
the	the	the
militia	militia	militia
terrorists	terrorist	terrorist
occupying	occupi	occupying
the	the	the
Malheur	malheur	Malheur
Wildlife	wildlif	Wildlife
Refuge	refug	Refuge
in	in	in
Oregon	oregon	Oregon
that	that	that
it	it	it
is	is	is
time	time	time
for	for	for
them	them	them
to	to	to
give	give	give
this	this	this
ridiculous	ridicul	ridiculous
occupation	occup	occupation
up	up	up
,	,	,
it	it	it
should	should	should
be	be	be
the	the	the
fact	fact	fact
that	that	that
a	a	a
committee	committe	committee
that	that	that
Ammon	ammon	Ammon
Bundy	bundi	Bundy
himself	himself	himself
helped	help	helped
create	creat	create
is	is	is
telling	tell	telling
them	them	them
to	to	to
leave	leav	leave
.	.	.
On	on	On
Friday	friday	Friday
night	night	night
,	,	,
the	the	the
Harney	harney	Harney
County	counti	County
Committee	committe	Committee
of	of	of
Safety	safeti	Safety
,	,	,
which	which	which
Ammon	ammon	Ammon
Bundy	bundi	Bundy
helped	help	helped
form	form	form
,	,	,
held	held	held
a	a	a
townhall	townhal	townhall
event	event	event
in	in	in
which	which	which
the	the	the
occupiers	occupi	occupier
were	were	were
told	told	told
to	to	to
leave	leav	leave
.	.	.

A	a	A
letter	letter	letter
from	from	from
the	the	the
committee	committe	committee
told	told	told
them	them	them
,	,	,
essentially	essenti	essentially
you	you	you
made	made	made
your	your	your
point	point	point
,	,	,
now	now	now
it	it	it
s	s	s
time	time	time
for	for	for
you	you	you
to	to	to
go	go	go
home	home	home
.	.	.

First	first	First
,	,	,
spokesperson	spokesperson	spokesperson
Melodi	melodi	Melodi
Holt	holt	Holt
seemed	seem	seemed
to	to	to
try	tri	try
to	to	to
butter	butter	butter
the	the	the
clowns	clown	clown
up	up	up
when	when	when
she	she	she
began	began	began
speaking	speak	speaking
,	,	,
telling	tell	telling
the	the	the
militia	militia	militia
people	peopl	people
that	that	that
they	they	they
did	did	did
a	a	a
good	good	good
job	job	job
by	by	by
shining	shine	shining
a	a	a
light	light	light
on	on	on
the	the	the
Hammond	hammond	Hammond
case	case	case
here	here	here
in	in	in
Harney	harney	Harney
County	counti	County
.	.	.
Your	your	Your
actions	action	action
have	have	have
created	creat	created
a	a	a
national	nation	national
focus	focus	focus
on	on	on
the	the	the
Hammonds	hammond	Hammonds
and	and	and
other	other	other
issues	issu	issue
here	here	here
and	and	and
across	across	across
the	the	the
West	west	West
that	that	that
have	have	have
created	creat	created
mutual	mutual	mutual
distrust	distrust	distrust
,	,	,
anger	anger	anger
and	and	and
unrest	unrest	unrest
between	between	between
the	the	the
people	peopl	people
of	of	of
the	the	the
land	land	land
and	and	and
the	the	the
federal	feder	federal
government	govern	government
,	,	,
Molt	molt	Molt
read	read	read
.	.	.

We	we	We
thank	thank	thank
you	you	you
