Donald	donald	Donald
Trump	trump	Trump
just	just	just
can	can	can
t	t	t
seem	seem	seem
to	to	to
make	make	make
up	up	up
his	his	his
mind	mind	mind
about	about	about
abortion	abort	abortion
laws	law	law
,	,	,
but	but	but
his	his	his
latest	latest	latest
stance	stanc	stance
is	is	is
going	go	going
to	to	to
make	make	make
pro	pro	pro
-life	-life	-life
Republicans	republican	Republicans
really	realli	really
angry	angri	angry
.	.	.
In	in	In
the	the	the
last	last	last
week	week	week
,	,	,
the	the	the
Republican	republican	Republican
frontrunner	frontrunn	frontrunner
s	s	s
opinion	opinion	opinion
about	about	about
abortion	abort	abortion
laws	law	law
have	have	have
changed	chang	changed
more	more	more
times	time	time
than	than	than
I	i	I
have	have	have
changed	chang	changed
my	my	my
clothes	cloth	clothes
.	.	.

On	on	On
Wednesday	wednesday	Wednesday
,	,	,
during	dure	during
a	a	a
town	town	town
hall	hall	hall
discussion	discuss	discussion
with	with	with
MSNBC	msnbc	MSNBC
s	s	s
Chris	chris	Chris
Matthews	matthew	Matthews
,	,	,
Trump	trump	Trump
told	told	told
the	the	the
host	host	host
that	that	that
he	he	he
believes	believ	belief
the	the	the
Roe	roe	Roe
v	v	v
.	.	.

Wade	wade	Wade
should	should	should
be	be	be
overturned	overturn	overturned
and	and	and
abortion	abort	abortion
should	should	should
be	be	be
banned	ban	banned
.	.	.

When	when	When
the	the	the
medical	medic	medical
procedure	procedur	procedure
is	is	is
banned	ban	banned
he	he	he
said	said	said
that	that	that
women	women	woman
who	who	who
get	get	get
an	an	an
abortion	abort	abortion
should	should	should
be	be	be
punished	punish	punished
.	.	.

It	it	It
all	all	all
went	went	went
downhill	downhil	downhill
from	from	from
there	there	there
.	.	.
Shortly	short	Shortly
before	befor	before
the	the	the
interview	interview	interview
was	was	wa
set	set	set
to	to	to
air	air	air
,	,	,
Trump	trump	Trump
said	said	said
the	the	the
abortion	abort	abortion
issue	issu	issue
should	should	should
be	be	be
left	left	left
to	to	to
the	the	the
states	state	state
.	.	.

When	when	When
he	he	he
realized	realiz	realized
that	that	that
people	peopl	people
were	were	were
still	still	still
pretty	pretti	pretty
pissed	piss	pissed
off	off	off
,	,	,
he	he	he
said	said	said
that	that	that
he	he	he
meant	meant	meant
women	women	woman
who	who	who
have	have	have
abortions	abort	abortion
are	are	are
victims	victim	victim
and	and	and
if	if	if
he	he	he
has	has	ha
his	his	his
way	way	way
he	he	he
will	will	will
punish	punish	punish
the	the	the
doctors	doctor	doctor
who	who	who
perform	perform	perform
them	them	them
.	.	.

But	but	But
now	now	now
,	,	,
he	he	he
is	is	is
once	onc	once
again	again	again
changing	chang	changing
his	his	his
tune	tune	tune
and	and	and
is	is	is
going	go	going
full	full	full
-on	-on	-on
pro	pro	pro
-choice	-choic	-choice
liberal	liber	liberal
.	.	.
During	dure	During
an	an	an
interview	interview	interview
with	with	with
CBS	cbs	CBS
John	john	John
Dickerson	dickerson	Dickerson
set	set	set
to	to	to
air	air	air
Sunday	sunday	Sunday
Trump	trump	Trump
was	was	wa
asked	ask	asked
about	about	about
his	his	his
position	posit	position
on	on	on
abortion	abort	abortion
laws	law	law
and	and	and
he	he	he
responded	respond	responded
I	i	I
would	would	would
ve	ve	ve
preferred	prefer	preferred
states	state	state
rights	right	right
,	,	,
he	he	he
added	ad	added
.	.	.

I	i	I
think	think	think
it	it	it
would	would	would
ve	ve	ve
been	been	been
better	better	better
if	if	if
it	it	it
were	were	were
up	up	up
to	to	to
the	the	the
states	state	state
.	.	.

But	but	But
right	right	right
now	now	now
,	,	,
the	the	the
laws	law	law
are	are	are
set	set	set
.	.	.
At	at	At
this	this	this
moment	moment	moment
,	,	,
the	the	the
laws	law	law
are	are	are
set	set	set
.	.	.

And	and	And
I	i	I
think	think	think
we	we	we
have	have	have
to	to	to
leave	leav	leave
it	it	it
that	that	that
way	way	way
.	.	.

Dickerson	dickerson	Dickerson
was	was	wa
clearly	clear	clearly
surprised	surpris	surprised
by	by	by
his	his	his
obvious	obvious	obvious
liberal	liber	liberal
position	posit	position
and	and	and
asked	ask	asked
,	,	,
Do	do	Do
you	you	you
think	think	think
abortion	abort	abortion
is	is	is
murder	murder	murder
?	?	?

Trump	trump	Trump
replied	repli	replied
I	i	I
have	have	have
my	my	my
opinions	opinion	opinion
on	on	on
it	it	it
,	,	,
but	but	but
I	i	I
d	d	d
rather	rather	rather
not	not	not
comment	comment	comment
on	on	on
it	it	it
.	.	.

Right	right	Right
now	now	now
,	,	,
the	the	the
current	current	current
laws	law	law
make	make	make
abortion	abort	abortion
100	100	100
percent	percent	percent
legal	legal	legal
and	and	and
he	he	he
is	is	is
saying	say	saying
that	that	that
he	he	he
does	doe	doe
not	not	not
believe	believ	believe
they	they	they
should	should	should
be	be	be
changed	chang	changed
.	.	.

That	that	That
means	mean	mean
that	that	that
he	he	he
is	is	is
not	not	not
pro	pro	pro
-life	-life	-life
,	,	,
but	but	but
instead	instead	instead
pro	pro	pro
-choice	-choic	-choice
.	.	.

Which	which	Which
,	,	,
by	by	by
the	the	the
way	way	way
,	,	,
is	is	is
the	the	the
position	posit	position
he	he	he
always	alway	always
had	had	had
until	until	until
he	he	he
realized	realiz	realized
that	that	that
he	he	he
could	could	could
appeal	appeal	appeal
to	to	to
America	america	America
s	s	s
ignorant	ignor	ignorant
imbeciles	imbecil	imbecile
and	and	and
changed	chang	changed
his	his	his
long	long	long
-held	-held	-held
position	posit	position
.	.	.
After	after	After
this	this	this
clip	clip	clip
from	from	from
the	the	the
Face	face	Face
The	the	The
Nation	nation	Nation
interview	interview	interview
was	was	wa
aired	air	aired
and	and	and
the	the	the
media	media	medium
reacted	react	reacted
,	,	,
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
once	onc	once
again	again	again
scrambled	scrambl	scrambled
to	to	to
clarify	clarifi	clarify
his	his	his
statement	statement	statement
,	,	,
saying	say	saying
Mr	mr	Mr
.	.	.
Trump	trump	Trump
gave	gave	gave
an	an	an
accurate	accur	accurate
account	account	account
of	of	of
the	the	the
law	law	law
as	as	a
it	it	it
is	is	is
today	today	today
and	and	and
made	made	made
clear	clear	clear
it	it	it
must	must	must
stay	stay	stay
that	that	that
