Rush	rush	Rush
Limbaugh	limbaugh	Limbaugh
is	is	is
spot	spot	spot
on	on	on
with	with	with
his	his	his
analysis	analysi	analysis
of	of	of
Barack	barack	Barack
Obama	obama	Obama
and	and	and
how	how	how
he	he	he
has	has	ha
intentionally	intent	intentionally
torn	torn	torn
our	our	our
nation	nation	nation
apart	apart	apart
,	,	,
and	and	and
more	more	more
importantly	import	importantly
,	,	,
how	how	how
Republican	republican	Republican
leadership	leadership	leadership
has	has	ha
allowed	allow	allowed
him	him	him
to	to	to
do	do	do
it	it	it
.	.	.

This	this	This
is	is	is
a	a	a
great	great	great
read	read	read
for	for	for
anyone	anyon	anyone
who	who	who
would	would	would
like	like	like
to	to	to
understand	understand	understand
exactly	exact	exactly
how	how	how
this	this	this
war	war	war
on	on	on
cops	cop	cop
and	and	and
war	war	war
on	on	on
White	white	White
America	america	America
started	start	started
RUSH	rush	RUSH
This	this	This
is	is	is
so	so	so
predictable	predict	predictable
to	to	to
me	me	me
.	.	.

You	you	You
know	know	know
,	,	,
I	i	I
didn	didn	didn
t	t	t
have	have	have
a	a	a
chance	chanc	chance
to	to	to
really	realli	really
listen	listen	listen
to	to	to
it	it	it
or	or	or
study	studi	study
Obama	obama	Obama
s	s	s
speech	speech	speech
in	in	in
Dallas	dalla	Dallas
yesterday	yesterday	yesterday
because	becaus	because
it	it	it
happened	happen	happened
while	while	while
the	the	the
program	program	program
was	was	wa
on	on	on
,	,	,
so	so	so
I	i	I
had	had	had
to	to	to
bone	bone	bone
up	up	up
on	on	on
it	it	it
later	later	later
in	in	in
the	the	the
day	day	day
.	.	.

And	and	And
it	it	it
was	was	wa
predictable	predict	predictable
.	.	.

The	the	The
reaction	reaction	reaction
to	to	to
it	it	it
was	was	wa
predictable	predict	predictable
.	.	.

The	the	The
Drive	drive	Drive
-Bys	-bys	-Bys
just	just	just
thought	thought	thought
it	it	it
was	was	wa
the	the	the
greatest	greatest	greatest
speech	speech	speech
ever	ever	ever
.	.	.

It	it	It
was	was	wa
just	just	just
over	over	over
the	the	the
top	top	top
great	great	great
.	.	.

I	i	I
mean	mean	mean
,	,	,
it	it	it
was	was	wa
so	so	so
timely	time	timely
,	,	,
and	and	and
it	it	it
was	was	wa
so	so	so
presidential	presidenti	presidential
.	.	.
Even	even	Even
some	some	some
in	in	in
the	the	the
conservative	conserv	conservative
media	media	medium
found	found	found
it	it	it
necessary	necessari	necessary
to	to	to
praise	prais	praise
Obama	obama	Obama
s	s	s
speech	speech	speech
.	.	.

And	and	And
we	we	we
know	know	know
why	whi	why
this	this	this
happens	happen	happens
.	.	.

It	it	It
is	is	is
because	becaus	because
some	some	some
in	in	in
the	the	the
conservative	conserv	conservative
media	media	medium
don	don	don
t	t	t
want	want	want
to	to	to
be	be	be
seen	seen	seen
as	as	a
constantly	constant	constantly
pestering	pester	pestering
the	the	the
guy	guy	guy
,	,	,
so	so	so
it	it	it
s	s	s
thought	thought	thought
that	that	that
it	it	it
ll	ll	ll
add	add	add
to	to	to
their	their	their
credibility	credibl	credibility
if	if	if
they	they	they
can	can	can
acknowledge	acknowledg	acknowledge
that	that	that
the	the	the
president	presid	president
did	did	did
something	someth	something
well	well	well
,	,	,
did	did	did
something	someth	something
good	good	good
,	,	,
presidential	presidenti	presidential
,	,	,
even	even	even
if	if	if
it	it	it
was	was	wa
only	onli	only
a	a	a
portion	portion	portion
of	of	of
the	the	the
speech	speech	speech
.	.	.
But	but	But
my	my	my
take	take	take
on	on	on
it	it	it
was	was	wa
entirely	entir	entirely
different	differ	different
.	.	.

I	i	I
think	think	think
the	the	the
first	first	first
half	half	half
of	of	of
his	his	his
speech	speech	speech
yesterday	yesterday	yesterday
seemed	seem	seemed
to	to	to
be	be	be
high	high	high
-minded	-mind	-minded
and	and	and
unifying	unifi	unifying
,	,	,
but	but	but
he	he	he
blows	blow	blow
it	it	it
all	all	all
to	to	to
smithereens	smithereen	smithereens
because	becaus	because
I	i	I
think	think	think
what	what	what
the	the	the
first	first	first
half	half	half
of	of	of
the	the	the
speech	speech	speech
was	was	wa
was	was	wa
a	a	a
setup	setup	setup
for	for	for
the	the	the
political	polit	political
hackery	hackeri	hackery
that	that	that
was	was	wa
to	to	to
come	come	come
.	.	.

It	it	It
wasn	wasn	wasn
t	t	t
as	as	a
if	if	if
the	the	the
speech	speech	speech
suddenly	sudden	suddenly
and	and	and
unexpectedly	unexpect	unexpectedly
veered	veer	veered
off	off	off
course	cours	course
.	.	.

Obama	obama	Obama
knew	knew	knew
that	that	that
he	he	he
had	had	had
to	to	to
give	give	give
the	the	the
impression	impress	impression
he	he	he
was	was	wa
a	a	a
healer	healer	healer
and	and	and
a	a	a
unifier	unifi	unifier
before	befor	before
he	he	he
could	could	could
pivot	pivot	pivot
to	to	to
what	what	what
he	he	he
really	realli	really
wanted	want	wanted
to	to	to
say	say	say
.	.	.
And	and	And
I	i	I
took	took	took
it	it	it
,	,	,
you	you	you
know	know	know
,	,	,
I	i	I
m	m	m
sitting	sit	sitting
there	there	there
watching	watch	watching
it	it	it
like	like	like
everybody	everybodi	everybody
else	els	else
did	did	did
,	,	,
and	and	and
I	i	I
m	m	m
absorbing	absorb	absorbing
it	it	it
,	,	,
and	and	and
I	i	I
felt	felt	felt
like	like	like
it	it	it
was	was	wa
a	a	a
political	polit	political
sucker	sucker	sucker
punch	punch	punch
.	.	.

The	the	The
second	second	second
half	half	half
of	of	of
the	the	the
speech	speech	speech
is	is	is
what	what	what
Obama	obama	Obama
really	realli	really
wanted	want	wanted
to	to	to
say	say	say
but	but	but
couldn	couldn	couldn
t	t	t
unless	unless	unless
he	he	he
preceded	preced	preceded
it	it	it
with	with	with
the	the	the
so	so	so
-called	-call	-called
unifying	unifi	unifying
remarks	remark	remark
beforehand	beforehand	beforehand
.	.	.
But	but	But
here	here	here
s	s	s
the	the	the
thing	thing	thing
I	i	I
was	was	wa
wondering	wonder	wondering
as	as	a
I	i	I
m	m	m
watching	watch	watching
Obama	obama	Obama
,	,	,
and	and	and
we	we	we
hear	hear	hear
people	peopl	people
on	on	on
the	the	the
left	left	left
in	in	in
the	the	the
Drive	drive	Drive
-By	-bi	-By
Media	media	Media
talking	talk	talking
about	about	about
how	how	how
Obama	obama	Obama
tries	tri	try
to	to	to
unify	unifi	unify
and	and	and
bring	bring	bring
everybody	everybodi	everybody
together	togeth	together
.	.	.

What	what	What
a	a	a
great	great	great
effort	effort	effort
!	!	!

Ah	ah	Ah
,	,	,
it	it	it
was	was	wa
just	just	just
stupendous	stupend	stupendous
.	.	.

Then	then	Then
why	whi	why
draw	draw	draw
a	a	a
moral	moral	moral
equivalence	equival	equivalence
?	?	?

Here	here	Here
he	he	he
was	was	wa
at	at	at
a	a	a
memorial	memori	memorial
service	servic	service
for	for	for
five	five	five
slain	slain	slain
Dallas	dalla	Dallas
police	polic	police
officers	offic	officer
.	.	.

Why	whi	Why
draw	draw	draw
any	ani	any
kind	kind	kind
of	of	of
a	a	a
more	more	more
?	?	?

Why	whi	Why
do	do	do
you	you	you
mention	mention	mention
Alton	alton	Alton
Sterling	sterl	Sterling
and	and	and
what	what	what
went	went	went
on	on	on
in	in	in
Minnesota	minnesota	Minnesota
?	?	?

Why	whi	Why
?	?	?

You	you	You
can	can	can
mention	mention	mention
it	it	it
,	,	,
but	but	but
this	this	this
effort	effort	effort
to	to	to
draw	draw	draw
some	some	some
kind	kind	kind
of	of	of
moral	moral	moral
equivalence	equival	equivalence
as	as	a
though	though	though
there	there	there
is	is	is
one	one	one
and	and	and
we	we	we
can	can	can
understand	understand	understand
all	all	all
of	of	of
it	it	it
happening	happen	happening
?	?	?

This	this	This
inability	inabl	inability
to	to	to
look	look	look
at	at	at
something	someth	something
and	and	and
proclaim	proclaim	proclaim
it	it	it
wrong	wrong	wrong
interruption	interrupt	interruption
Well	well	Well
,	,	,
yeah	yeah	yeah
,	,	,
okay	okay	okay
.	.	.

So	so	So
he	he	he
knew	knew	knew
he	he	he
d	d	d
get	get	get
grief	grief	grief
from	from	from
the	the	the
left	left	left
.	.	.

I	i	I
don	don	don
t	t	t
think	think	think
he	he	he
cares	care	care
he	he	he
get	get	get
grief	grief	grief
from	from	from
the	the	the
left	left	left
.	.	.

I	i	I
think	think	think
the	the	the
guy	guy	guy
s	s	s
got	got	got
his	his	his
agenda	agenda	agenda
and	and	and
he	he	he
s	s	s
full	full	full
-speed	-speed	-speed
marching	march	marching
it	it	it
down	down	down
the	the	the
path	path	path
.	.	.

I	i	I
m	m	m
just	just	just
When	when	When
this	this	this
year	year	year
began	began	began
,	,	,
I	i	I
warned	warn	warned
everybody	everybodi	everybody
.	.	.

I	i	I
said	said	said
,	,	,
Folks	folk	Folks
,	,	,
this	this	this
year	year	year
coming	come	coming
up	up	up
with	with	with
the	the	the
Republicans	republican	Republicans
having	have	having
given	given	given
Obama	obama	Obama
a	a	a
clear	clear	clear
road	road	road
signaling	signal	signaling
they	they	they
re	re	re
not	not	not
gonna	gonna	gonna
oppose	oppos	oppose
anything	anyth	anything
,	,	,
not	not	not
even	even	even
his	his	his
policies	polici	policy
You	you	You
know	know	know
,	,	,
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
and	and	and
Ryan	ryan	Ryan
announced	announc	announced
they	they	they
weren	weren	weren
t	t	t
gonna	gonna	gonna
oppose	oppos	oppose
Obama	obama	Obama
.	.	.
They	they	They
didn	didn	didn
t	t	t
want	want	want
to	to	to
appear	appear	appear
to	to	to
be	be	be
opposing	oppos	opposing
or	or	or
creating	creat	creating
any	ani	any
negatives	negat	negative
for	for	for
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
.	.	.

So	so	So
Obama	obama	Obama
knows	know	know
he	he	he
s	s	s
got	got	got
a	a	a
free	free	free
road	road	road
.	.	.

So	so	So
why	whi	why
does	doe	doe
he	he	he
care	care	care
that	that	that
the	the	the
left	left	left
might	might	might
come	come	come
at	at	at
him	him	him
and	and	and
say	say	say
he	he	he
wasn	wasn	wasn
t	t	t
left	left	left
-wing	-wing	-wing
enough	enough	enough
or	or	or
he	he	he
wasn	wasn	wasn
t	t	t
pro	pro	pro
-Black	-black	-Black
Lives	live	Lives
Matter	matter	Matter
enough	enough	enough
?	?	?

I	i	I
don	don	don
t	t	t
think	think	think
there	there	there
s	s	s
any	ani	any
doubt	doubt	doubt
where	where	where
Obama	obama	Obama
stands	stand	stand
with	with	with
people	peopl	people
on	on	on
the	the	the
left	left	left
.	.	.

I	i	I
want	want	want
you	you	you
to	to	to
stop	stop	stop
and	and	and
think	think	think
about	about	about
something	someth	something
.	.	.

I	i	I
want	want	want
to	to	to
set	set	set
it	it	it
up	up	up
by	by	by
acknowledging	acknowledg	acknowledging
something	someth	something
that	that	that
we	we	we
all	all	all
know	know	know
.	.	.

Obama	obama	Obama
knows	know	know
it	it	it
;	;	;
everybody	everybodi	everybody
knows	know	know
it	it	it
.	.	.
The	the	The
entire	entir	entire
narrative	narrat	narrative
of	of	of
Ferguson	ferguson	Ferguson
,	,	,
