Much	much	Much
to	to	to
the	the	the
dismay	dismay	dismay
of	of	of
so	so	so
-called	-call	-called
pro	pro	pro
-life	-life	-life
Republicans	republican	Republicans
,	,	,
the	the	the
Supreme	suprem	Supreme
Court	court	Court
handed	hand	handed
down	down	down
an	an	an
order	order	order
allowing	allow	allowing
Louisiana	louisiana	Louisiana
Abortion	abort	Abortion
clinics	clinic	clinic
to	to	to
reopen	reopen	reopen
after	after	after
a	a	a
fringe	fring	fringe
right	right	right
-wing	-wing	-wing
appeals	appeal	appeal
court	court	court
forced	forc	forced
them	them	them
to	to	to
close	close	close
.	.	.
The	the	The
United	unit	United
States	state	States
Court	court	Court
of	of	of
Appeals	appeal	Appeals
for	for	for
the	the	the
Fifth	fifth	Fifth
Circuit	circuit	Circuit
issued	issu	issued
what	what	what
it	it	it
called	call	called
an	an	an
emergency	emerg	emergency
decision	decis	decision
that	that	that
permitted	permit	permitted
an	an	an
anti	anti	anti
-abortion	-abort	-abortion
law	law	law
they	they	they
knew	knew	knew
was	was	wa
unconstitutional	unconstitut	unconstitutional
to	to	to
go	go	go
into	into	into
effect	effect	effect
in	in	in
Louisiana	louisiana	Louisiana
.	.	.
This	this	This
law	law	law
,	,	,
like	like	like
many	mani	many
others	other	others
of	of	of
its	it	it
kind	kind	kind
,	,	,
did	did	did
not	not	not
serve	serv	serve
any	ani	any
practical	practic	practical
purpose	purpos	purpose
other	other	other
than	than	than
to	to	to
effectively	effect	effectively
ban	ban	ban
all	all	all
abortion	abort	abortion
within	within	within
the	the	the
state	state	state
.	.	.
This	this	This
particular	particular	particular
law	law	law
required	requir	required
physicians	physician	physician
that	that	that
perform	perform	perform
abortions	abort	abortion
to	to	to
have	have	have
admitting	admit	admitting
privileges	privileg	privilege
at	at	at
local	local	local
hospitals	hospit	hospital
.	.	.
It	it	It
s	s	s
a	a	a
completely	complet	completely
unnecessary	unnecessari	unnecessary
requirement	requir	requirement
since	sinc	since
nearly	near	nearly
all	all	all
abortions	abort	abortion
do	do	do
not	not	not
require	requir	require
any	ani	any
form	form	form
of	of	of
admittance	admitt	admittance
to	to	to
a	a	a
hospital	hospit	hospital
and	and	and
only	onli	only
serves	serv	serf
to	to	to
place	place	place
undue	undu	undue
burdens	burden	burden
on	on	on
vulnerable	vulner	vulnerable
women	women	woman
and	and	and
their	their	their
physicians	physician	physician
that	that	that
are	are	are
trying	tri	trying
to	to	to
help	help	help
them	them	them
.	.	.
The	the	The
Fifth	fifth	Fifth
Circuit	circuit	Circuit
Court	court	Court
has	has	ha
a	a	a
history	histori	history
of	of	of
allowing	allow	allowing
laws	law	law
that	that	that
it	it	it
knows	know	know
are	are	are
going	go	going
to	to	to
be	be	be
found	found	found
unconstitutional	unconstitut	unconstitutional
to	to	to
get	get	get
implemented	implement	implemented
anyway	anyway	anyway
.	.	.
They	they	They
got	got	got
clear	clear	clear
warnings	warn	warning
from	from	from
the	the	the
Supreme	suprem	Supreme
Court	court	Court
that	that	that
they	they	they
should	should	should
not	not	not
allow	allow	allow
these	these	these
laws	law	law
to	to	to
proceed	proceed	proceed
,	,	,
due	due	due
to	to	to
the	the	the
obvious	obvious	obvious
unconstitutionality	unconstitut	unconstitutionality
of	of	of
them	them	them
plus	plus	plus
the	the	the
precedent	preced	precedent
of	of	of
the	the	the
5th	5th	5th
circuits	circuit	circuit
own	own	own
decisions	decis	decision
getting	get	getting
struck	struck	struck
down	down	down
in	in	in
the	the	the
past	past	past
regarding	regard	regarding
them	them	them
.	.	.
However	howev	However
,	,	,
they	they	they
just	just	just
keep	keep	keep
upholding	uphold	upholding
them	them	them
,	,	,
forcing	forc	forcing
a	a	a
waste	wast	waste
of	of	of
taxpayer	taxpay	taxpayer
money	money	money
and	and	and
time	time	time
by	by	by
making	make	making
them	them	them
get	get	get
elevated	elev	elevated
to	to	to
the	the	the
Supreme	suprem	Supreme
Court	court	Court
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
Twice	twice	Twice
before	befor	before
,	,	,
the	the	the
Fifth	fifth	Fifth
Circuit	circuit	Circuit
has	has	ha
had	had	had
decisions	decis	decision
get	get	get
struck	struck	struck
down	down	down
by	by	by
SCOTUS	scotus	SCOTUS
from	from	from
laws	law	law
passed	pass	passed
in	in	in
Texas	texa	Texas
alone	alon	alone
.	.	.
One	one	One
time	time	time
they	they	they
issued	issu	issued
a	a	a
partial	partial	partial
stay	stay	stay
,	,	,
allowing	allow	allowing
some	some	some
of	of	of
Texas	texa	Texas
s	s	s
abortion	abort	abortion
clinics	clinic	clinic
to	to	to
remain	remain	remain
open	open	open
.	.	.
A	a	A
