Mrs	mrs	Mrs
.	.	.
ObamaIt	obamait	ObamaIt
sickens	sicken	sickens
me	me	me
that	that	that
I	i	I
have	have	have
to	to	to
take	take	take
time	time	time
to	to	to
write	write	write
you	you	you
this	this	this
letter	letter	letter
.	.	.
I	i	I
am	am	am
a	a	a
Marine	marin	Marine
who	who	who
doesn	doesn	doesn
t	t	t
recognize	recogn	recognize
color	color	color
because	becaus	because
every	everi	every
color	color	color
has	has	ha
lived	live	lived
and	and	and
died	die	died
for	for	for
you	you	you
.	.	.
You	you	You
live	live	live
in	in	in
a	a	a
free	free	free
country	countri	country
to	to	to
blame	blame	blame
your	your	your
life	life	life
on	on	on
the	the	the
color	color	color
of	of	of
another	anoth	another
man	man	man
s	s	s
skin	skin	skin
.	.	.
All	all	All
colors	color	color
have	have	have
given	given	given
their	their	their
lives	live	life
for	for	for
an	an	an
educated	educ	educated
woman	woman	woman
to	to	to
have	have	have
the	the	the
freedom	freedom	freedom
to	to	to
be	be	be
so	so	so
ignorant	ignor	ignorant
.	.	.
I	i	I
don	don	don
t	t	t
blame	blame	blame
black	black	black
people	peopl	people
for	for	for
the	the	the
ignorance	ignor	ignorance
that	that	that
comes	come	come
from	from	from
your	your	your
mouth	mouth	mouth
.	.	.
I	i	I
love	love	love
all	all	all
colors	color	color
because	becaus	because
I	i	I
love	love	love
all	all	all
that	that	that
God	god	God
creates	creat	creates
.	.	.
I	i	I
don	don	don
t	t	t
have	have	have
to	to	to
like	like	like
you	you	you
to	to	to
love	love	love
you	you	you
because	becaus	because
we	we	we
can	can	can
t	t	t
always	alway	always
like	like	like
the	the	the
ones	one	one
we	we	we
love	love	love
.	.	.
Just	just	Just
because	becaus	because
I	i	I
don	don	don
t	t	t
like	like	like
you	you	you
today	today	today
doesn	doesn	doesn
t	t	t
mean	mean	mean
I	i	I
can	can	can
t	t	t
like	like	like
you	you	you
tomorrow	tomorrow	tomorrow
.	.	.
I	i	I
don	don	don
t	t	t
like	like	like
you	you	you
or	or	or
your	your	your
husband	husband	husband
today	today	today
because	becaus	because
of	of	of
what	what	what
you	you	you
re	re	re
doing	do	doing
to	to	to
this	this	this
country	countri	country
.	.	.
Isn	isn	Isn
t	t	t
it	it	it
funny	funni	funny
how	how	how
the	the	the
truth	truth	truth
always	alway	always
reveals	reveal	reveals
itself	itself	itself
in	in	in
time	time	time
.	.	.
You	you	You
and	and	and
your	your	your
husband	husband	husband
never	never	never
showed	show	showed
this	this	this
side	side	side
of	of	of
yourselves	yourselv	yourselves
in	in	in
2008	2008	2008
before	befor	before
he	he	he
was	was	wa
elected	elect	elected
.	.	.
You	you	You
both	both	both
live	live	live
better	better	better
than	than	than
99	99	99
of	of	of
the	the	the
people	peopl	people
in	in	in
this	this	this
world	world	world
because	becaus	because
of	of	of
this	this	this
country	countri	country
.	.	.
You	you	You
said	said	said
that	that	that
you	you	you
are	are	are
for	for	for
the	the	the
first	first	first
time	time	time
proud	proud	proud
to	to	to
be	be	be
an	an	an
American	american	American
.	.	.
Well	well	Well
,	,	,
I	i	I
will	will	will
tell	tell	tell
you	you	you
that	that	that
most	most	most
of	of	of
us	us	u
are	are	are
ashamed	asham	ashamed
of	of	of
you	you	you
.	.	.
You	you	You
and	and	and
your	your	your
husband	husband	husband
have	have	have
become	becom	become
millionaires	millionair	millionaire
off	off	off
the	the	the
people	peopl	people
of	of	of
this	this	this
country	countri	country
,	,	,
but	but	but
demonstrate	demonstr	demonstrate
very	veri	very
little	littl	little
appreciation	appreci	appreciation
for	for	for
all	all	all
that	that	that
we	we	we
give	give	give
.	.	.
White	white	White
,	,	,
black	black	black
,	,	,
brown	brown	brown
or	or	or
indifferent	indiffer	indifferent
millions	million	million
have	have	have
fought	fought	fought
and	and	and
died	die	died
for	for	for
you	you	you
to	to	to
have	have	have
the	the	the
freedom	freedom	freedom
to	to	to
say	say	say
the	the	the
ignorant	ignor	ignorant
things	thing	thing
you	you	you
say	say	say
.	.	.
You	you	You
are	are	are
educated	educ	educated
,	,	,
but	but	but
clearly	clear	clearly
have	have	have
very	veri	very
little	littl	little
common	common	common
sense	sens	sense
.	.	.
You	you	You
blame	blame	blame
past	past	past
generations	generat	generation
of	of	of
Americans	american	Americans
for	for	for
the	the	the
troubles	troubl	trouble
of	of	of
a	a	a
few	few	few
.	.	.
Stop	stop	Stop
blaming	blame	blaming
white	white	white
people	peopl	people
for	for	for
your	your	your
misery	miseri	misery
and	and	and
take	take	take
a	a	a
look	look	look
at	at	at
yourself	yourself	yourself
in	in	in
the	the	the
