Eleven	eleven	Eleven
-year-old	-year-old	-year-old
Marley	marley	Marley
Dias	dia	Dias
always	alway	always
wanted	want	wanted
to	to	to
be	be	be
our	our	our
first	first	first
woman	woman	woman
president	presid	president
so	so	so
she	she	she
could	could	could
work	work	work
to	to	to
fix	fix	fix
problems	problem	problem
in	in	in
the	the	the
world	world	world
.	.	.

Then	then	Then
she	she	she
realized	realiz	realized
that	that	that
she	she	she
doesn	doesn	doesn
t	t	t
have	have	have
to	to	to
be	be	be
president	presid	president
to	to	to
start	start	start
working	work	working
on	on	on
the	the	the
world	world	world
s	s	s
problems	problem	problem
,	,	,
and	and	and
she	she	she
founded	found	founded
a	a	a
book	book	book
drive	drive	drive
known	known	known
as	as	a
#1000BlackGirlBooks.	#1000blackgirlbooks.	#1000BlackGirlBooks.

She	she	She
s	s	s
been	been	been
looking	look	looking
for	for	for
stories	stori	story
about	about	about
young	young	young
,	,	,
black	black	black
girls	girl	girl
for	for	for
nearly	near	nearly
the	the	the
last	last	last
year	year	year
.	.	.
Marley	marley	Marley
s	s	s
now	now	now
looking	look	looking
at	at	at
possibly	possibl	possibly
having	have	having
our	our	our
first	first	first
female	femal	female
president	presid	president
before	befor	before
she	she	she
s	s	s
even	even	even
old	old	old
enough	enough	enough
to	to	to
vote	vote	vote
,	,	,
and	and	and
she	she	she
has	has	ha
a	a	a
few	few	few
questions	question	question
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Elle	ell	Elle
printed	print	printed
the	the	the
interview	interview	interview
in	in	in
full	full	full
,	,	,
and	and	and
Hillary	hillari	Hillary
replied	repli	replied
to	to	to
Marley	marley	Marley
the	the	the
exact	exact	exact
same	same	same
way	way	way
she	she	she
would	would	would
reply	repli	reply
to	to	to
anyone	anyon	anyone
else	els	else
interviewing	interview	interviewing
her	her	her
.	.	.

However	howev	However
,	,	,
she	she	she
also	also	also
seemed	seem	seemed
to	to	to
try	tri	try
and	and	and
relate	relat	relate
her	her	her
experiences	experi	experience
in	in	in
a	a	a
way	way	way
that	that	that
will	will	will
help	help	help
Marley	marley	Marley
as	as	a
she	she	she
grows	grow	grows
up	up	up
.	.	.
For	for	For
instance	instanc	instance
,	,	,
Marley	marley	Marley
asked	ask	asked
her	her	her
about	about	about
her	her	her
favorite	favorit	favorite
books	book	book
,	,	,
including	includ	including
her	her	her
favorite	favorit	favorite
black	black	black
girl	girl	girl
book	book	book
.	.	.

On	on	On
that	that	that
subject	subject	subject
,	,	,
Hillary	hillari	Hillary
told	told	told
her	her	her
One	one	One
of	of	of
my	my	my
favorite	favorit	favorite
authors	author	author
is	is	is
Maya	maya	Maya
Angelou	angelou	Angelou
,	,	,
and	and	and
I	i	I
love	love	love
her	her	her
book	book	book
I	i	I
Know	know	Know
Why	whi	Why
the	the	the
Caged	cage	Caged
Bird	bird	Bird
Sings	sing	Sings
.	.	.

It	it	It
tells	tell	tell
the	the	the
story	stori	story
of	of	of
how	how	how
Maya	maya	Maya
became	becam	became
such	such	such
a	a	a
strong	strong	strong
,	,	,
confident	confid	confident
,	,	,
determined	determin	determined
person	person	person
.	.	.
Some	some	Some
parts	part	part
are	are	are
painful	pain	painful
and	and	and
hard	hard	hard
to	to	to
read	read	read
,	,	,
but	but	but
of	of	of
course	cours	course
that	that	that
s	s	s
the	the	the
case	case	case
in	in	in
a	a	a
lot	lot	lot
of	of	of
great	great	great
books	book	book
.	.	.

And	and	And
because	becaus	because
Maya	maya	Maya
became	becam	became
a	a	a
friend	friend	friend
of	of	of
mine	mine	mine
in	in	in
real	real	real
life	life	life
,	,	,
it	it	it
meant	meant	meant
a	a	a
lot	lot	lot
to	to	to
be	be	be
able	abl	able
to	to	to
read	read	read
her	her	her
story	stori	story
and	and	and
understand	understand	understand
her	her	her
journey	journey	journey
better	better	better
.	.	.

Hillary	hillari	Hillary
then	then	then
quoted	quot	quoted
part	part	part
of	of	of
Angelou	angelou	Angelou
s	s	s
On	on	On
The	the	The
Pulse	puls	Pulse
Of	of	Of
The	the	The
Morning	morn	Morning
,	,	,
and	and	and
finished	finish	finished
with	with	with
Maya	maya	Maya
led	led	led
a	a	a
really	realli	really
difficult	difficult	difficult
life	life	life
,	,	,
but	but	but
she	she	she
never	never	never
forgot	forgot	forgot
that	that	that
each	each	each
new	new	new
day	day	day
presented	present	presented
new	new	new
opportunities	opportun	opportunity
.	.	.

I	i	I
m	m	m
sure	sure	sure
she	she	she
felt	felt	felt
afraid	afraid	afraid
sometimes	sometim	sometimes
,	,	,
just	just	just
like	like	like
we	we	we
all	all	all
do	do	do
,	,	,
but	but	but
she	she	she
didn	didn	didn
t	t	t
let	let	let
her	her	her
fears	fear	fear
hold	hold	hold
her	her	her
back	back	back
.	.	.

That	that	That
s	s	s
a	a	a
lesson	lesson	lesson
I	i	I
try	tri	try
to	to	to
remember	rememb	remember
each	each	each
and	and	and
every	everi	every
day	day	day
.	.	.

As	as	As
a	a	a
black	black	black
girl	girl	girl
,	,	,
who	who	who
appears	appear	appears
to	to	to
already	alreadi	already
be	be	be
growing	grow	growing
into	into	into
a	a	a
strong	strong	strong
black	black	black
woman	woman	woman
herself	herself	herself
,	,	,
knowing	know	knowing
that	that	that
Hillary	hillari	Hillary
has	has	ha
taken	taken	taken
the	the	the
experiences	experi	experience
of	of	of
someone	someon	someone
like	like	like
Maya	maya	Maya
Angelou	angelou	Angelou
and	and	and
used	use	used
them	them	them
as	as	a
inspiration	inspir	inspiration
to	to	to
keep	keep	keep
pushing	push	pushing
forward	forward	forward
,	,	,
day	day	day
after	after	after
day	day	day
,	,	,
must	must	must
be	be	be
huge	huge	huge
.	.	.
We	we	We
re	re	re
not	not	not
post	post	post
-gender	-gender	-gender
,	,	,
and	and	and
we	we	we
re	re	re
not	not	not
post	post	post
-racial	-racial	-racial
either	either	either
.	.	.

Marley	marley	Marley
is	is	is
growing	grow	growing
up	up	up
in	in	in
a	a	a
society	societi	society
that	that	that
still	still	still
currently	current	currently
sees	see	see
her	her	her
as	as	a
very	veri	very
much	much	much
less	less	le
-than	-than	-than
.	.	.

Hillary	hillari	Hillary
is	is	is
saying	say	saying
,	,	,
I	i	I
was	was	wa
scared	scare	scared
.	.	.

You	you	You
ll	ll	ll
be	be	be
scared	scare	scared
.	.	.

Things	thing	Things
will	will	will
get	get	get
tough	tough	tough
.	.	.

But	but	But
you	you	you
can	can	can
survive	surviv	survive
it	it	it
and	and	and
come	come	come
out	out	out
the	the	the
other	other	other
side	side	side
stronger	stronger	stronger
than	than	than
you	you	you
ever	ever	ever
thought	thought	thought
you	you	you
could	could	could
be	be	be
.	.	.

Here	here	Here
s	s	s
how	how	how
I	i	I
know	know	know
.	.	.

Along	along	Along
those	those	those
same	same	same
lines	line	line
,	,	,
Marley	marley	Marley
also	also	also
asked	ask	asked
Hillary	hillari	Hillary
what	what	what
advice	advic	advice
she	she	she
d	d	d
give	give	give
to	to	to
her	her	her
11	11	11
-year	-year	-year
old	old	old
self	self	self
.	.	.

Hillary	hillari	Hillary
said	said	said
I	i	I
would	would	would
say	say	say
that	that	that
when	when	when
you	you	you
have	have	have
a	a	a
big	big	big
dream	dream	dream
or	or	or
you	you	you
re	re	re
trying	tri	trying
to	to	to
solve	solv	solve
a	a	a
big	big	big
problem	problem	problem
,	,	,
there	there	there
will	will	will
