Friday	friday	Friday
on	on	on
MSNBC	msnbc	MSNBC
,	,	,
climate	climat	climate
activist	activist	activist
Bill	bill	Bill
Nye	nye	Nye
warned	warn	warned
conservatives	conserv	conservative
to	to	to
watch	watch	watch
out	out	out
,	,	,
saying	say	saying
progressive	progress	progressive
blue	blue	blue
states	state	state
will	will	will
address	address	address
climate	climat	climate
change	chang	change
on	on	on
their	their	their
own	own	own
.	.	.
Nye	nye	Nye
said	said	said
,	,	,
Only	onli	Only
40	40	40
percent	percent	percent
of	of	of
people	peopl	people
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
think	think	think
that	that	that
Congress	congress	Congress
should	should	should
be	be	be
addressing	address	addressing
this	this	this
and	and	and
that	that	that
s	s	s
because	becaus	because
certain	certain	certain
conservative	conserv	conservative
groups	group	group
,	,	,
especially	especi	especially
from	from	from
the	the	the
fossil	fossil	fossil
fuel	fuel	fuel
industry	industri	industry
,	,	,
have	have	have
been	been	been
very	veri	very
successful	success	successful
in	in	in
introducing	introduc	introducing
the	the	the
idea	idea	idea
that	that	that
scientific	scientif	scientific
uncertainty	uncertainti	uncertainty
,	,	,
plus	plus	plus
or	or	or
minus	minus	minus
two	two	two
percent	percent	percent
,	,	,
is	is	is
the	the	the
same	same	same
as	as	a
plus	plus	plus
or	or	or
minus	minus	minus
100	100	100
percent	percent	percent
.	.	.

He	he	He
continued	continu	continued
,	,	,
There	there	There
s	s	s
a	a	a
lot	lot	lot
of	of	of
emphasis	emphasi	emphasis
from	from	from
conservatives	conserv	conservative
on	on	on
what	what	what
are	are	are
writ	writ	writ
-large	-larg	-large
states	state	state
rights	right	right
.	.	.

Just	just	Just
watch	watch	watch
out	out	out
,	,	,
conservatives	conserv	conservative
,	,	,
if	if	if
states	state	state
rights	right	right
include	includ	include
California	california	California
,	,	,
Illinois	illinoi	Illinois
,	,	,
New	new	New
York	york	York
these	these	these
places	place	place
that	that	that
,	,	,
where	where	where
people	peopl	people
voted	vote	voted
in	in	in
a	a	a
progressive	progress	progressive
fashion	fashion	fashion
watch	watch	watch
out	out	out
if	if	if
all	all	all
those	those	those
places	place	place
start	start	start
to	to	to
address	address	address
climate	climat	climate
change	chang	change
and	and	and
then	then	then
impose	impos	impose
economic	econom	economic
sanctions	sanction	sanction
,	,	,
either	either	either
overtly	overt	overtly
or	or	or
by	by	by
default	default	default
,	,	,
on	on	on
places	place	place
that	that	that
have	have	have
not	not	not
embraced	embrac	embraced
the	the	the
work	work	work
that	that	that
needs	need	need
to	to	to
be	be	be
done	done	done
.	.	.

Then	then	Then
you	you	you
ll	ll	ll
end	end	end
up	up	up
with	with	with
this	this	this
states	state	state
rights	right	right
working	work	working
the	the	the
other	other	other
way	way	way
.	.	.

He	he	He
added	ad	added
,	,	,
We	we	We
ve	ve	ve
got	got	got
to	to	to
remind	remind	remind
people	peopl	people
that	that	that
we	we	we
re	re	re
all	all	all
in	in	in
this	this	this
together	togeth	together
.	.	.

The	the	The
people	peopl	people
I	i	I
think	think	think
about	about	about
all	all	all
the	the	the
time	time	time
are	are	are
what	what	what
are	are	are
eloquently	eloqu	eloquently
stated	state	stated
as	as	a
the	the	the
hillbillies	hillbilli	hillbilly
.	.	.

We	we	We
want	want	want
to	to	to
engage	engag	engage
everybody	everybodi	everybody
.	.	.

Not	not	Not
working	work	working
to	to	to
address	address	address
climate	climat	climate
change	chang	change
is	is	is
in	in	in
no	no	no
one	one	one
s	s	s
best	best	best
interest	interest	interest
.	.	.

It	it	It
is	is	is
not	not	not
in	in	in
the	the	the
best	best	best
interest	interest	interest
,	,	,
especially	especi	especially
of	of	of
your	your	your
children	children	child
and	and	and
grandchildren	grandchildren	grandchild
.	.	.

A	a	A
couple	coupl	couple
of	of	of
times	time	time
you	you	you
mentioned	mention	mentioned
that	that	that
I	i	I
am	am	am
against	against	against
the	the	the
president	presid	president
and	and	and
so	so	so
on	on	on
.	.	.

I	i	I
m	m	m
not	not	not
especially	especi	especially
against	against	against
the	the	the
president	presid	president
.	.	.

I	i	I
just	just	just
think	think	think
he	he	he
s	s	s
gotten	gotten	gotten
himself	himself	himself
surrounded	surround	surrounded
by	by	by
people	peopl	people
who	who	who
are	are	are
willing	will	willing
to	to	to
mortgage	mortgag	mortgage
the	the	the
future	futur	future
,	,	,
to	to	to
let	let	let
the	the	the
people	peopl	people
who	who	who
are	are	are
coming	come	coming
into	into	into
the	the	the
workforce	workforc	workforce
now	now	now
pay	pay	pay
for	for	for
the	the	the
future	futur	future
.	.	.

This	this	This
is	is	is
true	true	true
,	,	,
not	not	not
just	just	just
with	with	with
regard	regard	regard
to	to	to
the	the	the
national	nation	national
debt	debt	debt
,	,	,
which	which	which
will	will	will
almost	almost	almost
certainly	certain	certainly
increase	increas	increase
the	the	the
same	same	same
way	way	way
it	it	it
tripled	tripl	tripled
under	under	under
the	the	the
beloved	belov	beloved
Ronald	ronald	Ronald
Reagan	reagan	Reagan
,	,	,
not	not	not
only	onli	only
will	will	will
that	that	that
national	nation	national
