Iowa	iowa	Iowa
Rep	rep	Rep
.	.	.

Steve	steve	Steve
King	king	King
R	r	R
-Of	-of	-Of
Course	cours	Course
is	is	is
currently	current	currently
under	under	under
fire	fire	fire
for	for	for
tweeting	tweet	tweeting
out	out	out
something	someth	something
that	that	that
would	would	would
only	onli	only
be	be	be
said	said	said
by	by	by
a	a	a
white	white	white
supremacist	supremacist	supremacist
that	that	that
we	we	we
can	can	can
t	t	t
restore	restor	restore
our	our	our
civilization	civil	civilization
with	with	with
somebody	somebodi	somebody
else	els	else
s	s	s
babies	babi	baby
.	.	.

While	while	While
King	king	King
s	s	s
message	messag	message
earned	earn	earned
ALLCAPS	allcap	ALLCAPS
praise	prais	praise
from	from	from
former	former	former
KKK	kkk	KKK
leader	leader	leader
David	david	David
Duke	duke	Duke
,	,	,
the	the	the
rest	rest	rest
of	of	of
us	us	u
are	are	are
left	left	left
wondering	wonder	wondering
why	whi	why
Iowans	iowan	Iowans
would	would	would
want	want	want
this	this	this
alleged	alleg	alleged
man	man	man
to	to	to
represent	repres	represent
their	their	their
state	state	state
.	.	.
On	on	On
Monday	monday	Monday
,	,	,
King	king	King
stopped	stop	stopped
by	by	by
CNN	cnn	CNN
to	to	to
attempt	attempt	attempt
to	to	to
explain	explain	explain
away	away	away
his	his	his
hateful	hate	hateful
tweet	tweet	tweet
,	,	,
and	and	and
it	it	it
didn	didn	didn
t	t	t
go	go	go
well	well	well
for	for	for
him	him	him
at	at	at
all	all	all
.	.	.

Well	well	Well
,	,	,
of	of	of
course	cours	course
I	i	I
meant	meant	meant
exactly	exact	exactly
what	what	what
I	i	I
said	said	said
,	,	,
King	king	King
told	told	told
CNN	cnn	CNN
s	s	s
New	new	New
Day	day	Day
as	as	a
he	he	he
blamed	blame	blamed
the	the	the
Left	left	Left
for	for	for
wanting	want	wanting
to	to	to
destroy	destroy	destroy
Western	western	Western
civilization	civil	civilization
This	this	This
is	is	is
an	an	an
effort	effort	effort
on	on	on
the	the	the
left	left	left
,	,	,
I	i	I
think	think	think
,	,	,
to	to	to
break	break	break
down	down	down
the	the	the
American	american	American
civilization	civil	civilization
,	,	,
the	the	the
American	american	American
culture	cultur	culture
,	,	,
and	and	and
turn	turn	turn
it	it	it
into	into	into
something	someth	something
entirely	entir	entirely
different	differ	different
.	.	.

I	i	I
m	m	m
a	a	a
champion	champion	champion
for	for	for
western	western	western
civilization	civil	civilization
and	and	and
yes	yes	yes
our	our	our
English	english	English
language	languag	language
is	is	is
a	a	a
big	big	big
part	part	part
of	of	of
it	it	it
.	.	.

It	it	It
s	s	s
a	a	a
carrier	carrier	carrier
of	of	of
freedom	freedom	freedom
.	.	.

Embarrassingly	embarrass	Embarrassingly
,	,	,
King	king	King
refused	refus	refused
to	to	to
say	say	say
that	that	that
Muslim	muslim	Muslim
-Americans	-american	-Americans
,	,	,
Christian	christian	Christian
-Americans	-american	-Americans
,	,	,
and	and	and
other	other	other
Americans	american	Americans
of	of	of
different	differ	different
background	background	background
are	are	are
equal	equal	equal
,	,	,
instead	instead	instead
saying	say	saying
that	that	that
they	they	they
contribute	contribut	contribute
differently	differ	differently
to	to	to
our	our	our
culture	cultur	culture
and	and	and
our	our	our
civilization	civil	civilization
.	.	.

I	i	I
d	d	d
say	say	say
they	they	they
re	re	re
all	all	all
created	creat	created
in	in	in
the	the	the
image	imag	image
of	of	of
God	god	God
,	,	,
and	and	and
they	they	they
re	re	re
equal	equal	equal
in	in	in
his	his	his
eyes	eye	eye
.	.	.

And	and	And
if	if	if
they	they	they
re	re	re
citizens	citizen	citizen
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
they	they	they
re	re	re
equal	equal	equal
in	in	in
the	the	the
eyes	eye	eye
of	of	of
the	the	the
law	law	law
,	,	,
King	king	King
said	said	said
.	.	.

Individuals	individu	Individuals
will	will	will
contribute	contribut	contribute
differently	differ	differently
not	not	not
equally	equal	equally
to	to	to
this	this	this
civilization	civil	civilization
and	and	and
certain	certain	certain
groups	group	group
of	of	of
people	peopl	people
will	will	will
contribute	contribut	contribute
more	more	more
to	to	to
this	this	this
society	societi	society
than	than	than
other	other	other
groups	group	group
of	of	of
people	peopl	people
will	will	will
,	,	,
that	that	that
s	s	s
just	just	just
a	a	a
statistical	statist	statistical
fact	fact	fact
.	.	.

King	king	King
says	say	say
he	he	he
is	is	is
promoting	promot	promoting
the	the	the
birth	birth	birth
rate	rate	rate
in	in	in
America	america	America
to	to	to
restore	restor	restore
the	the	the
rule	rule	rule
of	of	of
law	law	law
to	to	to
what	what	what
he	he	he
views	view	view
as	as	a
a	a	a
superior	superior	superior
civilization	civil	civilization
.	.	.

In	in	In
short	short	short
,	,	,
he	he	he
thinks	think	think
white	white	white
people	peopl	people
need	need	need
to	to	to
have	have	have
more	more	more
babies	babi	baby
.	.	.
Watch	watch	Watch
the	the	the
video	video	video
below	below	below
Rep	rep	Rep
.	.	.

Steve	steve	Steve
King	king	King
defends	defend	defends
his	his	his
controversial	controversi	controversial
tweet	tweet	tweet
I'm	i'm	I'm
a	a	a
champion	champion	champion
for	for	for
Western	western	Western
civilization	civil	civilization
https://t.co/9WJa7A89nH	https://t.co/9wja7a89nh	https://t.co/9WJa7A89nH
https://t.co/nZbCzzOMLz	https://t.co/nzbczzomlz	https://t.co/nZbCzzOMLz
CNN	cnn	CNN
@CNN	@cnn	@CNN
March	march	March
13	13	13
,	,	,
2017Featured	2017featur	2017Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab

