Republicans	republican	Republicans
were	were	were
crossing	cross	crossing
their	their	their
fingers	finger	finger
that	that	that
Donald	donald	Donald
Trump	trump	Trump
s	s	s
visit	visit	visit
to	to	to
Europe	europ	Europe
would	would	would
go	go	go
better	better	better
than	than	than
the	the	the
last	last	last
time	time	time
,	,	,
but	but	but
the	the	the
fates	fate	fate
were	were	were
not	not	not
on	on	on
their	their	their
side	side	side
.	.	.
In	in	In
just	just	just
one	one	one
day	day	day
,	,	,
Trump	trump	Trump
became	becam	became
a	a	a
laughing	laugh	laughing
stock	stock	stock
over	over	over
a	a	a
failed	fail	failed
handshake	handshak	handshake
with	with	with
Poland	poland	Poland
s	s	s
First	first	First
Lady	ladi	Lady
and	and	and
told	told	told
the	the	the
Polish	polish	Polish
people	peopl	people
that	that	that
the	the	the
horrors	horror	horror
they	they	they
suffered	suffer	suffered
during	dure	during
WWII	wwii	WWII
were	were	were
just	just	just
tough	tough	tough
.	.	.
He	he	He
also	also	also
managed	manag	managed
to	to	to
piss	piss	piss
off	off	off
the	the	the
leaders	leader	leader
of	of	of
Poland	poland	Poland
s	s	s
Jewish	jewish	Jewish
community	communiti	community
by	by	by
snubbing	snub	snubbing
the	the	the
Warsaw	warsaw	Warsaw
Ghetto	ghetto	Ghetto
Memorial	memori	Memorial
.	.	.
Visiting	visit	Visiting
the	the	the
memorial	memori	memorial
is	is	is
a	a	a
time	time	time
-honored	-honor	-honored
tradition	tradit	tradition
when	when	when
U	u	U
.	.	.
S	s	S
.	.	.
presidents	presid	president
visit	visit	visit
Poland	poland	Poland
,	,	,
but	but	but
Trump	trump	Trump
decided	decid	decided
he	he	he
would	would	would
just	just	just
skip	skip	skip
it	it	it
.	.	.
The	the	The
Warsaw	warsaw	Warsaw
Ghetto	ghetto	Ghetto
Memorial	memori	Memorial
honors	honor	honor
the	the	the
750	750	750
Jews	jew	Jews
who	who	who
lived	live	lived
in	in	in
the	the	the
ghetto	ghetto	ghetto
and	and	and
fought	fought	fought
the	the	the
Nazis	nazi	Nazis
in	in	in
the	the	the
Warsaw	warsaw	Warsaw
Ghetto	ghetto	Ghetto
Uprising	upris	Uprising
when	when	when
they	they	they
came	came	came
to	to	to
drag	drag	drag
every	everi	every
resident	resid	resident
of	of	of
the	the	the
ghetto	ghetto	ghetto
off	off	off
to	to	to
concentration	concentr	concentration
camps	camp	camp
in	in	in
1943	1943	1943
.	.	.
While	while	While
Trump	trump	Trump
didn	didn	didn
t	t	t
bother	bother	bother
to	to	to
visit	visit	visit
the	the	the
memorial	memori	memorial
dedicated	dedic	dedicated
to	to	to
the	the	the
Jews	jew	Jews
that	that	that
fought	fought	fought
,	,	,
he	he	he
did	did	did
find	find	find
time	time	time
to	to	to
visit	visit	visit
the	the	the
Warsaw	warsaw	Warsaw
Uprising	upris	Uprising
Monument	monument	Monument
,	,	,
which	which	which
honors	honor	honor
the	the	the
Polish	polish	Polish
resistance	resist	resistance
fighters	fighter	fighter
who	who	who
fought	fought	fought
the	the	the
Nazis	nazi	Nazis
in	in	in
1944	1944	1944
,	,	,
rather	rather	rather
than	than	than
the	the	the
Jewish	jewish	Jewish
fighters	fighter	fighter
from	from	from
the	the	the
ghetto	ghetto	ghetto
.	.	.
Leaders	leader	Leaders
of	of	of
Poland	poland	Poland
s	s	s
Jewish	jewish	Jewish
community	communiti	community
were	were	were
not	not	not
amused	amus	amused
with	with	with
Trump	trump	Trump
s	s	s
decision	decis	decision
to	to	to
omit	omit	omit
the	the	the
Warsaw	warsaw	Warsaw
Ghetto	ghetto	Ghetto
Memorial	memori	Memorial
from	from	from
his	his	his
itinerary	itinerari	itinerary
.	.	.
A	a	A
scathing	scath	scathing
statement	statement	statement
signed	sign	signed
by	by	by
Anna	anna	Anna
Chipczynska	chipczynska	Chipczynska
,	,	,
President	presid	President
of	of	of
the	the	the
Jewish	jewish	Jewish
Community	communiti	Community
of	of	of
Warsaw	warsaw	Warsaw
,	,	,
Les	les	Les
aw	aw	aw
Piszewski	piszewski	Piszewski
,	,	,
President	presid	President
of	of	of
the	the	the
Union	union	Union
of	of	of
the	the	the
Jewish	jewish	Jewish
Communities	communiti	Communities
in	in	in
Poland	poland	Poland
,	,	,
Michael	michael	Michael
Schudrich	schudrich	Schudrich
,	,	,
Chief	chief	Chief
Rabbi	rabbi	Rabbi
of	of	of
Poland	poland	Poland
,	,	,
reads	read	read
Ever	ever	Ever
since	sinc	since
the	the	the
fall	fall	fall
of	of	of
Communism	communism	Communism
in	in	in
1989	1989	1989
,	,	,
all	all	all
US	us	US
presidents	presid	president
and	and	and
vice	vice	vice
-presidents	-presid	-presidents
visiting	visit	visiting
Warsaw	warsaw	Warsaw
had	had	had
made	made	made
a	a	a
point	point	point
of	of	of
visiting	visit	visiting
the	the	the
Monument	monument	Monument
to	to	to
the	the	the
Heroes	hero	Heroes
of	of	of
the	the	the
Warsaw	warsaw	Warsaw
Ghetto	ghetto	Ghetto
.	.	.
They	they	They
did	did	did
this	this	this
in	in	in
the	the	the
name	name	name
of	of	of
the	the	the
American	american	American
people	peopl	people
,	,	,
who	who	who
had	had	had
played	play	played
such	such	such
a	a	a
central	central	central
role	role	role
in	in	in
bringing	bring	bringing
down	down	down
Fascism	fascism	Fascism
,	,	,
and	and	and
in	in	in
that	that	that
of	of	of
the	the	the
universal	univers	universal
commemoration	commemor	commemoration
of	of	of
the	the	the
victims	victim	victim
of	of	of
the	the	the
Shoah	shoah	Shoah
,	,	,
and	and	and
condemnation	condemn	condemnation
of	of	of
its	it	it
perpetrators	perpetr	perpetrator
,	,	,
that	that	that
people	peopl	people
of	of	of
all	all	all
nationalities	nation	nationality
and	and	and
religions	religion	religion
express	express	express
.	.	.
For	for	For
the	the	the
Jews	jew	Jews
of	of	of
Poland	poland	Poland
,	,	,
rebuilding	rebuild	rebuilding
in	in	in
a	a	a
democratic	democrat	democratic
Poland	poland	Poland
their	their	their
communal	communal	communal
life	life	life
,	,	,
after	after	after
the	the	the
horror	horror	horror
of	of	of
the	the	the
Shoah	shoah	Shoah
and	and	and
the	the	the
devastation	devast	devastation
of	of	of
Communism	communism	Communism
,	,	,
this	this	this
gesture	gestur	gesture
meant	meant	meant
recognition	recognit	recognition
,	,	,
solidarity	solidar	solidarity
and	and	and
hope	hope	hope
.	.	.
We	we	We
deeply	deepli	deeply
regret	regret	regret
that	that	that
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
though	though	though
speaking	speak	speaking
in	in	in
public	public	public
barely	bare	barely
a	a	a
mile	mile	mile
away	away	away
from	from	from
the	the	the
Monument	monument	Monument
,	,	,
chose	chose	chose
to	to	to
break	break	break
with	with	with
that	that	that
laudable	laudabl	laudable
tradition	tradit	tradition
.	.	.
We	we	We
trust	trust	trust
that	that	that
this	this	this
slight	slight	slight
does	doe	doe
not	not	not
reflect	reflect	reflect
the	the	the
attitudes	attitud	attitude
and	and	and
feelings	feel	feeling
of	of	of
the	the	the
American	american	American
people	peopl	people
.	.	.
Ivanka	ivanka	Ivanka
Trump	trump	Trump
,	,	,
who	who	who
is	is	is
Jewish	jewish	Jewish
,	,	,
did	did	did
visit	visit	visit
