Soooo	soooo	Soooo
ah	ah	ah
,	,	,
what	what	what
s	s	s
the	the	the
point	point	point
of	of	of
the	the	the
picture	pictur	picture
?	?	?
Not	not	Not
to	to	to
worry	worri	worry
though	though	though
muslim	muslim	muslim
women	women	woman
never	never	never
commit	commit	commit
acts	act	act
of	of	of
jihad	jihad	jihad
right	right	right
?	?	?

To	to	To
prevent	prevent	prevent
religious	religi	religious
discrimination	discrimin	discrimination
,	,	,
the	the	the
state	state	state
of	of	of
Illinois	illinoi	Illinois
plans	plan	plan
to	to	to
start	start	start
mailing	mail	mailing
fliers	flier	flier
to	to	to
employees	employe	employee
at	at	at
offices	offic	office
that	that	that
issue	issu	issue
drivers	driver	driver
licenses	licens	license
and	and	and
photo	photo	photo
IDs	id	IDs
to	to	to
remind	remind	remind
them	them	them
that	that	that
people	peopl	people
are	are	are
not	not	not
required	requir	required
to	to	to
remove	remov	remove
articles	articl	article
of	of	of
faith	faith	faith
for	for	for
their	their	their
photos	photo	photo
.	.	.

The	the	The
state	state	state
s	s	s
efforts	effort	effort
follow	follow	follow
complaints	complaint	complaint
from	from	from
Muslim	muslim	Muslim
and	and	and
Sikh	sikh	Sikh
agencies	agenc	agency
that	that	that
some	some	some
residents	resid	resident
have	have	have
been	been	been
asked	ask	asked
to	to	to
remove	remov	remove
religious	religi	religious
head	head	head
coverings	cover	covering
.	.	.
The	the	The
Sikh	sikh	Sikh
American	american	American
Legal	legal	Legal
Defense	defens	Defense
and	and	and
Education	educ	Education
Fund	fund	Fund
brought	brought	brought
the	the	the
issue	issu	issue
to	to	to
Illinois	illinoi	Illinois
Secretary	secretari	Secretary
of	of	of
State	state	State
s	s	s
office	offic	office
about	about	about
a	a	a
year	year	year
ago	ago	ago
after	after	after
Sikh	sikh	Sikh
residents	resid	resident
complained	complain	complained
that	that	that
they	they	they
had	had	had
been	been	been
asked	ask	asked
to	to	to
take	take	take
off	off	off
their	their	their
dastaars	dastaar	dastaars
,	,	,
the	the	the
turbans	turban	turban
Sikhs	sikh	Sikhs
wear	wear	wear
around	around	around
their	their	their
heads	head	head
,	,	,
for	for	for
photos	photo	photo
.	.	.

We	we	We
had	had	had
been	been	been
getting	get	getting
complaints	complaint	complaint
from	from	from
around	around	around
the	the	the
states	state	state
from	from	from
Sikh	sikh	Sikh
Americans	american	Americans
who	who	who
were	were	were
being	be	being
asked	ask	asked
to	to	to
remove	remov	remove
or	or	or
modify	modifi	modify
their	their	their
turbans	turban	turban
to	to	to
get	get	get
their	their	their
photo	photo	photo
ID	id	ID
,	,	,
the	the	the
executive	execut	executive
director	director	director
Jasjit	jasjit	Jasjit
Singh	singh	Singh
told	told	told
Fusion	fusion	Fusion
Friday	friday	Friday
.	.	.
Muslims	muslim	Muslims
became	becam	became
the	the	the
state	state	state
