How	how	How
the	the	the
hell	hell	hell
can	can	can
anybody	anybodi	anybody
call	call	call
themselves	themselv	themselves
intelligent	intellig	intelligent
when	when	when
they	they	they
re	re	re
supporting	support	supporting
Donald	donald	Donald
Trump	trump	Trump
?	?	?
It	it	It
s	s	s
a	a	a
question	question	question
that	that	that
baffles	baffl	baffle
people	peopl	people
who	who	who
are	are	are
able	abl	able
to	to	to
think	think	think
critically	critic	critically
,	,	,
able	abl	able
to	to	to
read	read	read
and	and	and
comprehend	comprehend	comprehend
both	both	both
history	histori	history
and	and	and
current	current	current
events	event	event
,	,	,
and	and	and
able	abl	able
to	to	to
see	see	see
through	through	through
Trump	trump	Trump
s	s	s
thin	thin	thin
fa	fa	fa
ade	ade	ade
of	of	of
know	know	know
-it-all-ism	-it-all-	-it-all-ism
and	and	and
deep	deep	deep
into	into	into
what	what	what
he	he	he
is	is	is
an	an	an
ignorant	ignor	ignorant
,	,	,
narcissistic	narcissist	narcissistic
,	,	,
and	and	and
dangerous	danger	dangerous
conman	conman	conman
.	.	.
Trump	trump	Trump
supporters	support	supporter
not	not	not
only	onli	only
don	don	don
t	t	t
see	see	see
this	this	this
,	,	,
they	they	they
re	re	re
happy	happi	happy
that	that	that
there	there	there
s	s	s
someone	someon	someone
running	run	running
for	for	for
president	presid	president
that	that	that
thinks	think	think
exactly	exact	exactly
like	like	like
them	them	them
.	.	.
Take	take	Take
Melanie	melani	Melanie
Austin	austin	Austin
,	,	,
of	of	of
Brownsville	brownsvill	Brownsville
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
.	.	.
She	she	She
thought	thought	thought
her	her	her
beliefs	belief	belief
about	about	about
Obama	obama	Obama
being	be	being
a	a	a
gay	gay	gay
Muslim	muslim	Muslim
from	from	from
Kenya	kenya	Kenya
and	and	and
Michelle	michell	Michelle
being	be	being
transgender	transgend	transgender
were	were	were
just	just	just
fringe	fring	fringe
beliefs	belief	belief
right	right	right
up	up	up
until	until	until
she	she	she
started	start	started
hearing	hear	hearing
similar	similar	similar
stuff	stuff	stuff
from	from	from
Trump	trump	Trump
and	and	and
other	other	other
right	right	right
-wing	-wing	-wing
extremists	extremist	extremist
.	.	.
Now	now	Now
she	she	she
knows	know	know
she	she	she
s	s	s
right	right	right
about	about	about
all	all	all
of	of	of
this	this	this
.	.	.
You	you	You
can	can	can
t	t	t
tell	tell	tell
her	her	her
that	that	that
she	she	she
s	s	s
ignorant	ignor	ignorant
and	and	and
dumb	dumb	dumb
if	if	if
she	she	she
can	can	can
t	t	t
figure	figur	figure
this	this	this
out	out	out
for	for	for
herself	herself	herself
.	.	.
You	you	You
can	can	can
t	t	t
tell	tell	tell
her	her	her
she	she	she
s	s	s
delusional	delusion	delusional
.	.	.
You	you	You
can	can	can
sit	sit	sit
there	there	there
with	with	with
her	her	her
,	,	,
and	and	and
countless	countless	countless
others	other	others
like	like	like
her	her	her
,	,	,
and	and	and
present	present	present
facts	fact	fact
,	,	,
figures	figur	figure
,	,	,
charts	chart	chart
,	,	,
studies	studi	study
,	,	,
and	and	and
more	more	more
,	,	,
all	all	all
from	from	from
the	the	the
most	most	most
reputable	reput	reputable
sources	sourc	source
there	there	there
are	are	are
,	,	,
and	and	and
prove	prove	prove
that	that	that
her	her	her
lord	lord	lord
and	and	and
savior	savior	savior
is	is	is
wrong	wrong	wrong
,	,	,
and	and	and
you	you	you
ll	ll	ll
still	still	still
get	get	get
shot	shot	shot
down	down	down
.	.	.
There	there	There
s	s	s
more	more	more
to	to	to
this	this	this
than	than	than
the	the	the
problem	problem	problem
of	of	of
confirmation	confirm	confirmation
bias	bias	bias
.	.	.
Austin	austin	Austin
gets	get	get
much	much	much
of	of	of
her	her	her
information	inform	information
from	from	from
fringe	fring	fringe
right	right	right
-wing	-wing	-wing
blogs	blog	blog
and	and	and
conspiracy	conspiraci	conspiracy
sites	site	site
,	,	,
but	but	but
that	that	that
s	s	s
not	not	not
all	all	all
of	of	of
it	it	it
.	.	.
Many	mani	Many
of	of	of
Trump	trump	Trump
s	s	s
supporters	support	supporter
are	are	are
seriously	serious	seriously
too	too	too
dumb	dumb	dumb
to	to	to
know	know	know
they	they	they
re	re	re
dumb	dumb	dumb
.	.	.
It	it	It
s	s	s
called	call	called
the	the	the
Dunning	dun	Dunning
-Kruger	-kruger	-Kruger
effect	effect	effect
,	,	,
and	and	and
it	it	it
s	s	s
an	an	an
unshakeable	unshak	unshakeable
illusion	illus	illusion
that	that	that
you	you	you
re	re	re
much	much	much
smarter	smarter	smarter
,	,	,
and	and	and
more	more	more
skilled	skill	skilled
and	and	and
or	or	or
knowledgeable	knowledg	knowledgeable
,	,	,
than	than	than
you	you	you
really	realli	really
are	are	are
.	.	.
People	peopl	People
like	like	like
Austin	austin	Austin
labor	labor	labor
under	under	under
the	the	the
illusion	illus	illusion
that	that	that
their	their	their
knowledge	knowledg	knowledge
about	about	about
things	thing	thing
is	is	is
at	at	at
least	least	least
as	as	a
good	good	good
as	as	a
,	,	,
if	if	if
not	not	not
better	better	better
than	than	than
,	,	,
the	the	the
actual	actual	actual
facts	fact	fact
.	.	.
For	for	For
these	these	these
people	peopl	people
,	,	,
though	though	though
,	,	,
their	their	their
knowledge	knowledg	knowledge
isn	isn	isn
t	t	t
just	just	just
superior	superior	superior
it	it	it
s	s	s
superior	superior	superior
even	even	even
to	to	to
those	those	those
who	who	who
have	have	have
intimate	intim	intimate
and	and	and
detailed	detail	detailed
knowledge	knowledg	knowledge
of	of	of
the	the	the
subject	subject	subject
at	at	at
hand	hand	hand
.	.	.
Trump	trump	Trump
himself	himself	himself
has	has	ha
exemplified	exemplifi	exemplified
this	this	this
countless	countless	countless
times	time	time
,	,	,
such	such	such
as	as	a
when	when	when
he	he	he
claimed	claim	claimed
he	he	he
knows	know	know
more	more	more
about	about	about
ISIS	isi	ISIS
than	than	than
even	even	even
our	our	our
military	militari	military
generals	general	general
do	do	do
.	.	.
His	his	His
fans	fan	fan
simply	simpli	simply
take	take	take
his	his	his
word	word	word
for	for	for
it	it	it
,	,	,
and	and	and
believe	believ	believe
that	that	that
because	becaus	because
he	he	he
knows	know	know
,	,	,
they	they	they
know	know	know
.	.	.
They	they	They
are	are	are
literally	liter	literally
incapable	incap	incapable
of	of	of
seeing	see	seeing
that	that	that
they	they	they
don	don	don
t	t	t
know	know	know
.	.	.
To	to	To
be	be	be
sure	sure	sure
,	,	,
the	the	the
Dunning	dun	Dunning
-Kruger	-kruger	-Kruger
effect	effect	effect
is	is	is
present	present	present
everyone	everyon	everyone
all	all	all
across	across	across
the	the	the
political	polit	political
spectrum	spectrum	spectrum
,	,	,
and	and	and
indeed	inde	indeed
,	,	,
in	in	in
every	everi	every
walk	walk	walk
of	of	of
life	life	life
.	.	.
We	we	We
all	all	all
overestimate	overestim	overestimate
our	our	our
abilities	abil	ability
and	and	and
knowledge	knowledg	knowledge
somewhere	somewher	somewhere
.	.	.
However	howev	However
,	,	,
the	the	the
effect	effect	effect
is	is	is
especially	especi	especially
pronounced	pronounc	pronounced
in	in	in
people	peopl	people
with	with	with
limited	limit	limited
intellectual	intellectu	intellectual
and	and	and
social	social	social
skills	skill	skill
P	p	P
eople	eopl	eople
who	who	who
are	are	are
unskilled	unskil	unskilled
in	in	in
intellectual	intellectu	intellectual
and	and	and
social	social	social
domains	domain	domain
suffer	suffer	suffer
a	a	a
dual	dual	dual
burden	burden	burden
Not	not	Not
only	onli	only
do	do	do
these	these	these
people	peopl	people
reach	reach	reach
erroneous	erron	erroneous
conclusions	conclus	conclusion
and	and	and
make	make	make
unfortunate	unfortun	unfortunate
choices	choic	choice
,	,	,
but	but	but
their	their	their
incompetence	incompet	incompetence
robs	rob	robs
them	them	them
of	of	of
the	the	the
metacognitive	metacognit	metacognitive
ability	abil	ability
to	to	to
realize	realiz	realize
it	it	it
.	.	.
So	so	So
basically	basic	basically
,	,	,
yes	yes	yes
,	,	,
it	it	it
s	s	s
possible	possibl	possible
to	to	to
be	be	be
too	too	too
dumb	dumb	dumb
to	to	to
realize	realiz	realize
you	you	you
re	re	re
dumb	dumb	dumb
.	.	.
