On	on	On
Tuesday	tuesday	Tuesday
,	,	,
Democratic	democrat	Democratic
Senator	senat	Senator
Dianne	diann	Dianne
Feinstein	feinstein	Feinstein
of	of	of
California	california	California
blasted	blast	blasted
President	presid	President
Trump	trump	Trump
for	for	for
saying	say	saying
he	he	he
would	would	would
move	move	move
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
embassy	embassi	embassy
in	in	in
Israel	israel	Israel
from	from	from
Tel	tel	Tel
Aviv	aviv	Aviv
to	to	to
Jerusalem	jerusalem	Jerusalem
.	.	.
Feinstein	feinstein	Feinstein
claimed	claim	claimed
it	it	it
would	would	would
be	be	be
a	a	a
terrible	terribl	terrible
decision	decis	decision
even	even	even
though	though	though
she	she	she
previously	previous	previously
voted	vote	voted
for	for	for
the	the	the
embassy	embassi	embassy
to	to	to
be	be	be
moved	move	moved
.	.	.
The	the	The
hypocrisy	hypocrisi	hypocrisy
of	of	of
the	the	the
left	left	left
doesn	doesn	doesn
t	t	t
stop	stop	stop
there	there	there
Today	today	Today
,	,	,
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
announced	announc	announced
that	that	that
America	america	America
formally	formal	formally
recognizes	recogn	recognizes
Jerusalem	jerusalem	Jerusalem
as	as	a
Israel	israel	Israel
s	s	s
capital	capit	capital
city	citi	city
,	,	,
changing	chang	changing
decades	decad	decade
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
policy	polici	policy
in	in	in
a	a	a
brief	brief	brief
afternoon	afternoon	afternoon
speech	speech	speech
and	and	and
casting	cast	casting
the	the	the
move	move	move
as	as	a
a	a	a
bid	bid	bid
to	to	to
preserve	preserv	preserve
,	,	,
not	not	not
derail	derail	derail
,	,	,
aspirations	aspir	aspiration
for	for	for
regional	region	regional
peace	peac	peace
.	.	.
The	the	The
critics	critic	critic
of	of	of
Donald	donald	Donald
Trump	trump	Trump
attacked	attack	attacked
his	his	his
decision	decis	decision
.	.	.
Meanwhile	meanwhil	Meanwhile
,	,	,
the	the	the
truth	truth	truth
is	is	is
,	,	,
that	that	that
for	for	for
decades	decad	decade
,	,	,
some	some	some
of	of	of
the	the	the
most	most	most
beloved	belov	beloved
Democrats	democrat	Democrats
have	have	have
used	use	used
the	the	the
promise	promis	promise
of	of	of
recognizing	recogn	recognizing
Jerusalem	jerusalem	Jerusalem
as	as	a
the	the	the
capital	capit	capital
of	of	of
Israel	israel	Israel
as	as	a
a	a	a
way	way	way
to	to	to
get	get	get
votes	vote	vote
.	.	.
In	in	In
1999	1999	1999
,	,	,
while	while	while
campaigning	campaign	campaigning
for	for	for
New	new	New
York	york	York
s	s	s
US	us	US
Senate	senat	Senate
seat	seat	seat
,	,	,
first	first	first
lady	ladi	lady
Hillary	hillari	Hillary
Rodham	rodham	Rodham
Clinton	clinton	Clinton
said	said	said
in	in	in
a	a	a
letter	letter	letter
,	,	,
that	that	that
she	she	she
considered	consid	considered
Jerusalem	jerusalem	Jerusalem
to	to	to
be	be	be
the	the	the
eternal	etern	eternal
and	and	and
indivisible	indivis	indivisible
capital	capit	capital
of	of	of
Israel	israel	Israel
and	and	and
will	will	will
be	be	be
an	an	an
active	activ	active
advocate	advoc	advocate
if	if	if
elected	elect	elected
to	to	to
New	new	New
York	york	York
s	s	s
Senate	senat	Senate
seat	seat	seat
to	to	to
move	move	move
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
embassy	embassi	embassy
to	to	to
Jerusalem	jerusalem	Jerusalem
.	.	.
In	in	In
a	a	a
letter	letter	letter
that	that	that
became	becam	became
public	public	public
Thursday	thursday	Thursday
,	,	,
Mrs	mrs	Mrs
.	.	.
Clinton	clinton	Clinton
wrote	wrote	wrote
If	if	If
I	i	I
am	am	am
chosen	chosen	chosen
by	by	by
New	new	New
Yorkers	yorker	Yorkers
to	to	to
be	be	be
their	their	their
senator	senat	senator
,	,	,
or	or	or
in	in	in
whatever	whatev	whatever
position	posit	position
I	i	I
find	find	find
myself	myself	myself
in	in	in
the	the	the
years	year	year
to	to	to
come	come	come
,	,	,
you	you	you
can	can	can
be	be	be
sure	sure	sure
that	that	that
I	i	I
will	will	will
be	be	be
an	an	an
active	activ	active
,	,	,
committed	commit	committed
advocate	advoc	advocate
for	for	for
a	a	a
strong	strong	strong
and	and	and
secure	secur	secure
Israel	israel	Israel
,	,	,
able	abl	able
to	to	to
live	live	live
in	in	in
peace	peac	peace
with	with	with
its	it	it
neighbors	neighbor	neighbor
,	,	,
with	with	with
the	the	the
United	unit	United
States	state	States
Embassy	embassi	Embassy
located	locat	located
in	in	in
its	it	it
capital	capit	capital
,	,	,
Jerusalem	jerusalem	Jerusalem
.	.	.
Hillary	hillari	Hillary
s	s	s
not	not	not
the	the	the
only	onli	only
one	one	one
to	to	to
promise	promis	promise
,	,	,
that	that	that
if	if	if
elected	elect	elected
,	,	,
they	they	they
would	would	would
move	move	move
heaven	heaven	heaven
and	and	and
earth	earth	earth
to	to	to
make	make	make
Jerusalem	jerusalem	Jerusalem
the	the	the
rightful	right	rightful
capital	capit	capital
of	of	of
Israel	israel	Israel
.	.	.
As	as	As
it	it	it
turns	turn	turn
out	out	out
,	,	,
Bill	bill	Bill
Clinton	clinton	Clinton
,	,	,
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
and	and	and
Barack	barack	Barack
Obama	obama	Obama
twice	twice	twice
also	also	also
made	made	made
the	the	the
same	same	same
promise	promis	promise
.	.	.
The	the	The
only	onli	only
problem	problem	problem
is	is	is
,	,	,
none	none	none
of	of	of
them	them	them
had	had	had
the	the	the
courage	courag	courage
to	to	to
do	do	do
it	it	it
.	.	.
Watch	watch	Watch
When	when	When
President	presid	President
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
announced	announc	announced
that	that	that
it	it	it
is	is	is
time	time	time
to	to	to
officially	offici	officially
recognize	recogn	recognize
Jerusalem	jerusalem	Jerusalem
as	as	a
the	the	the
capital	capit	capital
of	of	of
Israel	israel	Israel
,	,	,
he	he	he
fulfilled	fulfil	fulfilled
another	anoth	another
campaign	campaign	campaign
promise	promis	promise
,	,	,
in	in	in
addition	addit	addition
to	to	to
those	those	those
that	that	that
go	go	go
back	back	back
25	25	25
years	year	year
.	.	.
pic.twitter.com/P7M2dEx2qT	pic.twitter.com/p7m2dex2qt	pic.twitter.com/P7M2dEx2qT
Dan	dan	Dan
Scavino	scavino	Scavino
Jr	jr	Jr
.	.	.
@DanScavino	@danscavino	@DanScavino
December	decemb	December
7	7	7
,	,	,
2017Here	2017here	2017Here
s	s	s
why	whi	why
our	our	our
courageous	courag	courageous
president	presid	president
,	,	,
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
right	right	right
to	to	to
recognize	recogn	recognize
Jerusalem	jerusalem	Jerusalem
as	as	a
the	the	the
capital	capit	capital
of	of	of
Israel	israel	Israel
Matthew	matthew	Matthew
Continetti	continetti	Continetti
of	of	of
the	the	the
Washington	washington	Washington
Free	free	Free
Beacon	beacon	Beacon
wrote	wrote	wrote
the	the	the
best	best	best
article	articl	article
on	on	on
Trump	trump	Trump
s	s	s
bold	bold	bold
decision	decis	decision
to	to	to
move	move	move
the	the	the
US	us	US
embassy	embassi	embassy
to	to	to
Jerusalem	jerusalem	Jerusalem
that	that	that
we	we	we
have	have	have
seen	seen	seen
to	to	to
date	date	date
.	.	.
Not	not	Not
only	onli	only
is	is	is
President	presid	President
Trump	trump	Trump
s	s	s
decision	decis	decision
to	to	to
recognize	recogn	recognize
Jerusalem	jerusalem	Jerusalem
as	as	a
the	the	the
capital	capit	capital
of	of	of
Israel	israel	Israel
and	and	and
begin	begin	begin
the	the	the
process	process	process
of	of	of
moving	move	moving
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
embassy	embassi	embassy
there	there	there
one	one	one
of	of	of
the	the	the
boldest	boldest	boldest
moves	move	move
of	of	of
his	his	his
presidency	presid	presidency
.	.	.
It	it	It
is	is	is
one	one	one
of	of	of
the	the	the
boldest	boldest	boldest
moves	move	move
any	ani	any
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
has	has	ha
made	made	made
since	sinc	since
the	the	the
beginning	begin	beginning
of	of	of
the	the	the
Oslo	oslo	Oslo
peace	peac	peace
process	process	process
in	in	in
1993	1993	1993
.	.	.
That	that	That
process	process	process
collapsed	collaps	collapsed
at	at	at
Camp	camp	Camp
David	david	David
in	in	in
2000	2000	2000
when	when	when
Yasir	yasir	Yasir
Arafat	arafat	Arafat
rejected	reject	rejected
President	presid	President
Clinton	clinton	Clinton
s	s	s
offer	offer	offer
of	of	of
a	a	a
Palestinian	palestinian	Palestinian
state	state	state
.	.	.
And	and	And
the	the	the
process	process	process
has	has	ha
been	been	been
moribund	moribund	moribund
ever	ever	ever
since	sinc	since
,	,	,
despite	despit	despite
multiple	multipl	multiple
attempts	attempt	attempt
to	to	to
restart	restart	restart
it	it	it
.	.	.
That	that	That
is	is	is
why	whi	why
the	the	the
warnings	warn	warning
from	from	from
Trump	trump	Trump
critics	critic	critic
that	that	that
his	his	his
decision	decis	decision
may	may	may
wreck	wreck	wreck
the	the	the
peace	peac	peace
process	process	process
ring	ring	ring
hollow	hollow	hollow
.	.	.
There	there	There
is	is	is
no	no	no
peace	peac	peace
process	process	process
to	to	to
wreck	wreck	wreck
.	.	.
The	the	The
conflict	conflict	conflict
is	is	is
frozen	frozen	frozen
.	.	.
And	and	And
the	the	the
largest	largest	largest
barriers	barrier	barrier
to	to	to
the	the	the
resumption	resumpt	resumption
of	of	of
negotiations	negoti	negotiation
are	are	are
found	found	found
not	not	not
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
or	or	or
Israeli	isra	Israeli
policy	polici	policy
but	but	but
in	in	in
Palestinian	palestinian	Palestinian
autocracy	autocraci	autocracy
,	,	,
corruption	corrupt	corruption
,	,	,
and	and	and
incitement	incit	incitement
.	.	.
Have	have	Have
the	the	the
former	former	former
Obama	obama	Obama
administration	administr	administration
officials	offici	official
decrying	decri	decrying
Trump	trump	Trump
s	s	s
announcement	announc	announcement
read	read	read
a	a	a
newspaper	newspap	newspaper
lately	late	lately
?	?	?
From	from	From
listening	listen	listening
to	to	to
them	them	them
,	,	,
you	you	you
d	d	d
think	think	think
it	it	it
would	would	would
be	be	be
all	all	all
roses	rose	rose
and	and	and
ponies	poni	pony
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
but	but	but
for	for	for
Trump	trump	Trump
.	.	.
In	in	In
fact	fact	fact
,	,	,
the	the	the
region	region	region
is	is	is
engulfed	engulf	engulfed
in	in	in
war	war	war
,	,	,
terrorism	terror	terrorism
,	,	,
poverty	poverti	poverty
,	,	,
and	and	and
despotism	despot	despotism
;	;	;
