Apparently	appar	Apparently
,	,	,
Fox	fox	Fox
News	news	News
hosts	host	host
do	do	do
not	not	not
want	want	want
their	their	their
viewers	viewer	viewer
to	to	to
realize	realiz	realize
that	that	that
Donald	donald	Donald
Trump	trump	Trump
is	is	is
an	an	an
embarrassment	embarrass	embarrassment
to	to	to
America	america	America
and	and	and
a	a	a
complete	complet	complete
hypocrite	hypocrit	hypocrite
.	.	.
On	on	On
Saturday	saturday	Saturday
,	,	,
Trump	trump	Trump
arrived	arriv	arrived
in	in	in
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
a	a	a
majority	major	majority
Islamic	islam	Islamic
nation	nation	nation
where	where	where
Sharia	sharia	Sharia
law	law	law
is	is	is
widely	wide	widely
practiced	practic	practiced
,	,	,
and	and	and
a	a	a
nation	nation	nation
that	that	that
Trump	trump	Trump
has	has	ha
trashed	trash	trashed
in	in	in
the	the	the
past	past	past
.	.	.
When	when	When
President	presid	President
Obama	obama	Obama
visited	visit	visited
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
he	he	he
bowed	bow	bowed
to	to	to
show	show	show
respect	respect	respect
to	to	to
the	the	the
Saudi	saudi	Saudi
king	king	king
,	,	,
and	and	and
Trump	trump	Trump
repeatedly	repeat	repeatedly
whined	whine	whined
about	about	about
it	it	it
and	and	and
claimed	claim	claimed
that	that	that
Obama	obama	Obama
was	was	wa
making	make	making
America	america	America
look	look	look
weak	weak	weak
.	.	.
Well	well	Well
,	,	,
Trump	trump	Trump
s	s	s
meeting	meet	meeting
with	with	with
the	the	the
Saudi	saudi	Saudi
king	king	king
proved	prove	proved
that	that	that
Trump	trump	Trump
is	is	is
a	a	a
hypocrite	hypocrit	hypocrite
.	.	.
Trump	trump	Trump
not	not	not
only	onli	only
bowed	bow	bowed
to	to	to
accept	accept	accept
a	a	a
gift	gift	gift
from	from	from
Saudi	saudi	Saudi
King	king	King
Salman	salman	Salman
,	,	,
he	he	he
curtsied	curtsi	curtsied
like	like	like
a	a	a
princess	princess	princess
.	.	.
Here	here	Here
s	s	s
the	the	the
footage	footag	footage
via	via	via
YouTube	youtub	YouTube
.	.	.
Trump	trump	Trump
s	s	s
curtsy	curtsi	curtsy
did	did	did
not	not	not
go	go	go
