Keeping	keep	Keeping
in	in	in
line	line	line
with	with	with
his	his	his
constant	constant	constant
backtracking	backtrack	backtracking
and	and	and
just	just	just
generally	general	generally
erratic	errat	erratic
ways	way	way
,	,	,
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
taken	taken	taken
a	a	a
softer	softer	softer
stance	stanc	stance
on	on	on
what	what	what
was	was	wa
seen	seen	seen
as	as	a
essentially	essenti	essentially
his	his	his
core	core	core
campaign	campaign	campaign
promise	promis	promise
by	by	by
claiming	claim	claiming
that	that	that
the	the	the
2	2	2
,	,	,
000	000	000
mile	mile	mile
long	long	long
wall	wall	wall
he	he	he
initially	initi	initially
intended	intend	intended
to	to	to
build	build	build
along	along	along
the	the	the
border	border	border
with	with	with
Mexico	mexico	Mexico
may	may	may
not	not	not
need	need	need
to	to	to
cover	cover	cover
the	the	the
full	full	full
distance	distanc	distance
due	due	due
to	to	to
natural	natur	natural
borders	border	border
that	that	that
already	alreadi	already
exist	exist	exist
.	.	.
You	you	You
have	have	have
mountains	mountain	mountain
.	.	.
You	you	You
have	have	have
some	some	some
rivers	river	river
that	that	that
are	are	are
violent	violent	violent
and	and	and
vicious	vicious	vicious
.	.	.
You	you	You
have	have	have
some	some	some
areas	area	area
that	that	that
are	are	are
so	so	so
far	far	far
away	away	away
that	that	that
you	you	you
don	don	don
t	t	t
really	realli	really
have	have	have
people	peopl	people
crossing	cross	crossing
,	,	,
the	the	the
President	presid	President
told	told	told
reporters	report	reporter
aboard	aboard	aboard
Air	air	Air
Force	forc	Force
One	one	One
on	on	on
his	his	his
recent	recent	recent
flight	flight	flight
to	to	to
Paris	pari	Paris
.	.	.
But	but	But
you	you	you
ll	ll	ll
need	need	need
anywhere	anywher	anywhere
from	from	from
700	700	700
to	to	to
900	900	900
miles	mile	mile
.	.	.
Trump	trump	Trump
made	made	made
the	the	the
construction	construct	construction
of	of	of
a	a	a
big	big	big
beautiful	beauti	beautiful
wall	wall	wall
,	,	,
with	with	with
a	a	a
big	big	big
beautiful	beauti	beautiful
door	door	door
,	,	,
a	a	a
solid	solid	solid
structure	structur	structure
30	30	30
feet	feet	foot
high	high	high
in	in	in
an	an	an
effort	effort	effort
to	to	to
curb	curb	curb
illegal	illeg	illegal
immigration	immigr	immigration
the	the	the
cornerstone	cornerston	cornerstone
of	of	of
his	his	his
2016	2016	2016
election	elect	election
campaign	campaign	campaign
,	,	,
insisting	insist	insisting
that	that	that
Mexico	mexico	Mexico
would	would	would
pay	pay	pay
for	for	for
it	it	it
with	with	with
the	the	the
cost	cost	cost
estimated	estim	estimated
to	to	to
be	be	be
in	in	in
the	the	the
vicinity	vicin	vicinity
of	of	of
20	20	20
billion	billion	billion
,	,	,
although	although	although
he	he	he
later	later	later
stated	state	stated
that	that	that
could	could	could
be	be	be
cut	cut	cut
by	by	by
covering	cover	covering
the	the	the
wall	wall	wall
in	in	in
solar	solar	solar
panels	panel	panel
.	.	.
Naturally	natur	Naturally
Mexico	mexico	Mexico
has	has	ha
refused	refus	refused
to	to	to
pay	pay	pay
,	,	,
most	most	most
likely	like	likely
because	becaus	because
they	they	they
never	never	never
requested	request	requested
the	the	the
border	border	border
wall	wall	wall
in	in	in
the	the	the
first	first	first
place	place	place
,	,	,
however	howev	however
,	,	,
Trump	trump	Trump
still	still	still
believes	believ	belief
he	he	he
will	will	will
find	find	find
a	a	a
way	way	way
to	to	to
get	get	get
them	them	them
to	to	to
cough	cough	cough
up	up	up
the	the	the
cash	cash	cash
after	after	after
construction	construct	construction
begins	begin	begin
.	.	.
But	but	But
if	if	if
you	you	you
believe	believ	believe
that	that	that
the	the	the
President	presid	President
s	s	s
insistence	insist	insistence
that	that	that
Mexico	mexico	Mexico
will	will	will
reimburse	reimburs	reimburse
the	the	the
US	us	US
for	for	for
construction	construct	construction
for	for	for
the	the	the
wall	wall	wall
is	is	is
the	the	the
only	onli	only
flaw	flaw	flaw
in	in	in
his	his	his
plan	plan	plan
,	,	,
you	you	you
are	are	are
sadly	sad	sadly
mistaken	mistaken	mistaken
.	.	.
First	first	First
of	of	of
all	all	all
,	,	,
almost	almost	almost
all	all	all
of	of	of
that	that	that
700	700	700
to	to	to
900	900	900
miles	mile	mile
that	that	that
Trump	trump	Trump
mentioned	mention	mentioned
,	,	,
less	less	le
than	than	than
half	half	half
of	of	of
the	the	the
length	length	length
of	of	of
the	the	the
US	us	US
-Mexico	-mexico	-Mexico
border	border	border
,	,	,
already	alreadi	already
has	has	ha
walls	wall	wall
and	and	and
fences	fenc	fence
.	.	.
In	in	In
fact	fact	fact
,	,	,
the	the	the
current	current	current
border	border	border
wall	wall	wall
is	is	is
already	alreadi	already
650	650	650
miles	mile	mile
long	long	long
.	.	.
Also	also	Also
,	,	,
as	as	a
for	for	for
the	the	the
