European	european	European
nations	nation	nation
have	have	have
naively	naiv	naively
opened	open	opened
their	their	their
borders	border	border
to	to	to
millions	million	million
of	of	of
Muslim	muslim	Muslim
males	male	male
who	who	who
have	have	have
no	no	no
intention	intent	intention
of	of	of
assimilating	assimil	assimilating
.	.	.

As	as	As
they	they	they
make	make	make
their	their	their
way	way	way
across	across	across
Europe	europ	Europe
,	,	,
police	polic	police
forces	forc	force
find	find	find
themselves	themselv	themselves
ill	ill	ill
-equipped	-equip	-equipped
to	to	to
handle	handl	handle
the	the	the
extreme	extrem	extreme
increase	increas	increase
in	in	in
sexual	sexual	sexual
assault	assault	assault
and	and	and
violence	violenc	violence
,	,	,
so	so	so
citizens	citizen	citizen
are	are	are
now	now	now
finding	find	finding
themselves	themselv	themselves
in	in	in
a	a	a
position	posit	position
where	where	where
they	they	they
are	are	are
being	be	being
forced	forc	forced
to	to	to
take	take	take
matters	matter	matter
into	into	into
their	their	their
own	own	own
hands	hand	hand
.	.	.
A	a	A
group	group	group
of	of	of
young	young	young
concerned	concern	concerned
Germans	german	Germans
made	made	made
a	a	a
video	video	video
warning	warn	warning
that	that	that
they	they	they
would	would	would
no	no	no
longer	longer	longer
sit	sit	sit
back	back	back
and	and	and
watch	watch	watch
their	their	their
culture	cultur	culture
and	and	and
history	histori	history
being	be	being
destroyed	destroy	destroyed
.	.	.

The	the	The
video	video	video
can	can	can
be	be	be
viewed	view	viewed
by	by	by
clicking	click	clicking
HERE	here	HERE
.	.	.
On	on	On
February	februari	February
4	4	4
,	,	,
2015	2015	2015
,	,	,
we	we	we
reported	report	reported
about	about	about
a	a	a
fast	fast	fast
growing	grow	growing
group	group	group
of	of	of
vigilantes	vigilant	vigilante
who	who	who
call	call	call
themselves	themselv	themselves
the	the	the
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
.	.	.

The	the	The
self	self	self
-styled	-style	-styled
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
march	march	march
in	in	in
a	a	a
mob	mob	mob
,	,	,
wearing	wear	wearing
bomber	bomber	bomber
jackets	jacket	jacket
with	with	with
their	their	their
logo	logo	logo
on	on	on
the	the	the
back	back	back
.	.	.

They	they	They
have	have	have
vowed	vow	vowed
to	to	to
take	take	take
direct	direct	direct
action	action	action
to	to	to
protect	protect	protect
their	their	their
wives	wive	wife
,	,	,
girlfriends	girlfriend	girlfriend
and	and	and
children	children	child
after	after	after
a	a	a
migrant	migrant	migrant
