These	these	These
disrespectful	disrespect	disrespectful
crybabies	crybabi	crybaby
are	are	are
in	in	in
for	for	for
a	a	a
rude	rude	rude
awakening	awaken	awakening
when	when	when
they	they	they
graduate	graduat	graduate
from	from	from
college	colleg	college
and	and	and
have	have	have
to	to	to
face	face	face
a	a	a
real	real	real
and	and	and
sometimes	sometim	sometimes
very	veri	very
harsh	harsh	harsh
world	world	world
.	.	.
If	if	If
the	the	the
American	american	American
flag	flag	flag
offends	offend	offends
them	them	them
,	,	,
perhaps	perhap	perhaps
they	they	they
should	should	should
try	tri	try
pledging	pledg	pledging
their	their	their
allegiance	allegi	allegiance
to	to	to
the	the	the
Cuban	cuban	Cuban
flag	flag	flag
or	or	or
the	the	the
N	n	N
.	.	.
Korean	korean	Korean
flag	flag	flag
,	,	,
I	i	I
m	m	m
pretty	pretti	pretty
sure	sure	sure
both	both	both
countries	countri	country
would	would	would
be	be	be
more	more	more
than	than	than
happy	happi	happy
to	to	to
accept	accept	accept
them	them	them
as	as	a
citizens	citizen	citizen
The	the	The
day	day	day
after	after	after
the	the	the
election	elect	election
,	,	,
some	some	some
people	peopl	people
at	at	at
Hampshire	hampshir	Hampshire
College	colleg	College
reacted	react	reacted
to	to	to
news	news	news
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
victory	victori	victory
by	by	by
calling	call	calling
for	for	for
removal	remov	removal
of	of	of
the	the	the
American	american	American
flag	flag	flag
at	at	at
the	the	the
center	center	center
of	of	of
campus	campus	campus
,	,	,
saying	say	saying
it	it	it
was	was	wa
a	a	a
symbol	symbol	symbol
of	of	of
racism	racism	racism
and	and	and
hatred	hatr	hatred
.	.	.
That	that	That
night	night	night
,	,	,
some	some	some
lowered	lower	lowered
it	it	it
.	.	.
And	and	And
the	the	the
following	follow	following
night	night	night
sometime	sometim	sometime
before	befor	before
dawn	dawn	dawn
on	on	on
Veterans	veteran	Veterans
Day	day	Day
people	peopl	people
burned	burn	burned
it	it	it
.	.	.
The	the	The
flag	flag	flag
was	was	wa
quickly	quick	quickly
replaced	replac	replaced
,	,	,
but	but	but
the	the	the
college	colleg	college
board	board	board
announced	announc	announced
it	it	it
would	would	would
be	be	be
flown	flown	flown
at	at	at
half	half	half
-staff	-staff	-staff
,	,	,
both	both	both
to	to	to
acknowledge	acknowledg	acknowledge
the	the	the
grief	grief	grief
and	and	and
pain	pain	pain
experienced	experienc	experienced
by	by	by
so	so	so
many	mani	many
and	and	and
to	to	to
enable	enabl	enable
the	the	the
full	full	full
complexity	complex	complexity
of	of	of
voices	voic	voice
and	and	and
experiences	experi	experience
to	to	to
be	be	be
heard	heard	heard
.	.	.
That	that	That
didn	didn	didn
t	t	t
work	work	work
,	,	,
Jonathan	jonathan	Jonathan
Lash	lash	Lash
,	,	,
the	the	the
president	presid	president
of	of	of
the	the	the
small	small	small
liberal	liber	liberal
-arts	-art	-arts
college	colleg	college
in	in	in
western	western	western
Massachusetts	massachusett	Massachusetts
said	said	said
Monday	monday	Monday
.	.	.
Lowering	lower	Lowering
the	the	the
flag	flag	flag
to	to	to
half	half	half
-staff	-staff	-staff
offended	offend	offended
many	mani	many
,	,	,
and	and	and
the	the	the
backlash	backlash	backlash
was	was	wa
immediate	immedi	immediate
,	,	,
especially	especi	especially
from	from	from
veterans	veteran	veteran
and	and	and
military	militari	military
families	famili	family
who	who	who
saw	saw	saw
it	it	it
as	as	a
disrespectful	disrespect	disrespectful
of	of	of
the	the	the
tradition	tradit	tradition
of	of	of
national	nation	national
mourning	mourn	mourning
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
Lash	lash	Lash
told	told	told
the	the	the
campus	campus	campus
community	communiti	community
that	that	that
its	it	it
efforts	effort	effort
to	to	to
convey	convey	convey
respect	respect	respect
and	and	and
sorrow	sorrow	sorrow
had	had	had
had	had	had
the	the	the
opposite	opposit	opposite
effect	effect	effect
,	,	,
and	and	and
announced	announc	announced
that	that	that
the	the	the
college	colleg	college
would	would	would
remove	remov	remove
the	the	the
flag	flag	flag
entirely	entir	entirely
.	.	.
He	he	He
said	said	said
there	there	there
is	is	is
a	a	a
tremendous	tremend	tremendous
range	rang	range
of	of	of
views	view	view
on	on	on
campus	campus	campus
,	,	,
people	peopl	people
for	for	for
whom	whom	whom
the	the	the
flag	flag	flag
is	is	is
a	a	a
very	veri	very
powerful	power	powerful
symbol	symbol	symbol
of	of	of
fear	fear	fear
they	they	they
ve	ve	ve
felt	felt	felt
all	all	all
their	their	their
lives	live	life
because	becaus	because
they	they	they
grew	grew	grew
up	up	up
as	as	a
people	peopl	people
of	of	of
color	color	color
,	,	,
never	never	never
feeling	feel	feeling
safe	safe	safe
and	and	and
people	peopl	people
for	for	for
whom	whom	whom
it	it	it
s	s	s
a	a	a
symbol	symbol	symbol
of	of	of
their	their	their
highest	highest	highest
aspiration	aspir	aspiration
for	for	for
the	the	the
country	countri	country
.	.	.
At	at	At
Brown	brown	Brown
University	univers	University
,	,	,
some	some	some
students	student	student
tore	tore	tore
up	up	up
and	and	and
stomped	stomp	stomped
on	on	on
flags	flag	flag
from	from	from
an	an	an
event	event	event
honoring	honor	honoring
veterans	veteran	veteran
last	last	last
week	week	week
,	,	,
while	while	while
others	other	others
hurried	hurri	hurried
to	to	to
replace	replac	replace
and	and	and
protect	protect	protect
the	the	the
flags	flag	flag
.	.	.
At	at	At
American	american	American
University	univers	University
the	the	the
day	day	day
after	after	after
the	the	the
election	elect	election
,	,	,
students	student	student
upset	upset	upset
about	about	about
Trump	trump	Trump
s	s	s
victory	victori	victory
burned	burn	burned
flags	flag	flag
and	and	and
shouted	shout	shouted
F	f	F
white	white	white
America	america	America
!	!	!
In	in	In
an	an	an
email	email	email
to	to	to
the	the	the
campus	campus	campus
community	communiti	community
Friday	friday	Friday
,	,	,
Lash	lash	Lash
wrote	wrote	wrote
that	that	that
college	colleg	college
leaders	leader	leader
hoped	hope	hoped
that	that	that
removing	remov	removing
the	the	the
flag	flag	flag
will	will	will
enable	enabl	enable
us	us	u
to	to	to
instead	instead	instead
focus	focus	focus
our	our	our
efforts	effort	effort
on	on	on
addressing	address	addressing
racist	racist	racist
,	,	,
misogynistic	misogynist	misogynistic
,	,	,
Islamophobic	islamophob	Islamophobic
,	,	,
anti	anti	anti
-immigrant	-immigr	-immigrant
,	,	,
anti	anti	anti
-Semitic	-semit	-Semitic
,	,	,
and	and	and
anti	anti	anti
-LGBTQ	-lgbtq	-LGBTQ
rhetoric	rhetor	rhetoric
and	and	and
behaviors	behavior	behavior
.	.	.
He	he	He
also	also	also
wrote	wrote	wrote
,	,	,
Some	some	Some
have	have	have
perceived	perceiv	perceived
the	the	the
action	action	action
of	of	of
lowering	lower	lowering
the	the	the
flag	flag	flag
as	as	a
a	a	a
commentary	commentari	commentary
on	on	on
the	the	the
results	result	result
of	of	of
the	the	the
presidential	presidenti	presidential
election	elect	election
this	this	this
,	,	,
unequivocally	unequivoc	unequivocally
,	,	,
was	was	wa
not	not	not
our	our	our
intent	intent	intent
.	.	.
The	the	The
decision	decis	decision
was	was	wa
met	met	met
with	with	with
anger	anger	anger
,	,	,
outrage	outrag	outrage
and	and	and
derision	deris	derision
from	from	from
many	mani	many
on	on	on
social	social	social
media	media	medium
.	.	.
Lash	lash	Lash
said	said	said
in	in	in
an	an	an
interview	interview	interview
that	that	that
he	he	he
is	is	is
hopeful	hope	hopeful
the	the	the
college	colleg	college
community	communiti	community
will	will	will
find	find	find
a	a	a
way	way	way
to	to	to
listen	listen	listen
to	to	to
one	one	one
another	anoth	another
s	s	s
concerns	concern	concern
in	in	in
the	the	the
next	next	next
month	month	month
or	or	or
two	two	two
while	while	while
the	the	the
flag	flag	flag
is	is	is
down	down	down
,	,	,
but	but	but
acknowledged	acknowledg	acknowledged
that	that	that
may	may	may
be	be	be
difficult	difficult	difficult
.	.	.
I	i	I
don	don	don
t	t	t
think	think	think
the	the	the
country	countri	country
did	did	did
it	it	it
very	veri	very
well	well	well
,	,	,
he	he	he
said	said	said
.	.	.
I	i	I
m	m	m
hoping	hope	hoping
we	we	we
can	can	can
as	as	a
a	a	a
campus	campus	campus
.	.	.
Lowell	lowel	Lowell
Sun	sun	Sun
