21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
Four	four	Four
people	peopl	people
,	,	,
including	includ	including
a	a	a
teacher	teacher	teacher
and	and	and
two	two	two
students	student	student
,	,	,
have	have	have
been	been	been
shot	shot	shot
at	at	at
an	an	an
elementary	elementari	elementary
school	school	school
in	in	in
San	san	San
Bernardino	bernardino	Bernardino
,	,	,
California	california	California
.	.	.
The	the	The
incident	incid	incident
is	is	is
believed	believ	believed
to	to	to
have	have	have
been	been	been
a	a	a
murder	murder	murder
-suicide	-suicid	-suicide
,	,	,
according	accord	according
to	to	to
police	polic	police
.	.	.
The	the	The
shooting	shoot	shooting
stemmed	stem	stemmed
from	from	from
a	a	a
domestic	domest	domestic
violence	violenc	violence
situation	situat	situation
.	.	.
The	the	The
shooting	shoot	shooting
occurred	occur	occurred
in	in	in
a	a	a
classroom	classroom	classroom
at	at	at
North	north	North
Park	park	Park
School	school	School
.	.	.
Along	along	Along
with	with	with
the	the	the
three	three	three
victims	victim	victim
,	,	,
the	the	the
suspect	suspect	suspect
is	is	is
believed	believ	believed
to	to	to
be	be	be
down	down	down
as	as	a
well	well	well
,	,	,
according	accord	according
to	to	to
San	san	San
Bernardino	bernardino	Bernardino
Police	polic	Police
Chief	chief	Chief
Jarrod	jarrod	Jarrod
Burguan	burguan	Burguan
.	.	.
We	we	We
believe	believ	believe
this	this	this
to	to	to
be	be	be
a	a	a
murder	murder	murder
suicide	suicid	suicide
.	.	.
Happened	happen	Happened
in	in	in
a	a	a
class	class	class
room	room	room
.	.	.
Two	two	Two
students	student	student
have	have	have
been	been	been
transported	transport	transported
to	to	to
the	the	the
hospital	hospit	hospital
.	.	.
Chief	chief	Chief
Jarrod	jarrod	Jarrod
Burguan	burguan	Burguan
@SBPDChief	@sbpdchief	@SBPDChief
April	april	April
10	10	10
,	,	,
2017Two	2017two	2017Two
adults	adult	adult
are	are	are
deceased	deceas	deceased
in	in	in
a	a	a
classroom	classroom	classroom
,	,	,
believed	believ	believed
to	to	to
be	be	be
a	a	a
murder	murder	murder
suicide	suicid	suicide
.	.	.
We	we	We
believe	believ	believe
the	the	the
suspect	suspect	suspect
is	is	is
down	down	down
and	and	and
there's	there	there's
no	no	no
further	further	further
threat	threat	threat
.	.	.
Chief	chief	Chief
Jarrod	jarrod	Jarrod
Burguan	burguan	Burguan
@SBPDChief	@sbpdchief	@SBPDChief
April	april	April
10	10	10
,	,	,
2017Two	2017two	2017Two
adults	adult	adult
a	a	a
man	man	man
and	and	and
a	a	a
woman	woman	woman
are	are	are
dead	dead	dead
in	in	in
the	the	the
classroom	classroom	classroom
,	,	,
and	and	and
police	polic	police
believe	believ	believe
the	the	the
suspect	suspect	suspect
is	is	is
down	down	down
and	and	and
there	there	there
s	s	s
no	no	no
further	further	further
threat	threat	threat
,	,	,
Burguan	burguan	Burguan
said	said	said
.	.	.
The	the	The
gunman	gunman	gunman
checked	check	checked
in	in	in
with	with	with
the	the	the
front	front	front
office	offic	office
,	,	,
where	where	where
he	he	he
was	was	wa
known	known	known
to	to	to
school	school	school
staff	staff	staff
,	,	,
San	san	San
Bernardino	bernardino	Bernardino
Police	polic	Police
Captain	captain	Captain
Ron	ron	Ron
Maass	maass	Maass
said	said	said
.	.	.
The	the	The
two	two	two
students	student	student
were	were	were
transported	transport	transported
to	to	to
the	the	the
hospital	hospit	hospital
,	,	,
one	one	one
via	via	via
helicopter	helicopt	helicopter
and	and	and
the	the	the
other	other	other
in	in	in
an	an	an
ambulance	ambul	ambulance
,	,	,
a	a	a
police	polic	police
spokesman	spokesman	spokesman
told	told	told
reporters	report	reporter
.	.	.
They	they	They
are	are	are
in	in	in
critical	critic	critical
condition	condit	condition
.	.	.
The	the	The
children	children	child
we	we	we
do	do	do
not	not	not
believe	believ	believe
were	were	were
targeted	target	targeted
,	,	,
the	the	the
spokesman	spokesman	spokesman
said	said	said
.	.	.
The	the	The
fire	fire	fire
department	depart	department
has	has	ha
set	set	set
up	up	up
a	a	a
triage	triag	triage
to	to	to
assess	assess	ass
and	and	and
treat	treat	treat
victims	victim	victim
at	at	at
the	the	the
scene	scene	scene
.	.	.
Law	law	Law
enforcement	enforc	enforcement
was	was	wa
on	on	on
the	the	the
scene	scene	scene
within	within	within
seven	seven	seven
minutes	minut	minute
of	of	of
the	the	the
shooting	shoot	shooting
.	.	.
The	the	The
San	san	San
Bernardino	bernardino	Bernardino
County	counti	County
Sheriff	sheriff	Sheriff
s	s	s
Department	depart	Department
is	is	is
assisting	assist	assisting
in	in	in
the	the	the
investigation	investig	investigation
.	.	.
The	the	The
school	school	school
will	will	will
be	be	be
closed	close	closed
for	for	for
at	at	at
least	least	least
the	the	the
next	next	next
two	two	two
days	day	day
,	,	,
police	polic	police
said	said	said
.	.	.
North	north	North
Park	park	Park
,	,	,
Cajon	cajon	Cajon
and	and	and
Hillside	hillsid	Hillside
Elementary	elementari	Elementary
Schools	school	Schools
are	are	are
on	on	on
lockdown	lockdown	lockdown
,	,	,
while	while	while
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
campus	campus	campus
of	of	of
California	california	California
State	state	State
University	univers	University
is	is	is
under	under	under
a	a	a
shelter	shelter	shelter
-in-place	-in-plac	-in-place
order	order	order
.	.	.
Students	student	Students
were	were	were
evacuated	evacu	evacuated
to	to	to
Cal	cal	Cal
State	state	State
San	san	San
Bernardino	bernardino	Bernardino
,	,	,
while	while	while
parents	parent	parent
were	were	were
told	told	told
to	to	to
pick	pick	pick
them	them	them
up	up	up
at	at	at
Cajon	cajon	Cajon
High	high	High
School	school	School
.	.	.
They	they	They
must	must	must
be	be	be
listed	list	listed
on	on	on
the	the	the
students	student	student
emergency	emerg	emergency
contact	contact	contact
forms	form	form
and	and	and
show	show	show
photo	photo	photo
ID	id	ID
.	.	.
This	this	This
is	is	is
the	the	the
second	second	second
mass	mass	mass
shooting	shoot	shooting
in	in	in
the	the	the
southern	southern	southern
California	california	California
city	citi	city
in	in	in
since	sinc	since
December	decemb	December
2015	2015	2015
.	.	.
In	in	In
that	that	that
incident	incid	incident
,	,	,
which	which	which
was	was	wa
later	later	later
categorized	categor	categorized
as	as	a
an	an	an
act	act	act
of	of	of
terrorism	terror	terrorism
,	,	,
a	a	a
married	marri	married
couple	coupl	couple
opened	open	opened
fire	fire	fire
on	on	on
a	a	a
holiday	holiday	holiday
party	parti	party
for	for	for
the	the	the
husband	husband	husband
s	s	s
work	work	work
,	,	,
killing	kill	killing
14	14	14
and	and	and
injuring	injur	injuring
21	21	21
.	.	.
Initially	initi	Initially
had	had	had
a	a	a
replay	replay	replay
of	of	of
the	the	the
deeply	deepli	deeply
disturbing	disturb	disturbing
feeling	feel	feeling
of	of	of
terror	terror	terror
and	and	and
dread	dread	dread
felt	felt	felt
on	on	on
Dec2nd	dec2nd	Dec2nd
15	15	15
when	when	when
I	i	I
turned	turn	turned
scanner	scanner	scanner
on	on	on
today	today	today
.	.	.
#PTSDAwareness	#ptsdawar	#PTSDAwareness
https://t.co/ee0XzukcXb	https://t.co/ee0xzukcxb	https://t.co/ee0XzukcXb
Darren	darren	Darren
Espiritu	espiritu	Espiritu
@SBDarren	@sbdarren	@SBDarren
April	april	April
10	10	10
,	,	,
2017	2017	2017
Tragedy	tragedi	Tragedy
has	has	ha
struck	struck	struck
us	us	u
again	again	again
,	,	,
and	and	and
we	we	we
need	need	need
to	to	to
now	now	now
work	work	work
through	through	through
that	that	that
and	and	and
be	be	be
there	there	there
for	for	for
all	all	all
of	of	of
the	the	the
involved	involv	involved
parties	parti	party
,	,	,
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
PD	pd	PD
said	said	said
.	.	.
San	san	San
Bernardino	bernardino	Bernardino
experienced	experienc	experienced
a	a	a
surge	surg	surge
in	in	in
violence	violenc	violence
in	in	in
2016	2016	2016
,	,	,
including	includ	including
a	a	a
41	41	41
percent	percent	percent
increase	increas	increase
in	in	in
homicides	homicid	homicide
over	over	over
the	the	the
previous	previous	previous
year	year	year
.	.	.
The	the	The
62	62	62
slayings	slay	slaying
made	made	made
2016	2016	2016
the	the	the
city	citi	city
s	s	s
deadliest	deadliest	deadliest
year	year	year
since	sinc	since
1995	1995	1995
,	,	,
the	the	the
Los	los	Los
Angeles	angel	Angeles
Times	time	Times
reported	report	reported
Continue	continu	Continue
this	this	this
report	report	report
at	at	at
RT	rt	RT
READ	read	READ
MORE	more	MORE
US	us	US
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
US	us	US
FilesSUPPORT	filessupport	FilesSUPPORT
OUR	our	OUR
WORK	work	WORK
BY	by	BY
SUBSCRIBING	subscrib	SUBSCRIBING
BECOMING	becom	BECOMING
A	a	A
MEMBER	member	MEMBER
@21WIRE	@21wire	@21WIRE
.	.	.
TV	tv	TV
