Maybe	mayb	Maybe
thoughts	thought	thought
and	and	and
prayers	prayer	prayer
aren	aren	aren
t	t	t
the	the	the
remedy	remedi	remedy
following	follow	following
a	a	a
shooting	shoot	shooting
,	,	,
after	after	after
all	all	all
.	.	.
At	at	At
the	the	the
First	first	First
United	unit	United
Methodist	methodist	Methodist
Church	church	Church
in	in	in
East	east	East
Tennessee	tennesse	Tennessee
,	,	,
about	about	about
20	20	20
senior	senior	senior
citizens	citizen	citizen
gathered	gather	gathered
around	around	around
for	for	for
a	a	a
holiday	holiday	holiday
meal	meal	meal
.	.	.
After	after	After
the	the	the
meal	meal	meal
,	,	,
the	the	the
group	group	group
of	of	of
elderly	elder	elderly
churchgoers	churchgoer	churchgoer
decided	decid	decided
to	to	to
discuss	discuss	discus
gun	gun	gun
safety	safeti	safety
.	.	.
There	there	There
has	has	ha
,	,	,
after	after	after
all	all	all
,	,	,
been	been	been
a	a	a
spate	spate	spate
of	of	of
mass	mass	mass
shootings	shoot	shooting
recently	recent	recently
as	as	a
many	mani	many
as	as	a
317	317	317
so	so	so
far	far	far
this	this	this
year	year	year
.	.	.
They	they	They
got	got	got
the	the	the
idea	idea	idea
for	for	for
the	the	the
conversation	convers	conversation
reportedly	report	reportedly
after	after	after
a	a	a
nearby	nearbi	nearby
county	counti	county
s	s	s
sheriff	sheriff	sheriff
s	s	s
department	depart	department
held	held	held
similar	similar	similar
seminars	seminar	seminar
at	at	at
its	it	it
local	local	local
churches	church	church
,	,	,
according	accord	according
to	to	to
Tellico	tellico	Tellico
Plains	plain	Plains
Police	polic	Police
Chief	chief	Chief
Russ	russ	Russ
Parks	park	Parks
.	.	.
Well	well	Well
,	,	,
I	i	I
ve	ve	ve
got	got	got
my	my	my
gun	gun	gun
on	on	on
me	me	me
,	,	,
an	an	an
81	81	81
-year-old	-year-old	-year-old
member	member	member
of	of	of
the	the	the
church	church	church
in	in	in
Tellico	tellico	Tellico
Plains	plain	Plains
said	said	said
,	,	,
according	accord	according
to	to	to
Parks	park	Parks
,	,	,
The	the	The
Washington	washington	Washington
Post	post	Post
reports	report	report
.	.	.
The	the	The
man	man	man
then	then	then
pulled	pull	pulled
out	out	out
his	his	his
holster	holster	holster
in	in	in
which	which	which
he	he	he
had	had	had
a	a	a
.	.	.
38	38	38
-caliber	-calib	-caliber
Ruger	ruger	Ruger
handgun	handgun	handgun
.	.	.
He	he	He
promptly	prompt	promptly
removed	remov	removed
the	the	the
magazine	magazin	magazine
for	for	for
everyone	everyon	everyone
to	to	to
see	see	see
,	,	,
then	then	then
cleared	clear	cleared
the	the	the
chamber	chamber	chamber
and	and	and
showed	show	showed
the	the	the
gun	gun	gun
to	to	to
his	his	his
fellow	fellow	fellow
parishioners	parishion	parishioner
.	.	.
The	the	The
churchgoers	churchgoer	churchgoer
