After	after	After
the	the	the
passing	pass	passing
of	of	of
conservative	conserv	conservative
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
Antonin	antonin	Antonin
Scalia	scalia	Scalia
,	,	,
Republicans	republican	Republicans
have	have	have
been	been	been
refusing	refus	refusing
to	to	to
even	even	even
welcome	welcom	welcome
any	ani	any
possibility	possibl	possibility
of	of	of
a	a	a
replacement	replac	replacement
.	.	.

They	they	They
don	don	don
t	t	t
seem	seem	seem
to	to	to
care	care	care
that	that	that
President	presid	President
Obama	obama	Obama
is	is	is
bound	bound	bound
by	by	by
the	the	the
Constitution	constitut	Constitution
to	to	to
nominate	nomin	nominate
someone	someon	someone
.	.	.

And	and	And
considering	consid	considering
Obama	obama	Obama
istill	istil	istill
is	is	is
,	,	,
and	and	and
will	will	will
be	be	be
the	the	the
president	presid	president
for	for	for
almost	almost	almost
another	anoth	another
whole	whole	whole
year	year	year
,	,	,
Republicans	republican	Republicans
are	are	are
also	also	also
bound	bound	bound
by	by	by
the	the	the
Constitution	constitut	Constitution
to	to	to
consider	consid	consider
the	the	the
nominee	nomine	nominee
.	.	.
Throwing	throw	Throwing
this	this	this
very	veri	very
obvious	obvious	obvious
fact	fact	fact
back	back	back
in	in	in
their	their	their
Republican	republican	Republican
faces	face	face
is	is	is
none	none	none
other	other	other
than	than	than
Senator	senat	Senator
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
from	from	from
the	the	the
great	great	great
state	state	state
of	of	of
Massachusetts	massachusett	Massachusetts
.	.	.

She	she	She
said	said	said
it	it	it
is	is	is
shocking	shock	shocking
that	that	that
they	they	they
are	are	are
unwilling	unwil	unwilling
to	to	to
entertain	entertain	entertain
the	the	the
idea	idea	idea
of	of	of
a	a	a
new	new	new
Justice	justic	Justice
clearly	clear	clearly
caving	cave	caving
to	to	to
those	those	those
on	on	on
the	the	the
extreme	extrem	extreme
right	right	right
.	.	.

However	howev	However
,	,	,
also	also	also
noting	note	noting
that	that	that
this	this	this
refusal	refus	refusal
to	to	to
do	do	do
their	their	their
job	job	job
is	is	is
not	not	not
new	new	new
.	.	.

Warren	warren	Warren
stated	state	stated
in	in	in
a	a	a
scathing	scath	scathing
rebuke	rebuk	rebuke
of	of	of
their	their	their
incompetence	incompet	incompetence
The	the	The
message	messag	message
from	from	from
Senate	senat	Senate
Republicans	republican	Republicans
is	is	is
crystal	crystal	crystal
clear	clear	clear
Forget	forget	Forget
the	the	the
Constitution	constitut	Constitution
.	.	.

Their	their	Their
response	respons	response
to	to	to
one	one	one
of	of	of
the	the	the
most	most	most
solemn	solemn	solemn
