Amateur	amateur	Amateur
president	presid	president
Donald	donald	Donald
Trump	trump	Trump
told	told	told
the	the	the
drought	drought	drought
-stricken	-stricken	-stricken
Dakotas	dakota	Dakotas
that	that	that
he	he	he
can	can	can
make	make	make
the	the	the
drought	drought	drought
go	go	go
away	away	away
and	and	and
told	told	told
attendees	attende	attendee
during	dure	during
a	a	a
tax	tax	tax
reform	reform	reform
speech	speech	speech
that	that	that
they	they	they
are	are	are
better	better	better
off	off	off
than	than	than
cities	citi	city
flooded	flood	flooded
by	by	by
Hurricane	hurrican	Hurricane
Harvey	harvey	Harvey
.	.	.
I	i	I
know	know	know
you	you	you
have	have	have
a	a	a
little	littl	little
bit	bit	bit
of	of	of
a	a	a
drought	drought	drought
.	.	.
They	they	They
had	had	had
the	the	the
opposite	opposit	opposite
,	,	,
believe	believ	believe
me	me	me
,	,	,
Trump	trump	Trump
said	said	said
during	dure	during
his	his	his
speech	speech	speech
in	in	in
Mandan	mandan	Mandan
,	,	,
North	north	North
Dakota	dakota	Dakota
.	.	.
You	you	You
re	re	re
better	better	better
off	off	off
.	.	.
You	you	You
are	are	are
better	better	better
off	off	off
,	,	,
they	they	they
had	had	had
the	the	the
absolute	absolut	absolute
opposite	opposit	opposite
,	,	,
the	the	the
climate	climat	climate
change	chang	change
denier	denier	denier
said	said	said
.	.	.
Trump	trump	Trump
continued	continu	continued
to	to	to
say	say	say
that	that	that
he	he	he
was	was	wa
surprised	surpris	surprised
that	that	that
droughts	drought	drought
could	could	could
happen	happen	happen
this	this	this
far	far	far
north	north	north
.	.	.
We	we	We
re	re	re
doing	do	doing
everything	everyth	everything
we	we	we
can	can	can
but	but	but
you	you	you
have	have	have
a	a	a
very	veri	very
serious	serious	serious
drought	drought	drought
,	,	,
he	he	he
said	said	said
.	.	.
I	i	I
just	just	just
said	said	said
to	to	to
the	the	the
governor	governor	governor
,	,	,
I	i	I
didn	didn	didn
t	t	t
know	know	know
you	you	you
had	had	had
droughts	drought	drought
this	this	this
far	far	far
north	north	north
.	.	.
Guess	guess	Guess
what	what	what
you	you	you
have	have	have
them	them	them
.	.	.
We	we	We
re	re	re
working	work	working
hard	hard	hard
on	on	on
it	it	it
,	,	,
and	and	and
it	it	it
will	will	will
disappear	disappear	disappear
,	,	,
it	it	it
will	will	will
all	all	all
go	go	go
away	away	away
,	,	,
he	he	he
said	said	said
.	.	.
According	accord	According
to	to	to
a	a	a
federal	feder	federal
drought	drought	drought
monitor	monitor	monitor
report	report	report
which	which	which
was	was	wa
issued	issu	issued
last	last	last
week	week	week
,	,	,
it	it	it
said	said	said
there	there	there
were	were	were
long	long	long
-term	-term	-term
precipitation	precipit	precipitation
deficits	deficit	deficit
in	in	in
parts	part	part
of	of	of
the	the	the
Dakotas	dakota	Dakotas
,	,	,
Nebraska	nebraska	Nebraska
and	and	and
Montana	montana	Montana
,	,	,
where	where	where
41	41	41
percent	percent	percent
of	of	of
the	the	the
state	state	state
s	s	s
pasture	pastur	pasture
and	and	and
range	rang	range
conditions	condit	condition
are	are	are
rated	rate	rated
very	veri	very
poor	poor	poor
,	,	,
The	the	The
Hill	hill	Hill
reports	report	report
.	.	.
Trump	trump	Trump
said	said	said
his	his	his
Agriculture	agricultur	Agriculture
Department	depart	Department
has	has	ha
been	been	been
working	work	working
closely	close	closely
with	with	with
states	state	state
in	in	in
the	the	the
region	region	region
to	to	to
alleviate	allevi	alleviate
the	the	the
impact	impact	impact
of	of	of
the	the	the
drought	drought	drought
on	on	on
farmers	farmer	farmer
and	and	and
ranchers	rancher	rancher
.	.	.
We	we	We
will	will	will
always	alway	always
stand	stand	stand
strong	strong	strong
with	with	with
our	our	our
farmers	farmer	farmer
and	and	and
our	our	our
ranchers	rancher	rancher
,	,	,
the	the	the
backbone	backbon	backbone
of	of	of
America	america	America
,	,	,
that	that	that
I	i	I
can	can	can
tell	tell	tell
you	you	you
100	100	100
percent	percent	percent
,	,	,
he	he	he
added	ad	added
.	.	.
Trump	trump	Trump
nominated	nomin	nominated
an	an	an
Oklahoma	oklahoma	Oklahoma
politician	politician	politician
who	who	who
is	is	is
a	a	a
climate	climat	climate
change	chang	change
skeptic	skeptic	skeptic
to	to	to
run	run	run
NASA	nasa	NASA
an	an	an
agency	agenc	agency
which	which	which
monitors	monitor	monitor
