We	we	We
hear	hear	hear
a	a	a
lot	lot	lot
of	of	of
talk	talk	talk
about	about	about
making	make	making
America	america	America
great	great	great
again	again	again
coming	come	coming
from	from	from
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
massively	massiv	massively
stupid	stupid	stupid
acolytes	acolyt	acolyte
but	but	but
what	what	what
about	about	about
our	our	our
lawns	lawn	lawn
?	?	?
Can	can	Can
they	they	they
be	be	be
great	great	great
again	again	again
?	?	?
That	that	That
s	s	s
what	what	what
one	one	one
brave	brave	brave
landscaper	landscap	landscaper
in	in	in
Florida	florida	Florida
apparently	appar	apparently
decided	decid	decided
to	to	to
find	find	find
out	out	out
when	when	when
he	he	he
saw	saw	saw
a	a	a
Trump	trump	Trump
sign	sign	sign
in	in	in
someone	someon	someone
s	s	s
yard	yard	yard
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
curiosity	curios	curiosity
can	can	can
sometimes	sometim	sometimes
get	get	get
the	the	the
cat	cat	cat
banned	ban	banned
from	from	from
working	work	working
in	in	in
a	a	a
neighborhood	neighborhood	neighborhood
.	.	.
It	it	It
all	all	all
began	began	began
with	with	with
a	a	a
panicked	panick	panicked
Facebook	facebook	Facebook
post	post	post
from	from	from
the	the	the
sign	sign	sign
s	s	s
Trump	trump	Trump
-supporting	-support	-supporting
owner	owner	owner
Look	look	Look
at	at	at
what	what	what
our	our	our
landscapers	landscap	landscaper
did	did	did
.	.	.
.	.	.
I	i	I
understand	understand	understand
people	peopl	people
may	may	may
not	not	not
like	like	like
Trump	trump	Trump
but	but	but
I	i	I
have	have	have
my	my	my
rights	right	right
to	to	to
put	put	put
this	this	this
sign	sign	sign
in	in	in
my	my	my
yard	yard	yard
and	and	and
it	it	it
was	was	wa
no	no	no
accident	accid	accident
see	see	see
for	for	for
yourself	yourself	yourself
!	!	!
The	the	The
video	video	video
shows	show	show
a	a	a
19	19	19
-year-old	-year-old	-year-old
worker	worker	worker
riding	ride	riding
a	a	a
mower	mower	mower
at	at	at
high	high	high
speed	speed	speed
directly	direct	directly
into	into	into
Josh	josh	Josh
Boesch	boesch	Boesch
s	s	s
Donald	donald	Donald
Trump	trump	Trump
campaign	campaign	campaign
sign	sign	sign
one	one	one
of	of	of
many	mani	many
in	in	in
the	the	the
Citrus	citrus	Citrus
Chase	chase	Chase
subdivision	subdivis	subdivision
resident	resid	resident
s	s	s
yard	yard	yard
.	.	.
He	he	He
then	then	then
hops	hop	hop
off	off	off
his	his	his
mower	mower	mower
,	,	,
appears	appear	appears
to	to	to
throw	throw	throw
the	the	the
sign	sign	sign
back	back	back
in	in	in
front	front	front
of	of	of
the	the	the
mower	mower	mower
,	,	,
and	and	and
run	run	run
it	it	it
over	over	over
again	again	again
.	.	.
Then	then	Then
,	,	,
he	he	he
backs	back	back
up	up	up
and	and	and
appears	appear	appears
to	to	to
run	run	run
it	it	it
over	over	over
again	again	again
.	.	.
For	for	For
those	those	those
who	who	who
are	are	are
concerned	concern	concerned
,	,	,
the	the	the
sign	sign	sign
lived	live	lived
through	through	through
the	the	the
apparent	appar	apparent
assault	assault	assault
,	,	,
but	but	but
Boesch	boesch	Boesch
is	is	is
not	not	not
happy	happi	happy
.	.	.
The	the	The
resident	resid	resident
told	told	told
news	news	news
station	station	station
WKMG	wkmg	WKMG
that	that	that
after	after	after
noticing	notic	noticing
his	his	his
mangled	mangl	mangled
sign	sign	sign
,	,	,
he	he	he
watched	watch	watched
six	six	six
hours	hour	hour
of	of	of
video	video	video
to	to	to
figure	figur	figure
out	out	out
who	who	who
did	did	did
the	the	the
thing	thing	thing
in	in	in
his	his	his
yard	yard	yard
.	.	.
Boesch	boesch	Boesch
says	say	say
his	his	his
six	six	six
-hour	-hour	-hour
investigation	investig	investigation
into	into	into
the	the	the
incident	incid	incident
reveals	reveal	reveals
that	that	that
his	his	his
lawn	lawn	lawn
had	had	had
already	alreadi	already
been	been	been
mowed	mow	mowed
,	,	,
though	though	though
he	he	he
admits	admit	admits
it	it	it
could	could	could
have	have	have
been	been	been
an	an	an
accident	accid	accident
a	a	a
sentiment	sentiment	sentiment
echoed	echo	echoed
by	by	by
Fred	fred	Fred
Heldrith	heldrith	Heldrith
,	,	,
the	the	the
owner	owner	owner
of	of	of
the	the	the
landscaping	landscap	landscaping
company	compani	company
.	.	.
Heldreth	heldreth	Heldreth
says	say	say
his	his	his
employee	employe	employee
did	did	did
not	not	not
typically	typic	typically
work	work	work
in	in	in
the	the	the
neighborhood	neighborhood	neighborhood
,	,	,
and	and	and
that	that	that
he	he	he
was	was	wa
simply	simpli	simply
inexperienced	inexperienc	inexperienced
with	with	with
that	that	that
type	type	type
of	of	of
mower	mower	mower
.	.	.
If	if	If
he	he	he
wanted	want	wanted
to	to	to
destroy	destroy	destroy
the	the	the
sign	sign	sign
,	,	,
he	he	he
would	would	would
have	have	have
destroyed	destroy	destroyed
the	the	the
sign	sign	sign
,	,	,
he	he	he
pointed	point	pointed
out	out	out
.	.	.
The	the	The
sign	sign	sign
is	is	is
still	still	still
there	there	there
.	.	.
Indeed	inde	Indeed
,	,	,
it	it	it
is	is	is
still	still	still
there	there	there
.	.	.
But	but	But
should	should	should
it	it	it
have	have	have
been	been	been
there	there	there
in	in	in
the	the	the
first	first	first
place	place	place
?	?	?
WKMG	wkmg	WKMG
reports	report	report
that	that	that
Boesch	boesch	Boesch
s	s	s
show	show	show
of	of	of
support	support	support
for	for	for
Trump	trump	Trump
was	was	wa
a	a	a
violation	violat	violation
of	of	of
the	the	the
Citrus	citrus	Citrus
Chase	chase	Chase
Homeowner	homeown	Homeowner
s	s	s
Association	associ	Association
guidelines	guidelin	guideline
,	,	,
which	which	which
prohibit	prohibit	prohibit
display	display	display
of	of	of
campaign	campaign	campaign
signs	sign	sign
more	more	more
than	than	than
90	90	90
days	day	day
before	befor	before
an	an	an
election	elect	election
.	.	.
Additionally	addit	Additionally
,	,	,
they	they	they
report	report	report
that	that	that
residents	resid	resident
typically	typic	typically
remove	remov	remove
their	their	their
signs	sign	sign
before	befor	before
landscapers	landscap	landscaper
arrive	arriv	arrive
and	and	and
put	put	put
them	them	them
back	back	back
up	up	up
later	later	later
a	a	a
courtesy	courtesi	courtesy
with	with	with
which	which	which
the	the	the
Trump	trump	Trump
supporter	support	supporter
could	could	could
not	not	not
be	be	be
bothered	bother	bothered
.	.	.
It	it	It
s	s	s
been	been	been
there	there	there
for	for	for
like	like	like
since	sinc	since
January	januari	January
,	,	,
Boesch	boesch	Boesch
told	told	told
the	the	the
station	station	station
as	as	a
he	he	he
explained	explain	explained
why	whi	why
he	he	he
did	did	did
not	not	not
do	do	do
what	what	what
his	his	his
neighbors	neighbor	neighbor
do	do	do
to	to	to
make	make	make
things	thing	thing
easier	easier	easier
for	for	for
landscapers	landscap	landscaper
,	,	,
and	and	and
it	it	it
s	s	s
never	never	never
been	been	been
hit	hit	hit
by	by	by
the	the	the
lawnscapers	lawnscap	lawnscapers
.	.	.
They	they	They
either	either	either
always	alway	always
mow	mow	mow
around	around	around
it	it	it
or	or	or
they	they	they
use	use	use
their	their	their
edger	edger	edger
because	becaus	because
a	a	a
lot	lot	lot
of	of	of
them	them	them
have	have	have
respect	respect	respect
.	.	.
This	this	This
,	,	,
of	of	of
course	cours	course
,	,	,
is	is	is
an	an	an
ironic	iron	ironic
statement	statement	statement
coming	come	coming
from	from	from
someone	someon	someone
who	who	who
refuses	refus	refuse
to	to	to
show	show	show
workers	worker	worker
the	the	the
same	same	same
respect	respect	respect
his	his	his
neighbors	neighbor	neighbor
do	do	do
,	,	,
even	even	even
forcing	forc	forcing
them	them	them
to	to	to
stop	stop	stop
mowing	mow	mowing
to	to	to
edge	edg	edge
around	around	around
the	the	the
campaign	campaign	campaign
signs	sign	sign
that	that	that
have	have	have
been	been	been
occupying	occupi	occupying
the	the	the
space	space	space
in	in	in
violation	violat	violation
of	of	of
HOA	hoa	HOA
policies	polici	policy
since	sinc	since
January	januari	January
.	.	.
Accident	accid	Accident
or	or	or
not	not	not
,	,	,
the	the	the
man	man	man
responsible	respons	responsible
for	for	for
Moweerghazi	moweerghazi	Moweerghazi
will	will	will
not	not	not
be	be	be
back	back	back
.	.	.
In	in	In
response	respons	response
to	to	to
the	the	the
incident	incid	incident
,	,	,
Citrus	citrus	Citrus
Chase	chase	Chase
assured	assur	assured
Boesch	boesch	Boesch
The	the	The
guy	guy	guy
has	has	ha
been	been	been
removed	remov	removed
from	from	from
the	the	the
crew	crew	crew
,	,	,
he	he	he
will	will	will
not	not	not
be	be	be
allowed	allow	allowed
in	in	in
our	our	our
development	develop	development
any	ani	any
more	more	more
.	.	.
What	what	What
do	do	do
you	you	you
think	think	think
?	?	?
Was	was	Was
this	this	this
an	an	an
accident	accid	accident
,	,	,
or	or	or
was	was	wa
the	the	the
landscaper	landscap	landscaper
simply	simpli	simply
trying	tri	trying
to	to	to
make	make	make
Boesch	boesch	Boesch
s	s	s
lawn	lawn	lawn
great	great	great
again	again	again
?	?	?
In	in	In
any	ani	any
case	case	case
,	,	,
the	the	the
signs	sign	sign
are	are	are
still	still	still
up	up	up
and	and	and
in	in	in
workers	worker	worker
way	way	way
.	.	.
Boesch	boesch	Boesch
still	still	still
refuses	refus	refuse
to	to	to
show	show	show
respect	respect	respect
to	to	to
people	peopl	people
who	who	who
simply	simpli	simply
want	want	want
to	to	to
do	do	do
their	their	their
jobs	job	job
without	without	without
unnecessary	unnecessari	unnecessary
hassle	hassl	hassle
.	.	.
Watch	watch	Watch
a	a	a
report	report	report
on	on	on
the	the	the
incident	incid	incident
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab
