During	dure	During
president	presid	president
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
s	s	s
first	first	first
press	press	press
conference	confer	conference
in	in	in
167	167	167
days	day	day
,	,	,
things	thing	thing
got	got	got
heated	heat	heated
up	up	up
when	when	when
he	he	he
singled	singl	singled
out	out	out
a	a	a
CNN	cnn	CNN
reporter	report	reporter
over	over	over
the	the	the
network	network	network
s	s	s
recent	recent	recent
report	report	report
which	which	which
says	say	say
that	that	that
Russians	russian	Russians
have	have	have
personal	person	personal
and	and	and
financial	financi	financial
compromising	compromis	compromising
information	inform	information
on	on	on
the	the	the
incoming	incom	incoming
president	presid	president
.	.	.

As	as	As
it	it	it
happens	happen	happens
,	,	,
Sen	sen	Sen
.	.	.

John	john	John
McCain	mccain	McCain
can	can	can
back	back	back
up	up	up
that	that	that
report	report	report
.	.	.
Trump	trump	Trump
looked	look	looked
to	to	to
call	call	call
on	on	on
other	other	other
reporters	report	reporter
,	,	,
then	then	then
Jim	jim	Jim
Acosta	acosta	Acosta
yelled	yell	yelled
out	out	out
,	,	,
Since	sinc	Since
you	you	you
are	are	are
attacking	attack	attacking
us	us	u
,	,	,
can	can	can
you	you	you
give	give	give
us	us	u
a	a	a
question	question	question
?	?	?

Not	not	Not
you	you	you
,	,	,
Trump	trump	Trump
said	said	said
.	.	.

Your	your	Your
organization	organ	organization
is	is	is
terrible	terribl	terrible
!	!	!

You	you	You
are	are	are
attacking	attack	attacking
our	our	our
news	news	news
organization	organ	organization
,	,	,
can	can	can
you	you	you
give	give	give
us	us	u
a	a	a
chance	chanc	chance
to	to	to
ask	ask	ask
a	a	a
question	question	question
,	,	,
sir	sir	sir
?	?	?
,	,	,
Acosta	acosta	Acosta
pressed	press	pressed
on	on	on
.	.	.

Trump	trump	Trump
shot	shot	shot
back	back	back
,	,	,
telling	tell	telling
the	the	the
reporter	report	reporter
,	,	,
don	don	don
t	t	t
be	be	be
rude	rude	rude
.	.	.

I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
give	give	give
you	you	you
a	a	a
question	question	question
,	,	,
Trump	trump	Trump
declared	declar	declared
.	.	.

I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
give	give	give
you	you	you
a	a	a
question	question	question
.	.	.

You	you	You
are	are	are
fake	fake	fake
news	news	news
!	!	!

After	after	After
Trump	trump	Trump
lashed	lash	lashed
out	out	out
at	at	at
Acosta	acosta	Acosta
,	,	,
cheers	cheer	cheer
and	and	and
laughter	laughter	laughter
could	could	could
be	be	be
heard	heard	heard
.	.	.
Acosta	acosta	Acosta
said	said	said
,	,	,
Now	now	Now
,	,	,
Mr	mr	Mr
.	.	.
President	presid	President
-elect	-elect	-elect
,	,	,
that	that	that
s	s	s
not	not	not
appropriate	appropri	appropriate
!	!	!

Watch	watch	Watch
Joy	joy	Joy
Reid	reid	Reid
from	from	from
MSNBC	msnbc	MSNBC
tweeted	tweet	tweeted
,	,	,
Can	can	Can
a	a	a
reporter	report	reporter
in	in	in
the	the	the
room	room	room
tell	tell	tell
us	us	u
who	who	who
that	that	that
cheering	cheer	cheering
section	section	section
was	was	wa
?	?	?

#TrumpPressConference.	#trumppressconference.	#TrumpPressConference.

A	a	A
few	few	few
reporters	report	reporter
weighed	weigh	weighed
in	in	in
saying	say	saying
that	that	that
the	the	the
laughing	laugh	laughing
and	and	and
cheering	cheer	cheering
came	came	came
from	from	from
Trump	trump	Trump
s	s	s
staff	staff	staff
.	.	.
Can	can	Can
you	you	you
imagine	imagin	imagine
the	the	the
deafening	deafen	deafening
outrage	outrag	outrage
from	from	from
conservatives	conserv	conservative
if	if	if
Obama	obama	Obama
did	did	did
this	this	this
Trump	trump	Trump
s	s	s
family	famili	family
waited	wait	waited
in	in	in
the	the	the
wings	wing	wing
of	of	of
the	the	the
stage	stage	stage
to	to	to
his	his	his
right	right	right
,	,	,
while	while	while
senior	senior	senior
advisers	advis	adviser
including	includ	including
Steve	steve	Steve
Bannon	bannon	Bannon
,	,	,
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
,	,	,
Sean	sean	Sean
Spicer	spicer	Spicer
and	and	and
Steve	steve	Steve
Mnuchin	mnuchin	Mnuchin
stood	stood	stood
to	to	to
the	the	the
left	left	left
,	,	,
out	out	out
of	of	of
view	view	view
of	of	of
the	the	the
cameras	camera	camera
.	.	.

A	a	A
small	small	small
,	,	,
vocal	vocal	vocal
group	group	group
clustered	cluster	clustered
near	near	near
Trump	trump	Trump
s	s	s
family	famili	family
by	by	by
the	the	the
elevators	elev	elevator
acted	act	acted
as	as	a
cheerleaders	cheerlead	cheerleader
for	for	for
the	the	the
President	presid	President
-elect	-elect	-elect
for	for	for
the	the	the
duration	durat	duration
of	of	of
the	the	the
hour	hour	hour
-long	-long	-long
event	event	event
,	,	,
laughing	laugh	laughing
heartily	heartili	heartily
at	at	at
his	his	his
jokes	joke	joke
and	and	and
responding	respond	responding
aloud	aloud	aloud
to	to	to
his	his	his
rhetorical	rhetor	rhetorical
questions	question	question
.	.	.
Trump	trump	Trump
was	was	wa
asked	ask	asked
by	by	by
a	a	a
reporter	report	reporter
if	if	if
Russian	russian	Russian
president	presid	president
Vladimir	vladimir	Vladimir
Putin	putin	Putin
would	would	would
have	have	have
found	found	found
Hillary	hillari	Hillary
Clinton	clinton	Clinton
to	to	to
be	be	be
a	a	a
greater	greater	greater
adversary	adversari	adversary
,	,	,
and	and	and
a	a	a
few	few	few
of	of	of
his	his	his
staffers	staffer	staffer
called	call	called
out	out	out
no	no	no
!	!	!

They	they	They
cheered	cheer	cheered
at	at	at
various	various	various
moments	moment	moment
for	for	for
the	the	the
president	presid	president
-elect	-elect	-elect
,	,	,
likely	like	likely
to	to	to
feed	feed	feed
his	his	his
massive	massiv	massive
ego	ego	ego
.	.	.
Trump	trump	Trump
also	also	also
called	call	called
BuzzFeed	buzzfe	BuzzFeed
News	news	News
a	a	a
failing	fail	failing
pile	pile	pile
of	of	of
garbage	garbag	garbage
.	.	.

Luke	luke	Luke
Lewis	lewi	Lewis
,	,	,
founding	found	founding
editor	editor	editor
of	of	of
BuzzFeed	buzzfe	BuzzFeed
,	,	,
joked	joke	joked
about	about	about
it	it	it
on	on	on
Twitter	twitter	Twitter
,	,	,
writing	write	writing
that	that	that
they	they	they
have	have	have
a	a	a
new	new	new
tagline	taglin	tagline
,	,	,
and	and	and
included	includ	included
in	in	in
the	the	the
image	imag	image
,	,	,
it	it	it
reads	read	read
,	,	,
A	a	A
Failing	fail	Failing
Pile	pile	Pile
Of	of	Of
Garbage	garbag	Garbage
.	.	.

Pleased	pleas	Pleased
with	with	with
our	our	our
new	new	new
tag	tag	tag
line	line	line
pic.twitter.com/sFCMrX91qO	pic.twitter.com/sfcmrx91qo	pic.twitter.com/sFCMrX91qO
Luke	luke	Luke
Lewis	lewi	Lewis
@lukelewis	@lukelewi	@lukelewis
January	januari	January
11	11	11
,	,	,
2017Imagine	2017imagin	2017Imagine
if	if	if
President	presid	President
Obama	obama	Obama
refused	refus	refused
questions	question	question
from	from	from
Fox	fox	Fox
News	news	News
reporters	report	reporter
and	and	and
screamed	scream	screamed
out	out	out
,	,	,
You	you	You
are	are	are
fake	fake	fake
news	news	news
!	!	!

By	by	By
the	the	the
way	way	way
,	,	,
Fake	fake	Fake
News	news	News
handed	hand	handed
Donald	donald	Donald
the	the	the
election	elect	election
.	.	.
Image	imag	Image
via	via	via
screen	screen	screen
capture	captur	capture
.	.	.

