Here	here	Here
s	s	s
why	whi	why
Clinton	clinton	Clinton
and	and	and
Abedin	abedin	Abedin
should	should	should
be	be	be
flipping	flip	flipping
out	out	out
Multiple	multipl	Multiple
State	state	State
employees	employe	employee
told	told	told
the	the	the
FBI	fbi	FBI
that	that	that
they	they	they
considered	consid	considered
emailing	email	emailing
Abedin	abedin	Abedin
the	the	the
equivalent	equival	equivalent
of	of	of
e	e	e
-mailing	-mail	-mailing
Clinton	clinton	Clinton
.	.	.
Another	anoth	Another
close	close	close
Clinton	clinton	Clinton
aide	aid	aide
told	told	told
the	the	the
FBI	fbi	FBI
that	that	that
Abedin	abedin	Abedin
may	may	may
have	have	have
kept	kept	kept
emails	email	email
that	that	that
Clinton	clinton	Clinton
did	did	did
not	not	not
.	.	.
The	the	The
electronic	electron	electronic
device	devic	device
shared	share	shared
by	by	by
Hillary	hillari	Hillary
Clinton	clinton	Clinton
aide	aid	aide
Huma	huma	Huma
Abedin	abedin	Abedin
and	and	and
husband	husband	husband
Anthony	anthoni	Anthony
Weiner	weiner	Weiner
on	on	on
which	which	which
the	the	the
FBI	fbi	FBI
found	found	found
more	more	more
Clinton	clinton	Clinton
emails	email	email
was	was	wa
a	a	a
laptop	laptop	laptop
and	and	and
it	it	it
contained	contain	contained
tens	ten	ten
-of-thousands	-of-thousand	-of-thousands
of	of	of
emails	email	email
,	,	,
a	a	a
senior	senior	senior
law	law	law
enforcement	enforc	enforcement
official	offici	official
told	told	told
Fox	fox	Fox
News	news	News
on	on	on
Saturday	saturday	Saturday
.	.	.
The	the	The
FBI	fbi	FBI
announced	announc	announced
Friday	friday	Friday
that	that	that
it	it	it
had	had	had
restarted	restart	restarted
an	an	an
investigation	investig	investigation
into	into	into
emails	email	email
Clinton	clinton	Clinton
sent	sent	sent
on	on	on
a	a	a
private	privat	private
server	server	server
system	system	system
while	while	while
secretary	secretari	secretary
of	of	of
state	state	state
,	,	,
as	as	a
a	a	a
result	result	result
of	of	of
a	a	a
probe	probe	probe
into	into	into
Abedin	abedin	Abedin
s	s	s
husband	husband	husband
,	,	,
disgraced	disgrac	disgraced
New	new	New
York	york	York
Democratic	democrat	Democratic
Rep	rep	Rep
.	.	.
Anthony	anthoni	Anthony
Weiner	weiner	Weiner
,	,	,
sexting	sext	sexting
,	,	,
of	of	of
sending	send	sending
sexually	sexual	sexually
-suggestive	-suggest	-suggestive
electronic	electron	electronic
messages	messag	message
,	,	,
to	to	to
a	a	a
teenage	teenag	teenage
girl	girl	girl
.	.	.
The	the	The
law	law	law
enforcement	enforc	enforcement
official	offici	official
told	told	told
Fox	fox	Fox
News	news	News
that	that	that
the	the	the
laptop	laptop	laptop
had	had	had
five	five	five
digits	digit	digit
of	of	of
emails	email	email
,	,	,
meaning	mean	meaning
tens	ten	ten
-of-thousands	-of-thousand	-of-thousands
of	of	of
them	them	them
.	.	.
However	howev	However
,	,	,
federal	feder	federal
investigators	investig	investigator
remain	remain	remain
unclear	unclear	unclear
whether	whether	whether
Abedin	abedin	Abedin
or	or	or
Weiner	weiner	Weiner
own	own	own
the	the	the
laptop	laptop	laptop
.	.	.
The	the	The
FBI	fbi	FBI
conducted	conduct	conducted
a	a	a
roughly	rough	roughly
two	two	two
-year	-year	-year
investigation	investig	investigation
into	into	into
Clinton	clinton	Clinton
s	s	s
use	use	use
of	of	of
a	a	a
private	privat	private
server	server	server
system	system	system
,	,	,
finding	find	finding
several	sever	several
emails	email	email
marked	mark	marked
as	as	a
classified	classifi	classified
and	and	and
concluded	conclud	concluded
that	that	that
she	she	she
had	had	had
been	been	been
extremely	extrem	extremely
careless	careless	careless
.	.	.
However	howev	However
,	,	,
the	the	the
agency	agenc	agency
did	did	did
not	not	not
find	find	find
evidence	evid	evidence
that	that	that
Clinton	clinton	Clinton
had	had	had
been	been	been
criminally	crimin	criminally
negligent	neglig	negligent
and	and	and
did	did	did
not	not	not
recommend	recommend	recommend
criminal	crimin	criminal
charges	charg	charge
to	to	to
the	the	the
Justice	justic	Justice
Department	depart	Department
.	.	.
People	peopl	People
familiar	familiar	familiar
with	with	with
the	the	the
case	case	case
say	say	say
it	it	it
was	was	wa
restarted	restart	restarted
by	by	by
the	the	the
FBI	fbi	FBI
because	becaus	because
the	the	the
agency	agenc	agency
thought	thought	thought
the	the	the
new	new	new
emails	email	email
were	were	were
pertinent	pertin	pertinent
to	to	to
the	the	the
investigation	investig	investigation
.	.	.
The	the	The
source	sourc	source
also	also	also
told	told	told
Fox	fox	Fox
News	news	News
that	that	that
law	law	law
enforcement	enforc	enforcement
officials	offici	official
think	think	think
it	it	it
s	s	s
highly	high	highly
unlikely	unlik	unlikely
that	that	that
all	all	all
of	of	of
the	the	the
new	new	new
-found	-found	-found
emails	email	email
are	are	are
duplicates	duplic	duplicate
,	,	,
as	as	a
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
has	has	ha
suggested	suggest	suggested
.	.	.
Read	read	Read
more	more	more
FOX	fox	FOX
News	news	News
