Bravo	bravo	Bravo
!	!	!
These	these	These
two	two	two
great	great	great
Americans	american	Americans
make	make	make
me	me	me
have	have	have
hope	hope	hope
for	for	for
the	the	the
politicians	politician	politician
we	we	we
elect	elect	elect
.	.	.
They	they	They
re	re	re
doing	do	doing
a	a	a
damn	damn	damn
good	good	good
job	job	job
of	of	of
exposing	expos	exposing
the	the	the
phony	phoni	phony
Iran	iran	Iran
deal	deal	deal
.	.	.
They	they	They
both	both	both
are	are	are
veterans	veteran	veteran
and	and	and
super	super	super
smart	smart	smart
so	so	so
maybe	mayb	maybe
they	they	they
ve	ve	ve
been	been	been
able	abl	able
to	to	to
outsmart	outsmart	outsmart
the	the	the
Obama	obama	Obama
thugs	thug	thug
.	.	.
I	i	I
love	love	love
these	these	these
guys	guy	guy
!	!	!
Rep	rep	Rep
.	.	.
Mike	mike	Mike
Pompeo	pompeo	Pompeo
R	r	R
Kan	kan	Kan
.	.	.
and	and	and
Sen	sen	Sen
.	.	.
Tom	tom	Tom
Cotton	cotton	Cotton
R	r	R
Ark	ark	Ark
.	.	.
have	have	have
a	a	a
lot	lot	lot
in	in	in
common	common	common
.	.	.
Both	both	Both
are	are	are
army	armi	army
veterans	veteran	veteran
and	and	and
both	both	both
are	are	are
graduates	graduat	graduate
of	of	of
Harvard	harvard	Harvard
Law	law	Law
School	school	School
.	.	.
And	and	And
both	both	both
have	have	have
been	been	been
doing	do	doing
a	a	a
great	great	great
job	job	job
of	of	of
exposing	expos	exposing
aspects	aspect	aspect
of	of	of
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
with	with	with
Iran	iran	Iran
that	that	that
the	the	the
administration	administr	administration
would	would	would
rather	rather	rather
keep	keep	keep
quiet	quiet	quiet
.	.	.
This	this	This
week	week	week
it	it	it
was	was	wa
reported	report	reported
that	that	that
an	an	an
inquiry	inquiri	inquiry
from	from	from
Pompeo	pompeo	Pompeo
got	got	got
the	the	the
State	state	State
Department	depart	Department
to	to	to
admit	admit	admit
that	that	that
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
was	was	wa
never	never	never
signed	sign	signed
and	and	and
is	is	is
not	not	not
legally	legal	legally
binding	bind	binding
.	.	.
Julia	julia	Julia
Frifield	frifield	Frifield
,	,	,
the	the	the
Assistant	assist	Assistant
Secretary	secretari	Secretary
of	of	of
State	state	State
for	for	for
Legislative	legisl	Legislative
Affairs	affair	Affairs
,	,	,
wrote	wrote	wrote
in	in	in
response	respons	response
to	to	to
Pompeo	pompeo	Pompeo
s	s	s
inquiry	inquiri	inquiry
if	if	if
he	he	he
could	could	could
see	see	see
the	the	the
signed	sign	signed
agreement	agreement	agreement
,	,	,
in	in	in
a	a	a
letter	letter	letter
reproduced	reproduc	reproduced
at	at	at
the	the	the
congressman	congressman	congressman
s	s	s
website	websit	website
,	,	,
that	that	that
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
was	was	wa
not	not	not
binding	bind	binding
and	and	and
that	that	that
it	it	it
was	was	wa
not	not	not
signed	sign	signed
by	by	by
any	ani	any
party	parti	party
.	.	.
The	the	The
key	key	key
parts	part	part
of	of	of
the	the	the
letter	letter	letter
read	read	read
The	the	The
Joint	joint	Joint
Comprehensive	comprehens	Comprehensive
Plan	plan	Plan
of	of	of
Action	action	Action
JCPOA	jcpoa	JCPOA
is	is	is
not	not	not
a	a	a
treaty	treati	treaty
or	or	or
an	an	an
executive	execut	executive
agreement	agreement	agreement
,	,	,
and	and	and
is	is	is
not	not	not
a	a	a
signed	sign	signed
document	document	document
The	the	The
success	success	success
of	of	of
the	the	the
JCPOA	jcpoa	JCPOA
will	will	will
depend	depend	depend
not	not	not
on	on	on
whether	whether	whether
it	it	it
is	is	is
legally	legal	legally
binding	bind	binding
or	or	or
signed	sign	signed
,	,	,
but	but	but
rather	rather	rather
on	on	on
the	the	the
extensive	extens	extensive
verification	verif	verification
measures	measur	measure
we	we	we
have	have	have
put	put	put
in	in	in
place	place	place
,	,	,
as	as	a
well	well	well
as	as	a
Iran	iran	Iran
s	s	s
understanding	understand	understanding
that	that	that
we	we	we
have	have	have
the	the	the
capacity	capac	capacity
to	to	to
re	re	re
-impose	-impos	-impose
and	and	and
ramp	ramp	ramp
up	up	up
our	our	our
sanctions	sanction	sanction
if	if	if
Iran	iran	Iran
does	doe	doe
not	not	not
meet	meet	meet
its	it	it
commitments	commit	commitment
.	.	.
Frifield	frifield	Frifield
asserted	assert	asserted
that	that	that
the	the	the
JCPOA	jcpoa	JCPOA
was	was	wa
not	not	not
a	a	a
signed	sign	signed
agreement	agreement	agreement
but	but	but
reflections	reflect	reflection
of	of	of
political	polit	political
commitments	commit	commitment
between	between	between
Iran	iran	Iran
and	and	and
the	the	the
P5	p5	P5
1	1	1
nations	nation	nation
the	the	the
United	unit	United
States	state	States
,	,	,
Britain	britain	Britain
,	,	,
France	franc	France
,	,	,
China	china	China
,	,	,
Russia	russia	Russia
and	and	and
Germany	germani	Germany
.	.	.
Pompeo	pompeo	Pompeo
responded	respond	responded
,	,	,
For	for	For
the	the	the
State	state	State
Department	depart	Department
to	to	to
try	tri	try
to	to	to
defend	defend	defend
the	the	the
unsigned	unsign	unsigned
and	and	and
non	non	non
-binding	-bind	-binding
Iran	iran	Iran
nuclear	nuclear	nuclear
agreement	agreement	agreement
by	by	by
calling	call	calling
it	it	it
a	a	a
political	polit	political
commitment	commit	commitment
is	is	is
about	about	about
as	as	a
absurd	absurd	absurd
as	as	a
the	the	the
terms	term	term
of	of	of
the	the	the
deal	deal	deal
itself	itself	itself
.	.	.
Instead	instead	Instead
of	of	of
forging	forg	forging
an	an	an
agreement	agreement	agreement
with	with	with
Iran	iran	Iran
that	that	that
will	will	will
protect	protect	protect
Americans	american	Americans
and	and	and
prevent	prevent	prevent
the	the	the
world	world	world
s	s	s
largest	largest	largest
state	state	state
sponsor	sponsor	sponsor
of	of	of
terror	terror	terror
from	from	from
obtaining	obtain	obtaining
a	a	a
nuclear	nuclear	nuclear
weapon	weapon	weapon
,	,	,
the	the	the
Obama	obama	Obama
administration	administr	administration
caved	cave	caved
to	to	to
Iranian	iranian	Iranian
bullies	bulli	bully
and	and	and
serial	serial	serial
nuclear	nuclear	nuclear
cheaters	cheater	cheater
.	.	.
Unsigned	unsign	Unsigned
,	,	,
this	this	this
agreement	agreement	agreement
is	is	is
nothing	noth	nothing
more	more	more
than	than	than
a	a	a
press	press	press
release	releas	release
and	and	and
just	just	just
about	about	about
as	as	a
enforceable	enforc	enforceable
.	.	.
Pompeo	pompeo	Pompeo
,	,	,
of	of	of
course	cours	course
,	,	,
knew	knew	knew
that	that	that
the	the	the
deal	deal	deal
was	was	wa
unsigned	unsign	unsigned
,	,	,
but	but	but
he	he	he
got	got	got
the	the	the
State	state	State
Department	depart	Department
to	to	to
admit	admit	admit
it	it	it
.	.	.
What	what	What
Cotton	cotton	Cotton
s	s	s
letter	letter	letter
did	did	did
was	was	wa
expose	expos	expose
the	the	the
administration	administr	administration
s	s	s
ploy	ploy	ploy
to	to	to
evade	evad	evade
Congressional	congression	Congressional
oversight	oversight	oversight
and	and	and
still	still	still
achieve	achiev	achieve
the	the	the
permanence	perman	permanence
of	of	of
a	a	a
treaty	treati	treaty
by	by	by
going	go	going
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
.	.	.
The	the	The
non	non	non
-binding	-bind	-binding
nature	natur	nature
of	of	of
the	the	the
nuclear	nuclear	nuclear
non	non	non
-agreement	-agreement	-agreement
isn	isn	isn
t	t	t
the	the	the
only	onli	only
subterfuge	subterfug	subterfuge
that	that	that
Cotton	cotton	Cotton
and	and	and
Pompeo	pompeo	Pompeo
have	have	have
exposed	expos	exposed
.	.	.
It	it	It
was	was	wa
also	also	also
their	their	their
questioning	question	questioning
that	that	that
led	led	led
to	to	to
the	the	the
discovery	discoveri	discovery
of	of	of
the	the	the
secret	secret	secret
side	side	side
deals	deal	deal
between	between	between
Iran	iran	Iran
and	and	and
the	the	the
IAEA	iaea	IAEA
.	.	.
One	one	One
of	of	of
the	the	the
side	side	side
deals	deal	deal
allowed	allow	allowed
Iran	iran	Iran
to	to	to
collect	collect	collect
its	it	it
own	own	own
samples	sampl	sample
at	at	at
the	the	the
Parchin	parchin	Parchin
military	militari	military
base	base	base
,	,	,
an	an	an
arrangement	arrang	arrangement
that	that	that
non	non	non
-proliferation	-prolifer	-proliferation
experts	expert	expert
Olli	olli	Olli
Heinonen	heinonen	Heinonen
,	,	,
a	a	a
former	former	former
deputy	deputi	deputy
director	director	director
of	of	of
the	the	the
IAEA	iaea	IAEA
,	,	,
and	and	and
David	david	David
Albright	albright	Albright
,	,	,
head	head	head
of	of	of
the	the	the
Institute	institut	Institute
for	for	for
Science	scienc	Science
and	and	and
International	intern	International
Security	secur	Security
,	,	,
said	said	said
undermined	undermin	undermined
the	the	the
effectiveness	effect	effectiveness
of	of	of
the	the	the
JCPOA	jcpoa	JCPOA
.	.	.
The	the	The
scandal	scandal	scandal
of	of	of
self	self	self
-inspection	-inspect	-inspection
of	of	of
Parchin	parchin	Parchin
had	had	had
previously	previous	previously
been	been	been
brought	brought	brought
up	up	up
by	by	by
Sen	sen	Sen
.	.	.
Robert	robert	Robert
Menendez	menendez	Menendez
D	d	D
N	n	N
.	.	.
J	j	J
.	.	.
and	and	and
Sen	sen	Sen
.	.	.
James	jame	James
Risch	risch	Risch
R	r	R
Idaho	idaho	Idaho
.	.	.
Cotton	cotton	Cotton
and	and	and
Pompeo	pompeo	Pompeo
have	have	have
been	been	been
very	veri	very
good	good	good
at	at	at
exposing	expos	exposing
the	the	the
weakness	weak	weakness
of	of	of
the	the	the
deal	deal	deal
that	that	that
the	the	the
media	media	medium
wouldn	wouldn	wouldn
t	t	t
otherwise	otherwis	otherwise
have	have	have
reported	report	reported
.	.	.
No	no	No
doubt	doubt	doubt
in	in	in
the	the	the
coming	come	coming
months	month	month
Iran	iran	Iran
will	will	will
continue	continu	continue
testing	test	testing
the	the	the
administration	administr	administration
and	and	and
the	the	the
administration	administr	administration
will	will	will
continue	continu	continue
retreating	retreat	retreating
exposing	expos	exposing
further	further	further
weaknesses	weak	weakness
in	in	in
the	the	the
deal	deal	deal
.	.	.
