Last	last	Last
week	week	week
,	,	,
the	the	the
alleged	alleg	alleged
president	presid	president
made	made	made
some	some	some
jaw	jaw	jaw
-dropping	-drop	-dropping
accusations	accus	accusation
on	on	on
Twitter	twitter	Twitter
,	,	,
accusing	accus	accusing
his	his	his
predecessor	predecessor	predecessor
of	of	of
wiretapping	wiretap	wiretapping
his	his	his
phones	phone	phone
before	befor	before
the	the	the
election	elect	election
.	.	.

Trump	trump	Trump
did	did	did
this	this	this
without	without	without
offering	offer	offering
any	ani	any
proof	proof	proof
.	.	.

After	after	After
Trump	trump	Trump
s	s	s
tweetstorm	tweetstorm	tweetstorm
,	,	,
his	his	his
team	team	team
twisted	twist	twisted
itself	itself	itself
into	into	into
a	a	a
pretzel	pretzel	pretzel
in	in	in
order	order	order
to	to	to
try	tri	try
to	to	to
defend	defend	defend
Trump	trump	Trump
s	s	s
unprecedented	unpreced	unprecedented
attack	attack	attack
on	on	on
his	his	his
predecessor	predecessor	predecessor
.	.	.

Meanwhile	meanwhil	Meanwhile
,	,	,
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
literally	liter	literally
rolled	roll	rolled
his	his	his
eyes	eye	eye
after	after	after
hearing	hear	hearing
of	of	of
Trump	trump	Trump
s	s	s
baseless	baseless	baseless
claims	claim	claim
.	.	.
Trump	trump	Trump
s	s	s
fact	fact	fact
-free	-free	-free
conspiracy	conspiraci	conspiracy
theory	theori	theory
even	even	even
garnered	garner	garnered
the	the	the
attention	attent	attention
of	of	of
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
Chair	chair	Chair
Devin	devin	Devin
Nunes	nune	Nunes
R	r	R
-CA	-ca	-CA
and	and	and
Ranking	rank	Ranking
Member	member	Member
Adam	adam	Adam
Schiff	schiff	Schiff
D	d	D
-CA	-ca	-CA
,	,	,
who	who	who
gave	gave	gave
him	him	him
until	until	until
Monday	monday	Monday
to	to	to
produce	produc	produce
evidence	evid	evidence
to	to	to
back	back	back
up	up	up
his	his	his
claim	claim	claim
.	.	.

It	it	It
s	s	s
worth	worth	worth
noting	note	noting
that	that	that
Nunes	nune	Nunes
is	is	is
a	a	a
staunch	staunch	staunch
defender	defend	defender
of	of	of
Trump	trump	Trump
s	s	s
and	and	and
even	even	even
went	went	went
as	as	a
far	far	far
as	as	a
to	to	to
try	tri	try
to	to	to
cover	cover	cover
up	up	up
the	the	the
amateur	amateur	amateur
president	presid	president
s	s	s
Russian	russian	Russian
influence	influenc	influence
scandal	scandal	scandal
so	so	so
he	he	he
must	must	must
find	find	find
this	this	this
indefensible	indefens	indefensible
.	.	.
On	on	On
Monday	monday	Monday
,	,	,
White	white	White
House	hous	House
press	press	press
secretary	secretari	secretary
Sean	sean	Sean
Spicer	spicer	Spicer
said	said	said
that	that	that
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
really	realli	really
think	think	think
that	that	that
Barack	barack	Barack
Obama	obama	Obama
tapped	tap	tapped
his	his	his
phone	phone	phone
personally	person	personally
,	,	,
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
walk	walk	walk
back	back	back
Trump	trump	Trump
s	s	s
wild	wild	wild
and	and	and
unsubstantiated	unsubstanti	unsubstantiated
claim	claim	claim
that	that	that
his	his	his
predecessor	predecessor	predecessor
ordered	order	ordered
an	an	an
illegal	illeg	illegal
wiretap	wiretap	wiretap
of	of	of
Trump	trump	Trump
Tower	tower	Tower
,	,	,
Politico	politico	Politico
reports	report	report
.	.	.

He	he	He
doesn	doesn	doesn
t	t	t
really	realli	really
think	think	think
that	that	that
President	presid	President
Obama	obama	Obama
went	went	went
up	up	up
and	and	and
tapped	tap	tapped
his	his	his
phone	phone	phone
personally	person	personally
,	,	,
Spicer	spicer	Spicer
told	told	told
reporters	report	reporter
at	at	at
the	the	the
press	press	press
briefing	brief	briefing
.	.	.
Spicer	spicer	Spicer
tried	tri	tried
to	to	to
use	use	use
Alt	alt	Alt
-words	-word	-words
to	to	to
defend	defend	defend
his	his	his
boss	boss	bos
.	.	.
Spicer	spicer	Spicer
tried	tri	tried
to	to	to
argue	argu	argue
that	that	that
Trump	trump	Trump
had	had	had
accused	accus	accused
the	the	the
Obama	obama	Obama
administration	administr	administration
of	of	of
general	general	general
surveillance	surveil	surveillance
activities	activ	activity
,	,	,
and	and	and
not	not	not
a	a	a
literal	liter	literal
wiretap	wiretap	wiretap
,	,	,
even	even	even
though	though	though
Trump	trump	Trump
himself	himself	himself
had	had	had
