This	this	This
is	is	is
why	whi	why
John	john	John
McCain	mccain	McCain
really	realli	really
regretted	regret	regretted
blaming	blame	blaming
President	presid	President
Obama	obama	Obama
for	for	for
the	the	the
Orlando	orlando	Orlando
mass	mass	mass
shooting	shoot	shooting
.	.	.
On	on	On
Thursday	thursday	Thursday
,	,	,
McCain	mccain	McCain
told	told	told
reporters	report	reporter
in	in	in
a	a	a
Senate	senat	Senate
hallway	hallway	hallway
that	that	that
President	presid	President
Obama	obama	Obama
is	is	is
directly	direct	directly
responsible	respons	responsible
for	for	for
the	the	the
mass	mass	mass
shooting	shoot	shooting
in	in	in
Orlando	orlando	Orlando
that	that	that
resulted	result	resulted
in	in	in
50	50	50
people	peopl	people
being	be	being
killed	kill	killed
and	and	and
53	53	53
people	peopl	people
being	be	being
wounded	wound	wounded
.	.	.
Barack	barack	Barack
Obama	obama	Obama
is	is	is
directly	direct	directly
responsible	respons	responsible
for	for	for
it	it	it
,	,	,
because	becaus	because
when	when	when
he	he	he
pulled	pull	pulled
everybody	everybodi	everybody
out	out	out
of	of	of
Iraq	iraq	Iraq
,	,	,
al	al	al
-Qaeda	-qaeda	-Qaeda
went	went	went
to	to	to
Syria	syria	Syria
,	,	,
became	becam	became
ISIS	isi	ISIS
,	,	,
and	and	and
ISIS	isi	ISIS
is	is	is
what	what	what
it	it	it
is	is	is
today	today	today
thanks	thank	thanks
to	to	to
Barack	barack	Barack
Obama	obama	Obama
s	s	s
failures	failur	failure
,	,	,
McCain	mccain	McCain
said	said	said
.	.	.
Reporters	report	Reporters
gave	gave	gave
McCain	mccain	McCain
a	a	a
fair	fair	fair
chance	chanc	chance
to	to	to
walk	walk	walk
his	his	his
comments	comment	comment
back	back	back
but	but	but
he	he	he
only	onli	only
repeated	repeat	repeated
his	his	his
claim	claim	claim
.	.	.
He	he	He
pulled	pull	pulled
everybody	everybodi	everybody
out	out	out
of	of	of
Iraq	iraq	Iraq
,	,	,
and	and	and
I	i	I
predicted	predict	predicted
at	at	at
the	the	the
time	time	time
that	that	that
ISIS	isi	ISIS
would	would	would
go	go	go
unchecked	uncheck	unchecked
,	,	,
and	and	and
there	there	there
would	would	would
be	be	be
attacks	attack	attack
on	on	on
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
.	.	.
It	it	It
s	s	s
a	a	a
matter	matter	matter
of	of	of
record	record	record
,	,	,
so	so	so
he	he	he
is	is	is
directly	direct	directly
responsible	respons	responsible
.	.	.
You	you	You
can	can	can
listen	listen	listen
