Token	Stem	Lemma
Ben	ben	Ben
Carson	carson	Carson
Dr	dr	Dr
Ben	ben	Ben
Carson	carson	Carson
Dr	dr	Dr
Ben	ben	Ben
Carson	carson	Carson
the	the	the
brain	brain	brain
surgeon	surgeon	surgeon
has	has	ha
been	been	been
tapped	tap	tapped
as	as	a
one	one	one
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
cabinet	cabinet	cabinet
members	member	member
Now	now	Now
despite	despit	despite
Carson	carson	Carson
s	s	s
expertise	expertis	expertise
being	be	being
in	in	in
medicine	medicin	medicine
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
chosen	chosen	chosen
Carson	carson	Carson
to	to	to
head	head	head
the	the	the
Department	depart	Department
of	of	of
Housing	hous	Housing
and	and	and
Urban	urban	Urban
Development	develop	Development
HUD	hud	HUD
which	which	which
is	is	is
the	the	the
agency	agenc	agency
that	that	that
gives	give	give
low	low	low
-income	-incom	-income
families	famili	family
access	access	access
to	to	to
housing	hous	housing
Despite	despit	Despite
living	live	living
in	in	in
the	the	the
inner	inner	inner
city	citi	city
of	of	of
New	new	New
York	york	York
for	for	for
all	all	all
of	of	of
his	his	his
life	life	life
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
a	a	a
long	long	long
habit	habit	habit
of	of	of
conflating	conflat	conflating
black	black	black
people	peopl	people
with	with	with
the	the	the
inner	inner	inner
city	citi	city
Republicans	republican	Republicans
in	in	in
general	general	general
have	have	have
that	that	that
habit	habit	habit
During	dure	During
the	the	the
second	second	second
presidential	presidenti	presidential
debate	debat	debate
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
asked	ask	asked
whether	whether	whether
he	he	he
could	could	could
be	be	be
a	a	a
president	presid	president
to	to	to
all	all	all
the	the	the
people	peopl	people
in	in	in
the	the	the
United	unit	United
States	state	States
He	he	He
had	had	had
a	a	a
very	veri	very
specific	specif	specific
answer	answer	answer
I	i	I
would	would	would
be	be	be
a	a	a
president	presid	president
for	for	for
all	all	all
of	of	of
the	the	the
people	peopl	people
African	african	African
Americans	american	Americans
the	the	the
inner	inner	inner
cities	citi	city
he	he	he
replied	repli	replied
Later	later	Later
in	in	in
the	the	the
debate	debat	debate
he	he	he
spoke	spoke	spoke
again	again	again
of	of	of
