Rafeal	rafeal	Rafeal
Zuniga	zuniga	Zuniga
,	,	,
a	a	a
former	former	former
guard	guard	guard
at	at	at
the	the	the
Waller	waller	Waller
County	counti	County
,	,	,
Texas	texa	Texas
jail	jail	jail
where	where	where
Sandra	sandra	Sandra
Bland	bland	Bland
died	die	died
,	,	,
admitted	admit	admitted
to	to	to
falsifying	falsifi	falsifying
official	offici	official
logs	log	log
documenting	document	documenting
the	the	the
final	final	final
events	event	event
leading	lead	leading
up	up	up
to	to	to
her	her	her
death	death	death
.	.	.
According	accord	According
to	to	to
the	the	the
Houston	houston	Houston
Chronicle	chronicl	Chronicle
,	,	,
special	special	special
prosecutors	prosecutor	prosecutor
were	were	were
aware	awar	aware
of	of	of
the	the	the
falsified	falsifi	falsified
documents	document	document
,	,	,
but	but	but
a	a	a
grand	grand	grand
jury	juri	jury
still	still	still
chose	chose	chose
not	not	not
to	to	to
indict	indict	indict
any	ani	any
employees	employe	employee
of	of	of
the	the	the
jail	jail	jail
or	or	or
sheriff	sheriff	sheriff
s	s	s
office	offic	office
last	last	last
December	decemb	December
in	in	in
connection	connect	connection
with	with	with
the	the	the
woman	woman	woman
s	s	s
death	death	death
.	.	.
The	the	The
Houston	houston	Houston
Chronicle	chronicl	Chronicle
reports	report	report
that	that	that
Zuniga	zuniga	Zuniga
,	,	,
a	a	a
new	new	new
hire	hire	hire
at	at	at
the	the	the
jail	jail	jail
,	,	,
was	was	wa
on	on	on
duty	duti	duty
the	the	the
morning	morn	morning
Sandra	sandra	Sandra
Bland	bland	Bland
was	was	wa
found	found	found
dead	dead	dead
in	in	in
her	her	her
cell	cell	cell
.	.	.
During	dure	During
sworn	sworn	sworn
testimony	testimoni	testimony
,	,	,
Zuniga	zuniga	Zuniga
stated	state	stated
that	that	that
he	he	he
was	was	wa
directed	direct	directed
by	by	by
other	other	other
guards	guard	guard
to	to	to
document	document	document
an	an	an
8	8	8
01	01	01
am	am	am
check	check	check
on	on	on
Bland	bland	Bland
,	,	,
although	although	although
he	he	he
never	never	never
actually	actual	actually
checked	check	checked
on	on	on
her	her	her
at	at	at
all	all	all
.	.	.
Although	although	Although
the	the	the
grand	grand	grand
jury	juri	jury
failed	fail	failed
to	to	to
indict	indict	indict
12	12	12
employees	employe	employee
of	of	of
the	the	the
Waller	waller	Waller
County	counti	County
Jail	jail	Jail
,	,	,
her	her	her
family	famili	family
has	has	ha
filed	file	filed
a	a	a
wrongful	wrong	wrongful
death	death	death
suit	suit	suit
.	.	.
The	the	The
case	case	case
is	is	is
scheduled	schedul	scheduled
for	for	for
trial	trial	trial
in	in	in
January	januari	January
of	of	of
2017	2017	2017
.	.	.
In	in	In
February	februari	February
the	the	the
suit	suit	suit
was	was	wa
expanded	expand	expanded
to	to	to
include	includ	include
Texas	texa	Texas
Department	depart	Department
of	of	of
Public	public	Public
Safety	safeti	Safety
Trooper	trooper	Trooper
Brian	brian	Brian
Encinia	encinia	Encinia
who	who	who
arrested	arrest	arrested
Bland	bland	Bland
,	,	,
his	his	his
agency	agenc	agency
,	,	,
Waller	waller	Waller
County	counti	County
,	,	,
two	two	two
of	of	of
the	the	the
jail	jail	jail
employees	employe	employee
and	and	and
ten	ten	ten
Waller	waller	Waller
County	counti	County
officials	offici	official
.	.	.
The	the	The
suit	suit	suit
seeks	seek	seek
unspecified	unspecifi	unspecified
damages	damag	damage
.	.	.
While	while	While
no	no	no
one	one	one
from	from	from
the	the	the
Waller	waller	Waller
County	counti	County
Jail	jail	Jail
was	was	wa
indicted	indict	indicted
on	on	on
murder	murder	murder
charges	charg	charge
,	,	,
Brian	brian	Brian
Encinia	encinia	Encinia
was	was	wa
indicted	indict	indicted
on	on	on
perjury	perjuri	perjury
charges	charg	charge
.	.	.
The	the	The
charges	charg	charge
stem	stem	stem
from	from	from
his	his	his
testimony	testimoni	testimony
,	,	,
under	under	under
oath	oath	oath
,	,	,
regarding	regard	regarding
his	his	his
actions	action	action
on	on	on
the	the	the
day	day	day
Bland	bland	Bland
was	was	wa
arrested	arrest	arrested
.	.	.
Video	video	Video
of	of	of
the	the	the
encounter	encount	encounter
between	between	between
Encinia	encinia	Encinia
and	and	and
Bland	bland	Bland
,	,	,
a	a	a
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
activist	activist	activist
,	,	,
contradicts	contradict	contradicts
the	the	the
trooper	trooper	trooper
s	s	s
statements	statement	statement
under	under	under
oath	oath	oath
.	.	.
Encinia	encinia	Encinia
testified	testifi	testified
that	that	that
he	he	he
ordered	order	ordered
Bland	bland	Bland
to	to	to
exit	exit	exit
her	her	her
vehicle	vehicl	vehicle
in	in	in
order	order	order
to	to	to
conduct	conduct	conduct
a	a	a
traffic	traffic	traffic
investigation	investig	investigation
.	.	.
The	the	The
jury	juri	jury
,	,	,
which	which	which
had	had	had
access	access	access
to	to	to
the	the	the
dashcam	dashcam	dashcam
video	video	video
,	,	,
found	found	found
Encinia	encinia	Encinia
s	s	s
statement	statement	statement
to	to	to
be	be	be
untrue	untru	untrue
.	.	.
Sandra	sandra	Sandra
Bland	bland	Bland
supposedly	suppos	supposedly
hung	hung	hung
herself	herself	herself
with	with	with
a	a	a
plastic	plastic	plastic
trash	trash	trash
bag	bag	bag
,	,	,
