By	by	By
now	now	now
you	you	you
would	would	would
most	most	most
likely	like	likely
be	be	be
familiar	familiar	familiar
with	with	with
the	the	the
story	stori	story
of	of	of
President	presid	President
Trump	trump	Trump
taking	take	taking
a	a	a
pass	pass	pas
at	at	at
being	be	being
named	name	named
Time	time	Time
Magazine	magazin	Magazine
s	s	s
Person	person	Person
of	of	of
the	the	the
Year	year	Year
,	,	,
a	a	a
rather	rather	rather
prestigious	prestigi	prestigious
honor	honor	honor
that	that	that
Trump	trump	Trump
has	has	ha
a	a	a
bizarre	bizarr	bizarre
fixation	fixat	fixation
with	with	with
and	and	and
one	one	one
that	that	that
is	is	is
highly	high	highly
unlikely	unlik	unlikely
to	to	to
be	be	be
bestowed	bestow	bestowed
upon	upon	upon
him	him	him
again	again	again
any	ani	any
time	time	time
in	in	in
the	the	the
near	near	near
future	futur	future
following	follow	following
his	his	his
nomination	nomin	nomination
last	last	last
year	year	year
.	.	.
For	for	For
those	those	those
of	of	of
you	you	you
not	not	not
in	in	in
the	the	the
know	know	know
,	,	,
Donald	donald	Donald
Trump	trump	Trump
tried	tri	tried
to	to	to
claim	claim	claim
on	on	on
Friday	friday	Friday
that	that	that
he	he	he
turned	turn	turned
down	down	down
the	the	the
chance	chanc	chance
to	to	to
be	be	be
selected	select	selected
as	as	a
Time	time	Time
s	s	s
Person	person	Person
of	of	of
the	the	the
Year	year	Year
,	,	,
as	as	a
he	he	he
would	would	would
be	be	be
required	requir	required
to	to	to
give	give	give
an	an	an
interview	interview	interview
and	and	and
do	do	do
a	a	a
photo	photo	photo
shoot	shoot	shoot
.	.	.
Time	time	Time
Magazine	magazin	Magazine
called	call	called
to	to	to
say	say	say
that	that	that
I	i	I
was	was	wa
PROBABLY	probabl	PROBABLY
going	go	going
to	to	to
be	be	be
named	name	named
Man	man	Man
Person	person	Person
of	of	of
the	the	the
Year	year	Year
,	,	,
like	like	like
last	last	last
year	year	year
,	,	,
but	but	but
I	i	I
would	would	would
have	have	have
to	to	to
agree	agre	agree
to	to	to
an	an	an
interview	interview	interview
and	and	and
a	a	a
major	major	major
photo	photo	photo
shoot	shoot	shoot
.	.	.
I	i	I
said	said	said
probably	probabl	probably
is	is	is
no	no	no
good	good	good
and	and	and
took	took	took
a	a	a
pass	pass	pas
.	.	.
Thanks	thank	Thanks
anyway	anyway	anyway
!	!	!
Trump	trump	Trump
tweeted	tweet	tweeted
.	.	.
Time	time	Time
Magazine	magazin	Magazine
called	call	called
to	to	to
say	say	say
that	that	that
I	i	I
was	was	wa
PROBABLY	probabl	PROBABLY
going	go	going
to	to	to
be	be	be
named	name	named
Man	man	Man
Person	person	Person
of	of	of
the	the	the
Year	year	Year
,	,	,
like	like	like
last	last	last
year	year	year
,	,	,
but	but	but
I	i	I
would	would	would
have	have	have
to	to	to
agree	agre	agree
to	to	to
an	an	an
interview	interview	interview
and	and	and
a	a	a
major	major	major
photo	photo	photo
shoot	shoot	shoot
.	.	.
I	i	I
said	said	said
probably	probabl	probably
is	is	is
no	no	no
good	good	good
and	and	and
took	took	took
a	a	a
pass	pass	pas
.	.	.
Thanks	thank	Thanks
anyway	anyway	anyway
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
November	novemb	November
24	24	24
,	,	,
2017The	2017the	2017The
only	onli	only
flaw	flaw	flaw
with	with	with
the	the	the
President	presid	President
s	s	s
claim	claim	claim
was	was	wa
that	that	that
not	not	not
a	a	a
single	singl	single
word	word	word
of	of	of
it	it	it
was	was	wa
remotely	remot	remotely
true	true	true
and	and	and
he	he	he
was	was	wa
called	call	called
on	on	on
it	it	it
too	too	too
,	,	,
first	first	first
by	by	by
Time	time	Time
magazine	magazin	magazine
,	,	,
who	who	who
were	were	were
quick	quick	quick
to	to	to
point	point	point
out	out	out
that	that	that
that	that	that
s	s	s
not	not	not
how	how	how
the	the	the
selection	select	selection
or	or	or
announcement	announc	announcement
process	process	process
even	even	even
works	work	work
,	,	,
something	someth	something
Trump	trump	Trump
should	should	should
already	alreadi	already
be	be	be
aware	awar	aware
of	of	of
,	,	,
and	and	and
then	then	then
by	by	by
Time	time	Time
s	s	s
chief	chief	chief
content	content	content
officer	offic	officer
,	,	,
Alan	alan	Alan
Murray	murray	Murray
,	,	,
who	who	who
tweeted	tweet	tweeted
that	that	that
none	none	none
of	of	of
what	what	what
the	the	the
President	presid	President
had	had	had
tweeted	tweet	tweeted
was	was	wa
at	at	at
all	all	all
factual	factual	factual
.	.	.
The	the	The
President	presid	President
is	is	is
incorrect	incorrect	incorrect
about	about	about
how	how	how
we	we	we
choose	choos	choose
Person	person	Person
of	of	of
the	the	the
Year	year	Year
.	.	.
TIME	time	TIME
does	doe	doe
not	not	not
comment	comment	comment
on	on	on
our	our	our
choice	choic	choice
until	until	until
publication	public	publication
,	,	,
which	which	which
is	is	is
December	decemb	December
6	6	6
.	.	.
TIME	time	TIME
@TIME	@time	@TIME
November	novemb	November
25	25	25
,	,	,
2017Amazing	2017amaz	2017Amazing
.	.	.
Not	not	Not
a	a	a
speck	speck	speck
of	of	of
truth	truth	truth
here	here	here
Trump	trump	Trump
tweets	tweet	tweet
he	he	he
'took	took	'took
a	a	a
pass'	pass	pass'
at	at	at
being	be	being
named	name	named
TIME's	time	TIME's
person	person	person
of	of	of
the	the	the
year	year	year
https://t.co/D6SJgyTpcY	https://t.co/d6sjgytpci	https://t.co/D6SJgyTpcY
Alan	alan	Alan
Murray	murray	Murray
@alansmurray	@alansmurray	@alansmurray
November	novemb	November
25	25	25
,	,	,
2017Total	2017total	2017Total
BS	bs	BS
https://t.co/jrUPRbLCGQ	https://t.co/jruprblcgq	https://t.co/jrUPRbLCGQ
Alan	alan	Alan
Murray	murray	Murray
@alansmurray	@alansmurray	@alansmurray
November	novemb	November
25	25	25
,	,	,
2017However	2017howev	2017However
,	,	,
it	it	it
didn	didn	didn
t	t	t
end	end	end
there	there	there
for	for	for
Trump	trump	Trump
.	.	.
Peter	peter	Peter
Souza	souza	Souza
,	,	,
Barack	barack	Barack
Obama	obama	Obama
s	s	s
former	former	former
official	offici	official
White	white	White
House	hous	House
photographer	photograph	photographer
and	and	and
an	an	an
ardent	ardent	ardent
Trump	trump	Trump
troll	troll	troll
,	,	,
took	took	took
to	to	to
Instagram	instagram	Instagram
to	to	to
taunt	taunt	taunt
President	presid	President
Trump	trump	Trump
.	.	.
Souza	souza	Souza
shared	share	shared
a	a	a
compilation	compil	compilation
of	of	of
images	imag	image
consisting	consist	consisting
of	of	of
15	15	15
Time	time	Time
covers	cover	cover
featuring	featur	featuring
the	the	the
Obamas	obama	Obamas
,	,	,
originally	origin	originally
posted	post	posted
by	by	by
an	an	an
account	account	account
by	by	by
the	the	the
name	name	name
of	of	of
@michelleandbarack	@michelleandbarack	@michelleandbarack
.	.	.
To	to	To
rub	rub	rub
a	a	a
little	littl	little
more	more	more
salt	salt	salt
into	into	into
Trump	trump	Trump
s	s	s
open	open	open
and	and	and
possibly	possibl	possibly
septic	septic	septic
wound	wound	wound
,	,	,
Souza	souza	Souza
also	also	also
added	ad	added
the	the	the
caption	caption	caption
Someone	someon	Someone
has	has	ha
a	a	a
lot	lot	lot
of	of	of
catching	catch	catching
up	up	up
to	to	to
do	do	do
to	to	to
his	his	his
post	post	post
,	,	,
as	as	a
well	well	well
as	as	a
hashtags	hashtag	hashtags
such	such	such
as	as	a
#TwoTerms,	#twoterms,	#TwoTerms,
#ThankYouObama,	#thankyouobama,	#ThankYouObama,
#ComeBackBarack,	#comebackbarack,	#ComeBackBarack,
and	and	and
#MyPresidentWasBlack.	#mypresidentwasblack.	#MyPresidentWasBlack.
Someone	someon	Someone
has	has	ha
a	a	a
lot	lot	lot
of	of	of
catching	catch	catching
up	up	up
to	to	to
do	do	do
.	.	.
#Repost	#repost	#Repost
@michelleandbarack	@michelleandbarack	@michelleandbarack
#MichelleAndBarack	#michelleandbarack	#MichelleAndBarack
#Forever44	#forever44	#Forever44
#BarackObama	#barackobama	#BarackObama
#MichelleObama	#michelleobama	#MichelleObama
#MaliaObama	#maliaobama	#MaliaObama
#SashaObama	#sashaobama	#SashaObama
#Bo	#bo	#Bo
#Sunny	#sunni	#Sunny
#POTUS	#potus	#POTUS
#FLOTUS	#flotus	#FLOTUS
#WhiteHouse	#whitehous	#WhiteHouse
#ObamaFoundation	#obamafound	#ObamaFoundation
#ThankYouObama	#thankyouobama	#ThankYouObama
#TwoTerms	#twoterm	#TwoTerms
#Hope	#hope	#Hope
#ComeBackBarack	#comebackbarack	#ComeBackBarack
#MyPresidentWasBlack	#mypresidentwasblack	#MyPresidentWasBlack
#NeverForget	#neverforget	#NeverForget
#Hawaii	#hawaii	#Hawaii
#Chicago	#chicago	#Chicago
#WashingtonDC	#washingtondc	#WashingtonDC
#MakeAmericaGreatAgainA	#makeamericagreatagaina	#MakeAmericaGreatAgainA
post	post	post
shared	share	shared
by	by	by
Pete	pete	Pete
Souza	souza	Souza
@petesouza	@petesouza	@petesouza
on	on	on
Nov	nov	Nov
25	25	25
,	,	,
2017	2017	2017
at	at	at
12	12	12
51pm	51pm	51pm
PSTSouza	pstsouza	PSTSouza
often	often	often
trolls	troll	troll
the	the	the
President	presid	President
by	by	by
using	use	using
contrasting	contrast	contrasting
photos	photo	photo
he	he	he
took	took	took
in	in	in
the	the	the
past	past	past
that	that	that
show	show	show
Obama	obama	Obama
s	s	s
time	time	time
in	in	in
office	offic	office
in	in	in
a	a	a
far	far	far
more	more	more
positive	posit	positive
light	light	light
.	.	.
When	when	When
someone	someon	someone
as	as	a
thin	thin	thin
-skinned	-skin	-skinned
as	as	a
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
such	such	such
a	a	a
dislike	dislik	dislike
for	for	for
his	his	his
predecessor	predecessor	predecessor
,	,	,
that	that	that
s	s	s
going	go	going
to	to	to
sting	sting	sting
a	a	a
little	littl	little
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Chris	chris	Chris
Hondros	hondro	Hondros
Getty	getti	Getty
Images	imag	Images
