FOX	fox	FOX
News	news	News
The	the	The
New	new	New
York	york	York
Times	time	Times
reported	report	reported
earlier	earlier	earlier
this	this	this
week	week	week
that	that	that
Sessions	session	Sessions
felt	felt	felt
humiliated	humili	humiliated
after	after	after
Trump	trump	Trump
accused	accus	accused
him	him	him
of	of	of
disloyalty	disloyalti	disloyalty
because	becaus	because
he	he	he
recused	recus	recused
himself	himself	himself
from	from	from
the	the	the
Justice	justic	Justice
Department	depart	Department
s	s	s
investigation	investig	investigation
into	into	into
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
s	s	s
ties	tie	tie
to	to	to
Russia	russia	Russia
.	.	.
Trump	trump	Trump
unleashed	unleash	unleashed
a	a	a
string	string	string
of	of	of
insults	insult	insult
at	at	at
Sessions	session	Sessions
,	,	,
who	who	who
would	would	would
later	later	later
go	go	go
on	on	on
to	to	to
say	say	say
Trump	trump	Trump
s	s	s
reprimanding	reprimand	reprimanding
was	was	wa
the	the	the
most	most	most
humiliating	humili	humiliating
event	event	event
he	he	he
experienced	experienc	experienced
as	as	a
a	a	a
public	public	public
servant	servant	servant
,	,	,
according	accord	according
to	to	to
the	the	the
Times	time	Times
.	.	.
Rep	rep	Rep
.	.	.
Maxine	maxin	Maxine
Waters	water	Waters
,	,	,
D	d	D
-Calif	-calif	-Calif
.	.	.
,	,	,
tweeted	tweet	tweeted
Friday	friday	Friday
that	that	that
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
now	now	now
knows	know	know
how	how	how
African	african	African
-Americans	-american	-Americans
feel	feel	feel
after	after	after
he	he	he
was	was	wa
reportedly	report	reportedly
humiliated	humili	humiliated
by	by	by
President	presid	President
Trump	trump	Trump
over	over	over
his	his	his
recusal	recus	recusal
in	in	in
the	the	the
Russia	russia	Russia
investigation	investig	investigation
.	.	.
On	on	On
a	a	a
podcast	podcast	podcast
in	in	in
May	may	May
,	,	,
Waters	water	Waters
referred	refer	referred
to	to	to
Sessions	session	Sessions
as	as	a
very	veri	very
dangerous	danger	dangerous
,	,	,
before	befor	before
adding	ad	adding
,	,	,
I	i	I
think	think	think
he	he	he
s	s	s
a	a	a
racist	racist	racist
,	,	,
and	and	and
I	i	I
think	think	think
that	that	that
he	he	he
absolutely	absolut	absolutely
believes	believ	belief
that	that	that
it	it	it
s	s	s
his	his	his
job	job	job
to	to	to
keep	keep	keep
minorities	minor	minority
in	in	in
their	their	their
place	place	place
.	.	.
To	to	To
Jeff	jeff	Jeff
Sessions	session	Sessions
,	,	,
how	how	how
does	doe	doe
it	it	it
feel	feel	feel
to	to	to
be	be	be
dragged	drag	dragged
humiliated	humili	humiliated
?	?	?
Now	now	Now
you	you	you
know	know	know
how	how	how
the	the	the
African	african	African
Americans	american	Americans
you	you	you
disrespected	disrespect	disrespected
feel	feel	feel
,	,	,
she	she	she
tweeted	tweet	tweeted
.	.	.
To	to	To
Jeff	jeff	Jeff
Sessions	session	Sessions
,	,	,
how	how	how
does	doe	doe
it	it	it
feel	feel	feel
to	to	to
be	be	be
dragged	drag	dragged
humiliated	humili	humiliated
?	?	?
Now	now	Now
you	you	you
know	know	know
how	how	how
the	the	the
African	african	African
Americans	american	Americans
you	you	you
disrespected	disrespect	disrespected
feel	feel	feel
Maxine	maxin	Maxine
Waters	water	Waters
@RepMaxineWaters	@repmaxinewat	@RepMaxineWaters
September	septemb	September
15	15	15
,	,	,
2017To	2017to	2017To
which	which	which
the	the	the
former	former	former
sheriff	sheriff	sheriff
,	,	,
David	david	David
Clarke	clark	Clarke
brilliantly	brilliant	brilliantly
responded	respond	responded
It	it	It
s	s	s
obvious	obvious	obvious
that	that	that
Maxine	maxin	Maxine
Waters	water	Waters
hates	hate	hate
white	white	white
people	peopl	people
.	.	.
That	that	That
would	would	would
make	make	make
her	her	her
a	a	a
black	black	black
supremacist	supremacist	supremacist
.	.	.
It's	it	It's
obvious	obvious	obvious
that	that	that
Maxine	maxin	Maxine
Waters	water	Waters
hates	hate	hate
white	white	white
people	peopl	people
.	.	.
That	that	That
would	would	would
make	make	make
her	her	her
a	a	a
black	black	black
supremacist	supremacist	supremacist
.	.	.
pic.twitter.com/hdRQG7XxuC	pic.twitter.com/hdrqg7xxuc	pic.twitter.com/hdRQG7XxuC
David	david	David
A	a	A
.	.	.
Clarke	clark	Clarke
,	,	,
Jr	jr	Jr
.	.	.
@SheriffClarke	@sheriffclark	@SheriffClarke
September	septemb	September
16	16	16
,	,	,
2017Karma	2017karma	2017Karma
can	can	can
be	be	be
ugly	ugli	ugly
,	,	,
but	but	but
in	in	in
Maxine	maxin	Maxine
Waters	water	Waters
case	case	case
,	,	,
it	it	it
s	s	s
a	a	a
beast	beast	beast
