Members	member	Members
of	of	of
a	a	a
congressional	congression	congressional
committee	committe	committee
ripped	rip	ripped
Obama	obama	Obama
and	and	and
his	his	his
attorney	attorney	attorney
general	general	general
for	for	for
covering	cover	covering
up	up	up
an	an	an
investigation	investig	investigation
into	into	into
the	the	the
death	death	death
of	of	of
Border	border	Border
Patrol	patrol	Patrol
agent	agent	agent
Brian	brian	Brian
Terry	terri	Terry
.	.	.
Terry	terri	Terry
was	was	wa
killed	kill	killed
as	as	a
a	a	a
result	result	result
of	of	of
a	a	a
botched	botch	botched
government	govern	government
gun	gun	gun
-running	-run	-running
project	project	project
known	known	known
as	as	a
Operation	oper	Operation
Fast	fast	Fast
and	and	and
Furious	furious	Furious
The	the	The
House	hous	House
Oversight	oversight	Oversight
Committee	committe	Committee
also	also	also
Wednesday	wednesday	Wednesday
released	releas	released
a	a	a
scathing	scath	scathing
,	,	,
nearly	near	nearly
300	300	300
-page	-page	-page
report	report	report
that	that	that
found	found	found
Holder	holder	Holder
s	s	s
Justice	justic	Justice
Department	depart	Department
tried	tri	tried
to	to	to
hide	hide	hide
the	the	the
facts	fact	fact
from	from	from
the	the	the
loved	love	loved
ones	one	one
of	of	of
slain	slain	slain
Border	border	Border
Patrol	patrol	Patrol
Brian	brian	Brian
Terry	terri	Terry
seeing	see	seeing
his	his	his
family	famili	family
as	as	a
more	more	more
of	of	of
a	a	a
nuisance	nuisanc	nuisance
than	than	than
one	one	one
deserving	deserv	deserving
straight	straight	straight
answers	answer	answer
and	and	and
slamming	slam	slamming
Obama	obama	Obama
s	s	s
assertion	assert	assertion
of	of	of
executive	execut	executive
privilege	privileg	privilege
to	to	to
deny	deni	deny
Congress	congress	Congress
access	access	access
to	to	to
records	record	record
pertaining	pertain	pertaining
to	to	to
Fast	fast	Fast
and	and	and
Furious	furious	Furious
.	.	.
Senator	senat	Senator
Grassley	grassley	Grassley
accused	accus	accused
the	the	the
DOJ	doj	DOJ
and	and	and
ATF	atf	ATF
officials	offici	official
of	of	of
obstructing	obstruct	obstructing
the	the	the
investigation	investig	investigation
and	and	and
working	work	working
to	to	to
silence	silenc	silence
ATF	atf	ATF
agents	agent	agent
who	who	who
informed	inform	informed
the	the	the
Senate	senat	Senate
of	of	of
Fast	fast	Fast
and	and	and
Furious	furious	Furious
The	the	The
Department	depart	Department
of	of	of
Justice	justic	Justice
and	and	and
ATF	atf	ATF
had	had	had
no	no	no
intention	intent	intention
of	of	of
looking	look	looking
for	for	for
honest	honest	honest
answers	answer	answer
and	and	and
being	be	being
transparent	transpar	transparent
.	.	.
In	in	In
fact	fact	fact
,	,	,
from	from	from
the	the	the
onset	onset	onset
,	,	,
bureaucrats	bureaucrat	bureaucrat
employed	employ	employed
shameless	shameless	shameless
delay	delay	delay
tactics	tactic	tactic
to	to	to
obstruct	obstruct	obstruct
the	the	the
investigation	investig	investigation
.	.	.
One	one	One
of	of	of
the	the	the
silenced	silenc	silenced
ATF	atf	ATF
agents	agent	agent
,	,	,
John	john	John
Dodson	dodson	Dodson
,	,	,
testified	testifi	testified
Wednesday	wednesday	Wednesday
that	that	that
he	he	he
remains	remain	remains
in	in	in
a	a	a
state	state	state
of	of	of
purgatory	purgatori	purgatory
since	sinc	since
objecting	object	objecting
to	to	to
Fast	fast	Fast
and	and	and
Furious	furious	Furious
and	and	and
has	has	ha
been	been	been
the	the	the
subject	subject	subject
of	of	of
reprisals	repris	reprisal
and	and	and
ridicule	ridicul	ridicule
at	at	at
the	the	the
agency	agenc	agency
That	that	That
decision	decis	decision
,	,	,
the	the	the
single	singl	single
act	act	act
of	of	of
standing	stand	standing
up	up	up
and	and	and
saying	say	saying
,	,	,
What	what	What
we	we	we
are	are	are
doing	do	doing
is	is	is
wrong	wrong	wrong
instantly	instant	instantly
took	took	took
my	my	my
standing	stand	standing
from	from	from
being	be	being
that	that	that
of	of	of
an	an	an
agent	agent	agent
of	of	of
the	the	the
government	govern	government
to	to	to
an	an	an
enemy	enemi	enemy
of	of	of
the	the	the
state	state	state
.	.	.
ATF	atf	ATF
and	and	and
DOJ	doj	DOJ
officials	offici	official
implemented	implement	implemented
an	an	an
all	all	all
-out	-out	-out
campaign	campaign	campaign
to	to	to
silence	silenc	silence
and	and	and
discredit	discredit	discredit
me	me	me
.	.	.
Suffice	suffic	Suffice
to	to	to
say	say	say
,	,	,
the	the	the
last	last	last
six	six	six
to	to	to
seven	seven	seven
years	year	year
at	at	at
ATF	atf	ATF
have	have	have
not	not	not
been	been	been
the	the	the
best	best	best
for	for	for
me	me	me
or	or	or
my	my	my
career	career	career
.	.	.
Grassley	grassley	Grassley
s	s	s
and	and	and
Dodson	dodson	Dodson
s	s	s
testimony	testimoni	testimony
reinforced	reinforc	reinforced
findings	find	finding
of	of	of
the	the	the
report	report	report
,	,	,
which	which	which
states	state	state
that	that	that
the	the	the
Justice	justic	Justice
Department	depart	Department
knew	knew	knew
before	befor	before
Terry	terri	Terry
s	s	s
death	death	death
that	that	that
the	the	the
ATF	atf	ATF
was	was	wa
walking	walk	walking
firearms	firearm	firearm
to	to	to
Mexico	mexico	Mexico
and	and	and
knew	knew	knew
the	the	the
day	day	day
after	after	after
the	the	the
agent	agent	agent
s	s	s
death	death	death
that	that	that
Fast	fast	Fast
and	and	and
Furious	furious	Furious
guns	gun	gun
were	were	were
involved	involv	involved
in	in	in
the	the	the
shootout	shootout	shootout
despite	despit	despite
denying	deni	denying
these	these	these
facts	fact	fact
to	to	to
the	the	the
media	media	medium
.	.	.
It	it	It
goes	goe	go
on	on	on
to	to	to
state	state	state
that	that	that
the	the	the
Justice	justic	Justice
Department	depart	Department
s	s	s
internal	intern	internal
investigation	investig	investigation
focused	focus	focused
more	more	more
on	on	on
spinning	spin	spinning
the	the	the
story	stori	story
to	to	to
avoid	avoid	avoid
negative	negat	negative
media	media	medium
coverage	coverag	coverage
than	than	than
looking	look	looking
into	into	into
lapses	laps	lapse
by	by	by
either	either	either
the	the	the
DOJ	doj	DOJ
or	or	or
ATF	atf	ATF
.	.	.
The	the	The
whistleblower	whistleblow	whistleblower
testimony	testimoni	testimony
is	is	is
especially	especi	especially
compelling	compel	compelling
at	at	at
the	the	the
42	42	42
00	00	00
point	point	point
of	of	of
the	the	the
video	video	video
Several	sever	Several
emails	email	email
revealed	reveal	revealed
in	in	in
the	the	the
report	report	report
appear	appear	appear
to	to	to
indicate	indic	indicate
that	that	that
some	some	some
Justice	justic	Justice
Department	depart	Department
staffers	staffer	staffer
were	were	were
working	work	working
to	to	to
keep	keep	keep
information	inform	information
from	from	from
political	polit	political
appointees	appointe	appointee
at	at	at
the	the	the
department	depart	department
.	.	.
I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
jinx	jinx	jinx
it	it	it
but	but	but
it	it	it
really	realli	really
