This	this	This
is	is	is
what	what	what
happens	happen	happens
when	when	when
making	make	making
abortion	abort	abortion
legal	legal	legal
becomes	becom	becomes
more	more	more
important	import	important
than	than	than
the	the	the
threat	threat	threat
of	of	of
the	the	the
elimination	elimin	elimination
of	of	of
your	your	your
faith	faith	faith
A	a	A
new	new	new
poll	poll	poll
sponsored	sponsor	sponsored
by	by	by
the	the	the
Los	los	Los
Angeles	angel	Angeles
Jewish	jewish	Jewish
Journal	journal	Journal
reveals	reveal	reveals
that	that	that
a	a	a
strong	strong	strong
plurality	plural	plurality
of	of	of
American	american	American
Jews	jew	Jews
support	support	support
the	the	the
Iran	iran	Iran
nuclear	nuclear	nuclear
deal	deal	deal
,	,	,
49	49	49
to	to	to
31	31	31
.	.	.
That	that	That
compares	compar	compare
to	to	to
much	much	much
smaller	smaller	smaller
support	support	support
among	among	among
Americans	american	Americans
in	in	in
general	general	general
,	,	,
who	who	who
split	split	split
28	28	28
to	to	to
24	24	24
for	for	for
the	the	the
deal	deal	deal
.	.	.
When	when	When
asked	ask	asked
if	if	if
Congress	congress	Congress
should	should	should
vote	vote	vote
for	for	for
the	the	the
deal	deal	deal
,	,	,
most	most	most
American	american	American
Jews	jew	Jews
say	say	say
yes	yes	yes
,	,	,
53	53	53
to	to	to
35	35	35
as	as	a
compared	compar	compared
to	to	to
a	a	a
41	41	41
to	to	to
38	38	38
among	among	among
Americans	american	Americans
in	in	in
general	general	general
.	.	.
The	the	The
poll	poll	poll
included	includ	included
1	1	1
,	,	,
000	000	000
adults	adult	adult
,	,	,
split	split	split
between	between	between
Jews	jew	Jews
and	and	and
non	non	non
-Jews	-jew	-Jews
,	,	,
and	and	and
was	was	wa
conducted	conduct	conducted
via	via	via
telephone	telephon	telephone
and	and	and
cell	cell	cell
phone	phone	phone
from	from	from
July	juli	July
16	16	16
through	through	through
July	juli	July
20	20	20
.	.	.
The	the	The
results	result	result
among	among	among
American	american	American
Jews	jew	Jews
contrast	contrast	contrast
with	with	with
polls	poll	poll
among	among	among
Israeli	isra	Israeli
Jews	jew	Jews
,	,	,
who	who	who
are	are	are
strongly	strong	strongly
against	against	against
the	the	the
Iran	iran	Iran
deal	deal	deal
.	.	.
A	a	A
recent	recent	recent
poll	poll	poll
of	of	of
Israeli	isra	Israeli
Jews	jew	Jews
indicated	indic	indicated
that	that	that
78	78	78
believe	believ	believe
the	the	the
Iran	iran	Iran
deal	deal	deal
endangers	endang	endangers
the	the	the
country	countri	country
.	.	.
A	a	A
strong	strong	strong
plurality	plural	plurality
of	of	of
Israeli	isra	Israeli
Jews	jew	Jews
favored	favor	favored
a	a	a
military	militari	military
strike	strike	strike
against	against	against
Iran	iran	Iran
,	,	,
47	47	47
to	to	to
35	35	35
.	.	.
The	the	The
rift	rift	rift
,	,	,
says	say	say
Jewish	jewish	Jewish
Journal	journal	Journal
columnist	columnist	columnist
Shmuel	shmuel	Shmuel
Rosner	rosner	Rosner
,	,	,
is	is	is
the	the	the
first	first	first
damaging	damag	damaging
impact	impact	impact
of	of	of
a	a	a
troubling	troubl	troubling
agreement	agreement	agreement
with	with	with
Iran	iran	Iran
.	.	.
One	one	One
obvious	obvious	obvious
reason	reason	reason
for	for	for
the	the	the
split	split	split
is	is	is
that	that	that
Israeli	isra	Israeli
Jews	jew	Jews
are	are	are
directly	direct	directly
exposed	expos	exposed
to	to	to
the	the	the
threat	threat	threat
of	of	of
a	a	a
nuclear	nuclear	nuclear
Iran	iran	Iran
.	.	.
American	american	American
Jews	jew	Jews
,	,	,
for	for	for
whom	whom	whom
Israel	israel	Israel
is	is	is
an	an	an
issue	issu	issue
of	of	of
diminishing	diminish	diminishing
importance	import	importance
,	,	,
view	view	view
the	the	the
Iran	iran	Iran
deal	deal	deal
primarily	primarili	primarily
through	through	through
the	the	the
prism	prism	prism
of	of	of
domestic	domest	domestic
politics	polit	politics
