Over	over	Over
the	the	the
last	last	last
decade	decad	decade
or	or	or
so	so	so
,	,	,
a	a	a
handful	hand	handful
of	of	of
people	peopl	people
have	have	have
become	becom	become
what	what	what
you	you	you
might	might	might
call	call	call
economic	econom	economic
rock	rock	rock
stars	star	star
,	,	,
at	at	at
least	least	least
for	for	for
liberals	liber	liberal
.	.	.
Robert	robert	Robert
Reich	reich	Reich
,	,	,
Paul	paul	Paul
Krugman	krugman	Krugman
and	and	and
Joseph	joseph	Joseph
Stiglitz	stiglitz	Stiglitz
grab	grab	grab
the	the	the
attention	attent	attention
of	of	of
liberals	liber	liberal
when	when	when
they	they	they
talk	talk	talk
about	about	about
income	incom	income
inequality	inequ	inequality
,	,	,
taking	take	taking
corporate	corpor	corporate
influence	influenc	influence
out	out	out
of	of	of
politics	polit	politics
and	and	and
a	a	a
more	more	more
equitable	equit	equitable
tax	tax	tax
structure	structur	structure
.	.	.
Bernie	berni	Bernie
Sanders	sander	Sanders
had	had	had
talked	talk	talked
about	about	about
bringing	bring	bringing
on	on	on
Stiglitz	stiglitz	Stiglitz
and	and	and
Reich	reich	Reich
,	,	,
if	if	if
he	he	he
were	were	were
to	to	to
win	win	win
the	the	the
presidency	presid	presidency
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
these	these	these
are	are	are
men	men	men
who	who	who
have	have	have
all	all	all
the	the	the
credibility	credibl	credibility
in	in	in
the	the	the
world	world	world
when	when	when
it	it	it
comes	come	come
to	to	to
evaluating	evalu	evaluating
political	polit	political
candidates	candid	candidate
and	and	and
Nobel	nobel	Nobel
Prize	prize	Prize
winning	win	winning
economist	economist	economist
Stiglitz	stiglitz	Stiglitz
believes	believ	belief
that	that	that
if	if	if
Clinton	clinton	Clinton
wins	win	win
,	,	,
we	we	we
are	are	are
in	in	in
for	for	for
an	an	an
even	even	even
more	more	more
liberal	liber	liberal
agenda	agenda	agenda
than	than	than
Obama	obama	Obama
has	has	ha
had	had	had
.	.	.
To	to	To
be	be	be
fair	fair	fair
,	,	,
Stiglitz	stiglitz	Stiglitz
is	is	is
an	an	an
advisor	advisor	advisor
to	to	to
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
,	,	,
but	but	but
he	he	he
rarely	rare	rarely
tones	tone	tone
down	down	down
his	his	his
progressive	progress	progressive
rhetoric	rhetor	rhetoric
,	,	,
no	no	no
matter	matter	matter
who	who	who
he	he	he
s	s	s
talking	talk	talking
to	to	to
or	or	or
about	about	about
