Democratic	democrat	Democratic
presidential	presidenti	presidential
nominee	nomine	nominee
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
not	not	not
mincing	minc	mincing
words	word	word
when	when	when
it	it	it
comes	come	come
to	to	to
the	the	the
bigotry	bigotri	bigotry
that	that	that
runs	run	run
rampant	rampant	rampant
among	among	among
Donald	donald	Donald
Trump	trump	Trump
supporters	support	supporter
.	.	.
While	while	While
speaking	speak	speaking
in	in	in
New	new	New
York	york	York
at	at	at
a	a	a
fundrasier	fundrasi	fundrasier
focused	focus	focused
on	on	on
LGBTQ	lgbtq	LGBTQ
issues	issu	issue
,	,	,
Hillary	hillari	Hillary
pointed	point	pointed
out	out	out
what	what	what
we	we	we
already	alreadi	already
know	know	know
many	mani	many
on	on	on
the	the	the
Trump	trump	Trump
Train	train	Train
are	are	are
straight	straight	straight
up	up	up
bigots	bigot	bigot
,	,	,
and	and	and
there	there	there
s	s	s
no	no	no
way	way	way
around	around	around
that	that	that
fact	fact	fact
.	.	.
She	she	She
said	said	said
You	you	You
know	know	know
,	,	,
just	just	just
to	to	to
be	be	be
grossly	grossli	grossly
generalist	generalist	generalist
,	,	,
you	you	you
could	could	could
put	put	put
half	half	half
of	of	of
Trump	trump	Trump
s	s	s
supporters	support	supporter
into	into	into
what	what	what
I	i	I
call	call	call
the	the	the
basket	basket	basket
of	of	of
deplorables	deplor	deplorables
.	.	.
The	the	The
racist	racist	racist
,	,	,
sexist	sexist	sexist
,	,	,
homophobic	homophob	homophobic
,	,	,
xenophobic	xenophob	xenophobic
,	,	,
Islamaphobic	islamaphob	Islamaphobic
you	you	you
name	name	name
it	it	it
.	.	.
And	and	And
unfortunately	unfortun	unfortunately
there	there	there
are	are	are
people	peopl	people
like	like	like
that	that	that
.	.	.
And	and	And
he	he	he
has	has	ha
lifted	lift	lifted
them	them	them
up	up	up
.	.	.
Hillary	hillari	Hillary
then	then	then
went	went	went
on	on	on
to	to	to
make	make	make
sure	sure	sure
that	that	that
people	peopl	people
knew	knew	knew
that	that	that
she	she	she
understands	understand	understands
that	that	that
not	not	not
all	all	all
of	of	of
Trump	trump	Trump
s	s	s
supporters	support	supporter
are	are	are
like	like	like
this	this	this
;	;	;
in	in	in
fact	fact	fact
likely	like	likely
many	mani	many
are	are	are
disturbed	disturb	disturbed
by	by	by
many	mani	many
of	of	of
his	his	his
statements	statement	statement
and	and	and
the	the	the
behavior	behavior	behavior
of	of	of
some	some	some
of	of	of
their	their	their
fellow	fellow	fellow
Trump	trump	Trump
supporters	support	supporter
,	,	,
and	and	and
they	they	they
are	are	are
likely	like	likely
just	just	just
desperate	desper	desperate
for	for	for
change	chang	change
and	and	and
have	have	have
been	been	been
duped	dupe	duped
into	into	into
believing	believ	believing
Trump	trump	Trump
can	can	can
deliver	deliv	deliver
it	it	it
.	.	.
She	she	She
continued	continu	continued
That	that	That
other	other	other
basket	basket	basket
of	of	of
people	peopl	people
are	are	are
people	peopl	people
who	who	who
feel	feel	feel
that	that	that
the	the	the
government	govern	government
has	has	ha
let	let	let
them	them	them
down	down	down
,	,	,
the	the	the
economy	economi	economy
has	has	ha
let	let	let
them	them	them
down	down	down
,	,	,
nobody	nobodi	nobody
cares	care	care
about	about	about
them	them	them
,	,	,
nobody	nobodi	nobody
worries	worri	worry
about	about	about
what	what	what
happens	happen	happens
to	to	to
their	their	their
lives	live	life
and	and	and
their	their	their
futures	futur	future
,	,	,
and	and	and
they	they	they
re	re	re
just	just	just
desperate	desper	desperate
for	for	for
a	a	a
change	chang	change
,	,	,
she	she	she
said	said	said
.	.	.
They	they	They
don	don	don
t	t	t
buy	buy	buy
everything	everyth	everything
he	he	he
says	say	say
,	,	,
but	but	but
he	he	he
seems	seem	seems
to	to	to
hold	hold	hold
out	out	out
some	some	some
hope	hope	hope
that	that	that
their	their	their
lives	live	life
will	will	will
be	be	be
different	differ	different
.	.	.
They	they	They
won	won	won
t	t	t
wake	wake	wake
up	up	up
and	and	and
see	see	see
their	their	their
jobs	job	job
disappear	disappear	disappear
,	,	,
lose	lose	lose
a	a	a
kid	kid	kid
to	to	to
heroin	heroin	heroin
,	,	,
feel	feel	feel
like	like	like
they	they	they
re	re	re
in	in	in
a	a	a
dead	dead	dead
end	end	end
.	.	.
Those	those	Those
are	are	are
people	peopl	people
we	we	we
have	have	have
to	to	to
understand	understand	understand
and	and	and
empathize	empath	empathize
with	with	with
as	as	a
well	well	well
.	.	.
She	she	She
also	also	also
added	ad	added
that	that	that
if	if	if
you	you	you
know	know	know
folks	folk	folk
who	who	who
might	might	might
vote	vote	vote
for	for	for
Trump	trump	Trump
,	,	,
do	do	do
something	someth	something
about	about	about
it	it	it
If	if	If
you	you	you
know	know	know
anybody	anybodi	anybody
