Alex	alex	Alex
Jones	jone	Jones
of	of	of
the	the	the
right	right	right
-wing	-wing	-wing
site	site	site
Infowars	infowar	Infowars
is	is	is
no	no	no
stranger	stranger	stranger
to	to	to
insane	insan	insane
conspiracy	conspiraci	conspiracy
theories	theori	theory
,	,	,
and	and	and
he	he	he
has	has	ha
come	come	come
out	out	out
with	with	with
yet	yet	yet
another	anoth	another
one	one	one
.	.	.
It	it	It
seems	seem	seems
that	that	that
Jones	jone	Jones
is	is	is
going	go	going
after	after	after
our	our	our
beautiful	beauti	beautiful
first	first	first
lady	ladi	lady
again	again	again
,	,	,
and	and	and
this	this	this
time	time	time
he	he	he
is	is	is
accusing	accus	accusing
her	her	her
of	of	of
hiding	hide	hiding
a	a	a
secret	secret	secret
transgender	transgend	transgender
past	past	past
.	.	.
He	he	He
also	also	also
accuses	accus	accuses
her	her	her
of	of	of
murdering	murder	murdering
Joan	joan	Joan
Rivers	river	Rivers
.	.	.
Too	too	Too
nutty	nutti	nutty
to	to	to
believe	believ	believe
,	,	,
right	right	right
?	?	?
Well	well	Well
not	not	not
for	for	for
our	our	our
friend	friend	friend
Mr	mr	Mr
.	.	.
Jones	jone	Jones
.	.	.
Right	right	Right
Wing	wing	Wing
Watch	watch	Watch
posted	post	posted
up	up	up
a	a	a
video	video	video
of	of	of
Jones	jone	Jones
acting	act	acting
like	like	like
a	a	a
complete	complet	complete
lunatic	lunat	lunatic
regarding	regard	regarding
Michelle	michell	Michelle
Obama	obama	Obama
,	,	,
and	and	and
it	it	it
s	s	s
too	too	too
insane	insan	insane
even	even	even
for	for	for
him	him	him
.	.	.
He	he	He
begins	begin	begin
Don	don	Don
t	t	t
forget	forget	forget
,	,	,
the	the	the
famous	famous	famous
comedienne	comedienn	comedienne
Joan	joan	Joan
Rivers	river	Rivers
said	said	said
,	,	,
Of	of	Of
course	cours	course
everyone	everyon	everyone
knows	know	know
she	she	she
s	s	s
a	a	a
tranny	tranni	tranny
.	.	.
She	she	She
s	s	s
dead	dead	dead
serious	serious	serious
,	,	,
She	she	She
s	s	s
a	a	a
man	man	man
.	.	.
Deader	deader	Deader
than	than	than
a	a	a
doornail	doornail	doornail
in	in	in
a	a	a
routine	routin	routine
operation	oper	operation
where	where	where
basically	basic	basically
she	she	she
had	had	had
fire	fire	fire
poured	pour	poured
down	down	down
her	her	her
throat	throat	throat
and	and	and
was	was	wa
a	a	a
fire	fire	fire
-breathing	-breath	-breathing
goblin	goblin	goblin
.	.	.
Dead	dead	Dead
on	on	on
arrival	arriv	arrival
.	.	.
Shoot	shoot	Shoot
your	your	your
mouth	mouth	mouth
off	off	off
,	,	,
honey	honey	honey
,	,	,
you	you	you
will	will	will
die	die	die
.	.	.
So	so	So
,	,	,
in	in	in
other	other	other
words	word	word
,	,	,
this	this	this
lunatic	lunat	lunatic
actually	actual	actually
believes	believ	belief
that	that	that
Joan	joan	Joan
Rivers	river	Rivers
death	death	death
is	is	is
the	the	the
result	result	result
of	of	of
her	her	her
knowing	know	knowing
that	that	that
Michelle	michell	Michelle
Obama	obama	Obama
is	is	is
transgender	transgend	transgender
,	,	,
so	so	so
the	the	the
first	first	first
lady	ladi	lady
had	had	had
the	the	the
famously	famous	famously
funny	funni	funny
lady	ladi	lady
murdered	murder	murdered
.	.	.
