On	on	On
Wednesday	wednesday	Wednesday
morning	morn	morning
,	,	,
Donald	donald	Donald
Trump	trump	Trump
announced	announc	announced
that	that	that
he	he	he
would	would	would
be	be	be
launching	launch	launching
a	a	a
full	full	full
-scale	-scale	-scale
investigation	investig	investigation
into	into	into
why	whi	why
so	so	so
many	mani	many
women	women	woman
and	and	and
minorities	minor	minority
were	were	were
allowed	allow	allowed
to	to	to
vote	vote	vote
for	for	for
his	his	his
opponent	oppon	opponent
voter	voter	voter
fraud	fraud	fraud
,	,	,
including	includ	including
those	those	those
registered	regist	registered
to	to	to
vote	vote	vote
in	in	in
two	two	two
states	state	state
.	.	.
Depending	depend	Depending
on	on	on
the	the	the
results	result	result
of	of	of
his	his	his
investigation	investig	investigation
,	,	,
President	presid	President
Asterisk	asterisk	Asterisk
says	say	say
he	he	he
plans	plan	plan
to	to	to
strengthen	strengthen	strengthen
regulations	regul	regulation
to	to	to
ensure	ensur	ensure
that	that	that
only	onli	only
white	white	white
,	,	,
straight	straight	straight
men	men	men
get	get	get
to	to	to
vote	vote	vote
for	for	for
the	the	the
rest	rest	rest
of	of	of
time	time	time
our	our	our
elections	elect	election
are	are	are
fair	fair	fair
and	and	and
only	onli	only
corrupt	corrupt	corrupt
government	govern	government
officials	offici	official
and	and	and
brutal	brutal	brutal
foreign	foreign	foreign
dictators	dictat	dictator
have	have	have
a	a	a
say	say	say
.	.	.
I	i	I
will	will	will
be	be	be
asking	ask	asking
for	for	for
a	a	a
major	major	major
investigation	investig	investigation
into	into	into
VOTER	voter	VOTER
FRAUD	fraud	FRAUD
,	,	,
including	includ	including
those	those	those
registered	regist	registered
to	to	to
vote	vote	vote
in	in	in
two	two	two
states	state	state
,	,	,
those	those	those
who	who	who
are	are	are
illegal	illeg	illegal
and	and	and
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
January	januari	January
25	25	25
,	,	,
2017even	2017even	2017even
,	,	,
those	those	those
registered	regist	registered
to	to	to
vote	vote	vote
who	who	who
are	are	are
dead	dead	dead
and	and	and
many	mani	many
for	for	for
a	a	a
long	long	long
time	time	time
.	.	.
Depending	depend	Depending
on	on	on
results	result	result
,	,	,
we	we	we
will	will	will
strengthen	strengthen	strengthen
up	up	up
voting	vote	voting
procedures	procedur	procedure
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
