Clearly	clear	Clearly
,	,	,
one	one	one
big	big	big
goal	goal	goal
of	of	of
the	the	the
conservative	conserv	conservative
Christian	christian	Christian
base	base	base
is	is	is
to	to	to
one	one	one
day	day	day
strip	strip	strip
women	women	woman
of	of	of
their	their	their
right	right	right
to	to	to
vote	vote	vote
and	and	and
confine	confin	confine
them	them	them
solely	sole	solely
to	to	to
the	the	the
home	home	home
.	.	.
And	and	And
that	that	that
s	s	s
exactly	exact	exactly
what	what	what
Arizona	arizona	Arizona
pastor	pastor	pastor
Steven	steven	Steven
Anderson	anderson	Anderson
of	of	of
the	the	the
Faithful	faith	Faithful
Word	word	Word
Baptist	baptist	Baptist
Church	church	Church
preached	preach	preached
to	to	to
his	his	his
congregation	congreg	congregation
in	in	in
a	a	a
video	video	video
he	he	he
uploaded	upload	uploaded
to	to	to
YouTube	youtub	YouTube
.	.	.
In	in	In
this	this	this
latest	latest	latest
rant	rant	rant
,	,	,
Anderson	anderson	Anderson
goes	goe	go
full	full	full
misogynist	misogynist	misogynist
,	,	,
whining	whine	whining
about	about	about
women	women	woman
being	be	being
able	abl	able
to	to	to
divorce	divorc	divorce
their	their	their
husbands	husband	husband
,	,	,
having	have	having
the	the	the
right	right	right
to	to	to
vote	vote	vote
,	,	,
and	and	and
having	have	having
a	a	a
job	job	job
outside	outsid	outside
of	of	of
the	the	the
home	home	home
,	,	,
all	all	all
of	of	of
which	which	which
he	he	he
believes	believ	belief
only	onli	only
men	men	men
should	should	should
have	have	have
the	the	the
ability	abil	ability
to	to	to
do	do	do
.	.	.

You	you	You
know	know	know
what	what	what
they	they	they
mean	mean	mean
by	by	by
women	women	woman
s	s	s
rights	right	right
?	?	?

Anderon	anderon	Anderon
asked	ask	asked
his	his	his
flock	flock	flock
.	.	.

The	the	The
right	right	right
to	to	to
divorce	divorc	divorce
your	your	your
husband	husband	husband
is	is	is
what	what	what
they	they	they
mean	mean	mean
.	.	.

You	you	You
know	know	know
what	what	what
they	they	they
mean	mean	mean
?	?	?

The	the	The
right	right	right
to	to	to
rebel	rebel	rebel
and	and	and
disobey	disobey	disobey
your	your	your
husband	husband	husband
,	,	,
the	the	the
right	right	right
to	to	to
divorce	divorc	divorce
him	him	him
,	,	,
the	the	the
right	right	right
to	to	to
go	go	go
out	out	out
and	and	and
get	get	get
a	a	a
job	job	job
and	and	and
make	make	make
your	your	your
own	own	own
money	money	money
,	,	,
the	the	the
right	right	right
to	to	to
tell	tell	tell
him	him	him
what	what	what
to	to	to
do	do	do
,	,	,
the	the	the
right	right	right
to	to	to
go	go	go
vote	vote	vote
for	for	for
our	our	our
leaders	leader	leader
as	as	a
if	if	if
women	women	woman
should	should	should
have	have	have
any	ani	any
say	say	say
