Paul	paul	Paul
Congemi	congemi	Congemi
,	,	,
a	a	a
Republican	republican	Republican
candidate	candid	candidate
running	run	running
for	for	for
mayor	mayor	mayor
of	of	of
St	st	St
.	.	.
Petersburg	petersburg	Petersburg
,	,	,
Florida	florida	Florida
,	,	,
sent	sent	sent
a	a	a
clear	clear	clear
message	messag	message
to	to	to
black	black	black
voters	voter	voter
at	at	at
a	a	a
forum	forum	forum
on	on	on
Tuesday	tuesday	Tuesday
when	when	when
he	he	he
told	told	told
mayoral	mayor	mayoral
opponent	oppon	opponent
Jesse	jess	Jesse
Nevel	nevel	Nevel
and	and	and
members	member	member
of	of	of
the	the	the
Uhuru	uhuru	Uhuru
Solidarity	solidar	Solidarity
Movement	movement	Movement
to	to	to
Go	go	Go
back	back	back
to	to	to
Africa	africa	Africa
.	.	.
Congemi	congemi	Congemi
claims	claim	claim
to	to	to
have	have	have
been	been	been
a	a	a
life	life	life
-long	-long	-long
Democrat	democrat	Democrat
who	who	who
switched	switch	switched
to	to	to
Republican	republican	Republican
after	after	after
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
showed	show	showed
his	his	his
support	support	support
for	for	for
gay	gay	gay
marriage	marriag	marriage
.	.	.
Nevel	nevel	Nevel
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
is	is	is
white	white	white
and	and	and
has	has	ha
been	been	been
running	run	running
his	his	his
campaign	campaign	campaign
on	on	on
the	the	the
slogan	slogan	slogan
Unity	uniti	Unity
through	through	through
reparations	repar	reparation
,	,	,
and	and	and
has	has	ha
also	also	also
spoken	spoken	spoken
out	out	out
against	against	against
gentrification	gentrif	gentrification
and	and	and
police	polic	police
brutality	brutal	brutality
.	.	.
Then	then	Then
there	there	there
is	is	is
the	the	the
Uhuru	uhuru	Uhuru
Solidarity	solidar	Solidarity
Movement	movement	Movement
,	,	,
a	a	a
socialist	socialist	socialist
organization	organ	organization
of	of	of
white	white	white
people	peopl	people
who	who	who
believe	believ	believe
that	that	that
the	the	the
key	key	key
to	to	to
ending	end	ending
racial	racial	racial
inequality	inequ	inequality
is	is	is
through	through	through
reparations	repar	reparation
,	,	,
but	but	but
Congemi	congemi	Congemi
sees	see	see
things	thing	thing
from	from	from
different	differ	different
angle	angl	angle
.	.	.
Mr	mr	Mr
.	.	.
Nevel	nevel	Nevel
you	you	you
and	and	and
your	your	your
people	peopl	people
talk	talk	talk
about	about	about
reparations	repar	reparation
.	.	.
The	the	The
reparations	repar	reparation
that	that	that
you	you	you
talk	talk	talk
about	about	about
,	,	,
Mr	mr	Mr
.	.	.
Nevel	nevel	Nevel
,	,	,
your	your	your
people	peopl	people
already	alreadi	already
got	got	got
your	your	your
reparations	repar	reparation
.	.	.
Your	your	Your
reparations	repar	reparation
came	came	came
in	in	in
the	the	the
form	form	form
of	of	of
a	a	a
man	man	man
named	name	named
Barack	barack	Barack
Obama	obama	Obama
,	,	,
Congemi	congemi	Congemi
said	said	said
at	at	at
Tuesday	tuesday	Tuesday
s	s	s
forum	forum	forum
.	.	.
My	my	My
advice	advic	advice
to	to	to
you	you	you
,	,	,
if	if	if
you	you	you
don	don	don
t	t	t
like	like	like
it	it	it
here	here	here
in	in	in
America	america	America
,	,	,
planes	plane	plane
leave	leav	leave
every	everi	every
hour	hour	hour
from	from	from
Tampa	tampa	Tampa
airport	airport	airport
.	.	.
Go	go	Go
back	back	back
to	to	to
Africa	africa	Africa
.	.	.
Go	go	Go
back	back	back
to	to	to
Africa	africa	Africa
.	.	.
Go	go	Go
back	back	back
,	,	,
he	he	he
continued	continu	continued
,	,	,
repeatedly	repeat	repeatedly
pointing	point	pointing
at	at	at
the	the	the
crowd	crowd	crowd
and	and	and
later	later	later
making	make	making
motions	motion	motion
to	to	to
exit	exit	exit
.	.	.
His	his	His
statement	statement	statement
was	was	wa
met	met	met
with	with	with
a	a	a
combination	combin	combination
of	of	of
shock	shock	shock
and	and	and
disgust	disgust	disgust
,	,	,
with	with	with
one	one	one
woman	woman	woman
in	in	in
the	the	the
crowd	crowd	crowd
shouting	shout	shouting
Get	get	Get
out	out	out
of	of	of
here	here	here
!	!	!
after	after	after
Congemi	congemi	Congemi
s	s	s
comment	comment	comment
about	about	about
Barack	barack	Barack
Obama	obama	Obama
.	.	.
Rick	rick	Rick
Kriseman	kriseman	Kriseman
,	,	,
the	the	the
sitting	sit	sitting
mayor	mayor	mayor
of	of	of
St	st	St
.	.	.
Petersburg	petersburg	Petersburg
,	,	,
was	was	wa
also	also	also
critical	critic	critical
of	of	of
the	the	the
candidate	candid	candidate
s	s	s
words	word	word
,	,	,
claiming	claim	claiming
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
Congemi	congemi	Congemi
s	s	s
statement	statement	statement
was	was	wa
hateful	hate	hateful
,	,	,
bigoted	bigot	bigoted
,	,	,
and	and	and
unacceptable	unaccept	unacceptable
toward	toward	toward
black	black	black
and	and	and
gay	gay	gay
Floridians	floridian	Floridians
.	.	.
Jesse	jess	Jesse
Nevel	nevel	Nevel
also	also	also
saw	saw	saw
the	the	the
move	move	move
as	as	a
tactless	tactless	tactless
,	,	,
saying	say	saying
that	that	that
Congemi	congemi	Congemi
s	s	s
comment	comment	comment
reflects	reflect	reflects
a	a	a
segment	segment	segment
of	of	of
my	my	my
community	communiti	community
.	.	.
I	i	I
ve	ve	ve
met	met	met
plenty	plenti	plenty
of	of	of
other	other	other
people	peopl	people
who	who	who
feel	feel	feel
that	that	that
way	way	way
.	.	.
That	that	That
s	s	s
why	whi	why
I	i	I
feel	feel	feel
that	that	that
it	it	it
s	s	s
important	import	important
for	for	for
those	those	those
of	of	of
us	us	u
in	in	in
the	the	the
white	white	white
community	communiti	community
to	to	to
take	take	take
a	a	a
public	public	public
stand	stand	stand
with	with	with
reparations	repar	reparation
.	.	.
In	in	In
typical	typic	typical
Republican	republican	Republican
fashion	fashion	fashion
,	,	,
Congemi	congemi	Congemi
tried	tri	tried
to	to	to
weasel	weasel	weasel
his	his	his
way	way	way
out	out	out
of	of	of
the	the	the
firestorm	firestorm	firestorm
he	he	he
had	had	had
created	creat	created
,	,	,
telling	tell	telling
the	the	the
Washington	washington	Washington
Post	post	Post
that	that	that
he	he	he
has	has	ha
nothing	noth	nothing
against	against	against
African	african	African
Americans	american	Americans
who	who	who
are	are	are
doing	do	doing
their	their	their
best	best	best
here	here	here
in	in	in
America	america	America
,	,	,
and	and	and
that	that	that
his	his	his
remarks	remark	remark
were	were	were
only	onli	only
aimed	aim	aimed
at	at	at
those	those	those
who	who	who
are	are	are
pushing	push	pushing
for	for	for
reparations	repar	reparation
.	.	.
He	he	He
even	even	even
referred	refer	referred
to	to	to
Nevel	nevel	Nevel
as	as	a
a	a	a
self	self	self
-hating	-hate	-hating
white	white	white
man	man	man
.	.	.
The	the	The
controversy	controversi	controversy
doesn	doesn	doesn
t	t	t
seem	seem	seem
to	to	to
have	have	have
slowed	slow	slowed
Congemi	congemi	Congemi
down	down	down
,	,	,
and	and	and
he	he	he
claims	claim	claim
that	that	that
anyone	anyon	anyone
who	who	who
believes	believ	belief
he	he	he
is	is	is
racist	racist	racist
simply	simpli	simply
misunderstood	misunderstood	misunderstood
his	his	his
comments	comment	comment
.	.	.
Even	even	Even
if	if	if
he	he	he
loses	lose	loses
this	this	this
time	time	time
,	,	,
he	he	he
s	s	s
not	not	not
going	go	going
to	to	to
stop	stop	stop
.	.	.
I	i	I
ll	ll	ll
run	run	run
again	again	again
in	in	in
2019	2019	2019
and	and	and
,	,	,
God	god	God
willing	will	willing
,	,	,
if	if	if
I	i	I
m	m	m
alive	aliv	alive
in	in	in
2021	2021	2021
,	,	,
I	i	I
ll	ll	ll
run	run	run
then	then	then
,	,	,
too	too	too
,	,	,
Congemi	congemi	Congemi
said	said	said
.	.	.
I	i	I
intend	intend	intend
to	to	to
keep	keep	keep
running	run	running
and	and	and
running	run	running
and	and	and
running	run	running
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
from	from	from
YouTube	youtub	YouTube
