CAN	can	CAN
WE	we	WE
JUST	just	JUST
STOP	stop	STOP
ALLOWING	allow	ALLOWING
Muslim	muslim	Muslim
Refugees	refuge	Refugees
and	and	and
visitors	visitor	visitor
into	into	into
U	u	U
.	.	.
S	s	S
.	.	.
from	from	from
countries	countri	country
who	who	who
hate	hate	hate
us	us	u
already	alreadi	already
?	?	?
How	how	How
about	about	about
we	we	we
focus	focus	focus
on	on	on
the	the	the
1	1	1
of	of	of
Pakistani	pakistani	Pakistani
s	s	s
who	who	who
are	are	are
Christian	christian	Christian
that	that	that
face	face	face
daily	daili	daily
persecution	persecut	persecution
at	at	at
the	the	the
hands	hand	hand
of	of	of
Muslims	muslim	Muslims
?	?	?
UPDATE	updat	UPDATE
Tashfeen	tashfeen	Tashfeen
Malik	malik	Malik
posted	post	posted
a	a	a
pledge	pledg	pledge
of	of	of
allegiance	allegi	allegiance
to	to	to
ISIS	isi	ISIS
before	befor	before
her	her	her
deadly	dead	deadly
attack	attack	attack
.	.	.
She	she	She
used	use	used
a	a	a
fake	fake	fake
address	address	address
on	on	on
her	her	her
passport	passport	passport
.	.	.
Via	via	Via
ABC	abc	ABC
For	for	For
the	the	the
visa	visa	visa
application	applic	application
,	,	,
the	the	the
address	address	address
she	she	she
listed	list	listed
in	in	in
her	her	her
Pakistani	pakistani	Pakistani
hometown	hometown	hometown
,	,	,
ABC	abc	ABC
News	news	News
discovered	discov	discovered
today	today	today
,	,	,
does	doe	doe
not	not	not
exist	exist	exist
.	.	.
Malik	malik	Malik
received	receiv	received
a	a	a
her	her	her
Green	green	Green
Card	card	Card
this	this	this
summer	summer	summer
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
said	said	said
.	.	.
Tashfeen	tashfeen	Tashfeen
Malik	malik	Malik
,	,	,
the	the	the
female	femal	female
terrorist	terrorist	terrorist
involved	involv	involved
in	in	in
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
attack	attack	attack
should	should	should
have	have	have
never	never	never
been	been	been
granted	grant	granted
an	an	an
American	american	American
visa	visa	visa
if	if	if
the	the	the
Immigration	immigr	Immigration
and	and	and
Nationality	nation	Nationality
Act	act	Act
holds	hold	hold
any	ani	any
weight	weight	weight
.	.	.
Malik	malik	Malik
,	,	,
who	who	who
was	was	wa
found	found	found
to	to	to
have	have	have
a	a	a
Pakistani	pakistani	Pakistani
passport	passport	passport
,	,	,
obtained	obtain	obtained
the	the	the
K	k	K
-1	-1	-1
visa	visa	visa
in	in	in
Islamabad	islamabad	Islamabad
,	,	,
Pakistan	pakistan	Pakistan
.	.	.
However	howev	However
,	,	,
American	american	American
visa	visa	visa
laws	law	law
that	that	that
are	are	are
meant	meant	meant
to	to	to
detect	detect	detect
potential	potenti	potential
terror	terror	terror
threats	threat	threat
trying	tri	trying
to	to	to
infiltrate	infiltr	infiltrate
the	the	the
country	countri	country
should	should	should
have	have	have
blocked	block	blocked
the	the	the
female	femal	female
jihadist	jihadist	jihadist
from	from	from
obtaining	obtain	obtaining
that	that	that
visa	visa	visa
.	.	.
As	as	As
the	the	the
Center	center	Center
for	for	for
Immigration	immigr	Immigration
Services	servic	Services
notes	note	note
,	,	,
Section	section	Section
214	214	214
b	b	b
of	of	of
the	the	the
Immigration	immigr	Immigration
and	and	and
Nationality	nation	Nationality
Act	act	Act
states	state	state
that	that	that
individuals	individu	individual
who	who	who
appear	appear	appear
likely	like	likely
to	to	to
overstay	overstay	overstay
their	their	their
temporary	temporari	temporary
visas	visa	visa
and	and	and
try	tri	try
to	to	to
settle	settl	settle
permanently	perman	permanently
in	in	in
the	the	the
United	unit	United
States	state	States
are	are	are
not	not	not
to	to	to
be	be	be
issued	issu	issued
one	one	one
.	.	.
The	the	The
regulation	regul	regulation
is	is	is
meant	meant	meant
to	to	to
detect	detect	detect
individuals	individu	individual
seeking	seek	seeking
a	a	a
visa	visa	visa
who	who	who
do	do	do
not	not	not
have	have	have
permanent	perman	permanent
families	famili	family
in	in	in
their	their	their
home	home	home
country	countri	country
and	and	and
whether	whether	whether
or	or	or
not	not	not
they	they	they
have	have	have
enough	enough	enough
money	money	money
to	to	to
travel	travel	travel
back	back	back
to	to	to
their	their	their
home	home	home
country	countri	country
once	onc	once
their	their	their
visa	visa	visa
is	is	is
expired	expir	expired
.	.	.
This	this	This
screening	screen	screening
process	process	process
is	is	is
meant	meant	meant
to	to	to
expose	expos	expose
individuals	individu	individual
trying	tri	trying
to	to	to
to	to	to
get	get	get
into	into	into
the	the	the
country	countri	country
for	for	for
the	the	the
purpose	purpos	purpose
of	of	of
resettling	resettl	resettling
permanently	perman	permanently
and	and	and
overstaying	overstay	overstaying
their	their	their
visa	visa	visa
,	,	,
as	as	a
so	so	so
many	mani	many
do	do	do
.	.	.
Nonetheless	nonetheless	Nonetheless
,	,	,
Malik	malik	Malik
was	was	wa
able	abl	able
to	to	to
obtain	obtain	obtain
a	a	a
visa	visa	visa
in	in	in
Islamabad	islamabad	Islamabad
despite	despit	despite
the	the	the
screening	screen	screening
process	process	process
which	which	which
should	should	should
have	have	have
detected	detect	detected
the	the	the
fact	fact	fact
that	that	that
she	she	she
was	was	wa
a	a	a
young	young	young
woman	woman	woman
resettling	resettl	resettling
in	in	in
the	the	the
US	us	US
to	to	to
potentially	potenti	potentially
raise	rais	raise
a	a	a
family	famili	family
with	with	with
her	her	her
radical	radic	radical
jihadist	jihadist	jihadist
husband	husband	husband
Syed	sy	Syed
Farook	farook	Farook
.	.	.
Malik	malik	Malik
passed	pass	passed
her	her	her
DHS	dhs	DHS
screening	screen	screening
Under	under	Under
Section	section	Section
214	214	214
b	b	b
,	,	,
Malik	malik	Malik
should	should	should
have	have	have
been	been	been
denied	deni	denied
a	a	a
visa	visa	visa
,	,	,
as	as	a
there	there	there
was	was	wa
ample	ampl	ample
evidence	evid	evidence
that	that	that
she	she	she
would	would	would
overstay	overstay	overstay
her	her	her
visa	visa	visa
.	.	.
But	but	But
,	,	,
Malik	malik	Malik
could	could	could
have	have	have
obtained	obtain	obtained
her	her	her
visa	visa	visa
the	the	the
same	same	same
way	way	way
the	the	the
9	9	9
11	11	11
hijackers	hijack	hijacker
obtained	obtain	obtained
theirs	their	theirs
through	through	through
the	the	the
Visa	visa	Visa
Express	express	Express
program	program	program
.	.	.
As	as	As
reported	report	reported
by	by	by
The	the	The
Hayride	hayrid	Hayride
,	,	,
the	the	the
Visa	visa	Visa
Express	express	Express
program	program	program
allowed	allow	allowed
9	9	9
11	11	11
hijackers	hijack	hijacker
Abdulaziz	abdulaziz	Abdulaziz
Alomari	alomari	Alomari
,	,	,
Salem	salem	Salem
al	al	al
Hamzi	hamzi	Hamzi
,	,	,
and	and	and
Khalid	khalid	Khalid
al	al	al
Midhar	midhar	Midhar
to	to	to
obtain	obtain	obtain
their	their	their
visas	visa	visa
in	in	in
Saudi	saudi	Saudi
Arabia	arabia	Arabia
without	without	without
even	even	even
being	be	being
interviewed	interview	interviewed
by	by	by
consular	consular	consular
officials	offici	official
at	at	at
the	the	the
American	american	American
consulate	consul	consulate
.	.	.
The	the	The
terrorists	terrorist	terrorist
simply	simpli	simply
obtained	obtain	obtained
their	their	their
visas	visa	visa
by	by	by
sending	send	sending
officials	offici	official
their	their	their
applications	applic	application
and	and	and
supporting	support	supporting
documents	document	document
through	through	through
a	a	a
designated	design	designated
travel	travel	travel
agency	agenc	agency
.	.	.
This	this	This
allowed	allow	allowed
the	the	the
three	three	three
terrorists	terrorist	terrorist
to	to	to
go	go	go
undetected	undetect	undetected
despite	despit	despite
red	red	red
-flags	-flag	-flags
that	that	that
they	they	they
were	were	were
single	singl	single
,	,	,
young	young	young
men	men	men
with	with	with
not	not	not
enough	enough	enough
funds	fund	fund
to	to	to
return	return	return
back	back	back
to	to	to
their	their	their
home	home	home
countries	countri	country
once	onc	once
their	their	their
visas	visa	visa
expired	expir	expired
.	.	.
Likewise	likewis	Likewise
,	,	,
if	if	if
Malik	malik	Malik
gained	gain	gained
her	her	her
visa	visa	visa
through	through	through
the	the	the
Visa	visa	Visa
Express	express	Express
program	program	program
at	at	at
the	the	the
American	american	American
consulate	consul	consulate
in	in	in
Islamabad	islamabad	Islamabad
,	,	,
it	it	it
would	would	would
explain	explain	explain
how	how	how
she	she	she
was	was	wa
allowed	allow	allowed
to	to	to
enter	enter	enter
the	the	the
country	countri	country
despite	despit	despite
overwhelming	overwhelm	overwhelming
suspicions	suspicion	suspicion
that	that	that
she	she	she
would	would	would
overstay	overstay	overstay
her	her	her
visa	visa	visa
.	.	.
The	the	The
Immigration	immigr	Immigration
and	and	and
Naturalization	natur	Naturalization
Service	servic	Service
INS	in	INS
admits	admit	admits
that	that	that
there	there	there
are	are	are
so	so	so
many	mani	many
visas	visa	visa
given	given	given
out	out	out
each	each	each
year	year	year
around	around	around
the	the	the
world	world	world
that	that	that
it	it	it
is	is	is
impossible	imposs	impossible
to	to	to
conduct	conduct	conduct
background	background	background
checks	check	check
on	on	on
every	everi	every
single	singl	single
person	person	person
.	.	.
And	and	And
,	,	,
we	we	we
all	all	all
saw	saw	saw
what	what	what
happened	happen	happened
yesterday	yesterday	yesterday
in	in	in
San	san	San
Bernardino	bernardino	Bernardino
.	.	.
Via	via	Via
Gateway	gateway	Gateway
Pundit	pundit	Pundit
