Ever	ever	Ever
since	sinc	since
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
became	becam	became
the	the	the
law	law	law
of	of	of
the	the	the
land	land	land
,	,	,
Bible	bibl	Bible
Belt	belt	Belt
states	state	state
have	have	have
been	been	been
pushing	push	pushing
back	back	back
on	on	on
it	it	it
.	.	.

Of	of	Of
course	cours	course
,	,	,
we	we	we
all	all	all
remember	rememb	remember
the	the	the
Kim	kim	Kim
Davis	davi	Davis
fiasco	fiasco	fiasco
,	,	,
where	where	where
the	the	the
Rowan	rowan	Rowan
County	counti	County
,	,	,
Kentucky	kentucki	Kentucky
County	counti	County
Clerk	clerk	Clerk
went	went	went
to	to	to
jail	jail	jail
rather	rather	rather
than	than	than
issue	issu	issue
marriage	marriag	marriage
licenses	licens	license
to	to	to
same	same	same
-sex	-sex	-sex
couples	coupl	couple
.	.	.

Now	now	Now
,	,	,
we	we	we
have	have	have
something	someth	something
similar	similar	similar
happening	happen	happening
in	in	in
Arkansas	arkansa	Arkansas
,	,	,
where	where	where
the	the	the
state	state	state
was	was	wa
refusing	refus	refusing
to	to	to
put	put	put
the	the	the
names	name	name
of	of	of
same	same	same
-sex	-sex	-sex
parents	parent	parent
on	on	on
their	their	their
children	children	child
s	s	s
birth	birth	birth
certificates	certif	certificate
.	.	.

However	howev	However
,	,	,
the	the	the
Supreme	suprem	Supreme
Court	court	Court
handed	hand	handed
down	down	down
a	a	a
decision	decis	decision
forcing	forc	forcing
the	the	the
state	state	state
of	of	of
Arkansas	arkansa	Arkansas
to	to	to
treat	treat	treat
same	same	same
-sex	-sex	-sex
couples	coupl	couple
just	just	just
like	like	like
they	they	they
treat	treat	treat
opposite	opposit	opposite
-sex	-sex	-sex
couples	coupl	couple
.	.	.
The	the	The
decision	decis	decision
that	that	that
was	was	wa
handed	hand	handed
down	down	down
was	was	wa
6	6	6
-3	-3	-3
,	,	,
with	with	with
Justices	justic	Justices
Clarence	clarenc	Clarence
Thomas	thoma	Thomas
,	,	,
Samuel	samuel	Samuel
Alito	alito	Alito
,	,	,
and	and	and
Neil	neil	Neil
Gorsuch	gorsuch	Gorsuch
dissenting	dissent	dissenting
.	.	.

This	this	This
comes	come	come
as	as	a
no	no	no
surprise	surpris	surprise
,	,	,
since	sinc	since
those	those	those
are	are	are
the	the	the
three	three	three
most	most	most
conservative	conserv	conservative
justices	justic	justice
on	on	on
the	the	the
court	court	court
.	.	.

Further	further	Further
,	,	,
it	it	it
gives	give	give
us	us	u
just	just	just
a	a	a
taste	tast	taste
of	of	of
what	what	what
we	we	we
are	are	are
in	in	in
for	for	for
with	with	with
Trump	trump	Trump
s	s	s
new	new	new
justice	justic	justice
,	,	,
and	and	and
it	it	it
isn	isn	isn
t	t	t
good	good	good
.	.	.

The	the	The
case	case	case
reached	reach	reached
the	the	the
highest	highest	highest
court	court	court
in	in	in
the	the	the
land	land	land
as	as	a
the	the	the
result	result	result
of	of	of
two	two	two
women	women	woman
who	who	who
filed	file	filed
a	a	a
suit	suit	suit
against	against	against
the	the	the
state	state	state
when	when	when
they	they	they
insisted	insist	insisted
that	that	that
it	it	it
was	was	wa
not	not	not
a	a	a
right	right	right
to	to	to
have	have	have
both	both	both
parents	parent	parent
listed	list	listed
on	on	on
their	their	their
infant	infant	infant
s	s	s
certificate	certif	certificate
of	of	of
birth	birth	birth
.	.	.

First	first	First
,	,	,
the	the	the
Arkansas	arkansa	Arkansas
Supreme	suprem	Supreme
Court	court	Court
ruled	rule	ruled
in	in	in
favor	favor	favor
of	of	of
the	the	the
state	state	state
,	,	,
so	so	so
the	the	the
case	case	case
went	went	went
to	to	to
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
where	where	where
it	it	it
was	was	wa
struck	struck	struck
down	down	down
.	.	.
Luckily	luckili	Luckily
,	,	,
this	this	this
is	is	is
a	a	a
6	6	6
-3	-3	-3
ruling	rule	ruling
,	,	,
so	so	so
it	it	it
s	s	s
not	not	not
on	on	on
a	a	a
razor	razor	razor
s	s	s
edge	edg	edge
,	,	,
like	like	like
some	some	some
rulings	rule	ruling
in	in	in
favor	favor	favor
of	of	of
equality	equal	equality
have	have	have
been	been	been
including	includ	including
Obergefell	obergefel	Obergefell
v	v	v
.	.	.

Hodges	hodg	Hodges
,	,	,
the	the	the
case	case	case
that	that	that
legalized	legal	legalized
marriage	marriag	marriage
equality	equal	equality
nationwide	nationwid	nationwide
.	.	.

With	with	With
talk	talk	talk
of	of	of
the	the	the
potential	potenti	potential
retirement	retir	retirement
of	of	of
Justice	justic	Justice
Anthony	anthoni	Anthony
Kennedy	kennedi	Kennedy
,	,	,
who	who	who
is	is	is
usually	usual	usually
the	the	the
swing	swing	swing
vote	vote	vote
on	on	on
the	the	the
Court	court	Court
,	,	,
there	there	there
could	could	could
be	be	be
a	a	a
lot	lot	lot
of	of	of
anti	anti	anti
-equality	-equal	-equality
rulings	rule	ruling
if	if	if
Trump	trump	Trump
puts	put	put
another	anoth	another
right	right	right
-wing	-wing	-wing
asshole	asshol	asshole
up	up	up
for	for	for
consideration	consider	consideration
.	.	.

The	the	The
last	last	last
great	great	great
hope	hope	hope
is	is	is
that	that	that
the	the	the
Democrats	democrat	Democrats
are	are	are
able	abl	able
to	to	to
take	take	take
the	the	the
Senate	senat	Senate
back	back	back
in	in	in
2018	2018	2018
,	,	,
and	and	and
Justice	justic	Justice
Kennedy	kennedi	Kennedy
will	will	will
wait	wait	wait
until	until	until
then	then	then
to	to	to
retire	retir	retire
.	.	.

For	for	For
now	now	now
,	,	,
we	we	we
can	can	can
be	be	be
happy	happi	happy
that	that	that
the	the	the
Court	court	Court
did	did	did
the	the	the
right	right	right
thing	thing	thing
in	in	in
this	this	this
case	case	case
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Alex	alex	Alex
Wong	wong	Wong
Getty	getti	Getty
Images	imag	Images

