America	america	America
s	s	s
Diner	diner	Diner
Denny	denni	Denny
s	s	s
,	,	,
has	has	ha
lived	live	lived
up	up	up
to	to	to
that	that	that
title	titl	title
if	if	if
you	you	you
are	are	are
looking	look	looking
at	at	at
it	it	it
in	in	in
the	the	the
context	context	context
of	of	of
how	how	how
much	much	much
racism	racism	racism
exists	exist	exists
in	in	in
the	the	the
nation	nation	nation
.	.	.

Henry	henri	Henry
Williams	william	Williams
and	and	and
Renee	rene	Renee
Hebert	hebert	Hebert
settled	settl	settled
in	in	in
a	a	a
lawsuit	lawsuit	lawsuit
against	against	against
the	the	the
company	compani	company
,	,	,
that	that	that
stemmed	stem	stemmed
from	from	from
an	an	an
incident	incid	incident
in	in	in
2014	2014	2014
when	when	when
an	an	an
L	l	L
.	.	.
A	a	A
.	.	.
Denny	denni	Denny
s	s	s
forced	forc	forced
them	them	them
to	to	to
prepay	prepay	prepay
for	for	for
their	their	their
meal	meal	meal
because	becaus	because
they	they	they
were	were	were
ordering	order	ordering
food	food	food
while	while	while
black	black	black
.	.	.
Williams	william	Williams
was	was	wa
told	told	told
by	by	by
employees	employe	employee
that	that	that
he	he	he
would	would	would
have	have	have
to	to	to
hand	hand	hand
over	over	over
the	the	the
cash	cash	cash
in	in	in
full	full	full
to	to	to
cover	cover	cover
the	the	the
meal	meal	meal
before	befor	before
his	his	his
group	group	group
would	would	would
be	be	be
served	serv	served
.	.	.

Clearly	clear	Clearly
,	,	,
a	a	a
group	group	group
of	of	of
black	black	black
individuals	individu	individual
going	go	going
to	to	to
a	a	a
restaurant	restaur	restaurant
is	is	is
suspicious	suspici	suspicious
enough	enough	enough
to	to	to
assume	assum	assume
a	a	a
conspiracy	conspiraci	conspiracy
to	to	to
do	do	do
the	the	the
dine	dine	dine
and	and	and
dash	dash	dash
is	is	is
in	in	in
the	the	the
works	work	work
.	.	.

Surprisingly	surpris	Surprisingly
,	,	,
Williams	william	Williams
decided	decid	decided
to	to	to
actually	actual	actually
hand	hand	hand
over	over	over
the	the	the
money	money	money
rather	rather	rather
than	than	than
take	take	take
his	his	his
business	busi	business
elsewhere	elsewher	elsewhere
.	.	.

Maybe	mayb	Maybe
he	he	he
really	realli	really
likes	like	like
the	the	the
Moons	moon	Moons
Over	over	Over
My	my	My
Hammy	hammi	Hammy
meal	meal	meal
.	.	.
The	the	The
ridiculousness	ridicul	ridiculousness
of	of	of
this	this	this
was	was	wa
so	so	so
bad	bad	bad
,	,	,
that	that	that
even	even	even
the	the	the
Denny	denni	Denny
s	s	s
manager	manag	manager
eventually	eventu	eventually
realized	realiz	realized
how	how	how
bad	bad	bad
his	his	his
people	peopl	people
screwed	screw	screwed
up	up	up
and	and	and
tried	tri	tried
to	to	to
return	return	return
the	the	the
money	money	money
.	.	.

The	the	The
manager	manag	manager
was	was	wa
so	so	so
desperate	desper	desperate
to	to	to
give	give	give
the	the	the
money	money	money
back	back	back
that	that	that
Williams	william	Williams
actually	actual	actually
had	had	had
to	to	to
tell	tell	tell
him	him	him
to	to	to
stop	stop	stop
repeatedly	repeat	repeatedly
coming	come	coming
over	over	over
to	to	to
their	their	their
table	tabl	table
to	to	to
grovel	grovel	grovel
and	and	and
hand	hand	hand
over	over	over
the	the	the
cash	cash	cash
because	becaus	because
he	he	he
was	was	wa
being	be	being
a	a	a
nuisance	nuisanc	nuisance
.	.	.

The	the	The
manager	manag	manager
kicked	kick	kicked
it	it	it
up	up	up
a	a	a
notch	notch	notch
by	by	by
offering	offer	offering
free	free	free
dessert	dessert	dessert
,	,	,
to	to	to
which	which	which
Williams	william	Williams
said	said	said
he	he	he
wanted	want	wanted
to	to	to
box	box	box
his	his	his
food	food	food
and	and	and
leave	leav	leave
.	.	.
Williams	william	Williams
and	and	and
Hebert	hebert	Hebert
said	said	said
that	that	that
nobody	nobodi	nobody
else	els	else
was	was	wa
asked	ask	asked
to	to	to
pre	pre	pre
-pay	-pay	-pay
for	for	for
their	their	their
meal	meal	meal
.	.	.

In	in	In
court	court	court
,	,	,
a	a	a
customer	custom	customer
that	that	that
was	was	wa
seated	seat	seated
nearby	nearbi	nearby
at	at	at
the	the	the
time	time	time
testified	testifi	testified
that	that	that
Williams	william	Williams
and	and	and
Hebert	hebert	Hebert
handled	handl	handled
the	the	the
situation	situat	situation
well	well	well
They	they	They
were	were	were
black	black	black
.	.	.

I	i	I
m	m	m
white	white	white
.	.	.

I	i	I
ve	ve	ve
never	never	never
been	been	been
asked	ask	asked
to	to	to
prepay	prepay	prepay
.	.	.

I	i	I
thought	thought	thought
it	it	it
was	was	wa
appalling	appal	appalling
for	for	for
someone	someon	someone
in	in	in
that	that	that
year	year	year
and	and	and
time	time	time
to	to	to
be	be	be
discriminated	discrimin	discriminated
against	against	against
like	like	like
that	that	that
.	.	.

Denny	denni	Denny
s	s	s
tried	tri	tried
to	to	to
argue	argu	argue
against	against	against
the	the	the
lawsuit	lawsuit	lawsuit
because	becaus	because
the	the	the
customers	custom	customer
order	order	order
was	was	wa
a	a	a
large	larg	large
one	one	one
,	,	,
and	and	and
the	the	the
location	locat	location
had	had	had
other	other	other
problems	problem	problem
with	with	with
people	peopl	people
walking	walk	walking
out	out	out
on	on	on
checks	check	check
before	befor	before
.	.	.

It	it	It
got	got	got
pretty	pretti	pretty
damning	damn	damning
,	,	,
though	though	though
,	,	,
when	when	when
the	the	the
other	other	other
customer	custom	customer
