Token	Stem	Lemma
Will	will	Will
the	the	the
Muslim	muslim	Muslim
community	communiti	community
still	still	still
embrace	embrac	embrace
the	the	the
first	first	first
Muslim	muslim	Muslim
Miss	miss	Miss
U	u	U
S	s	S
A	a	A
following	follow	following
her	her	her
recent	recent	recent
conversion	convers	conversion
Rima	rima	Rima
Fakih	fakih	Fakih
is	is	is
believed	believ	believed
to	to	to
be	be	be
the	the	the
first	first	first
Muslim	muslim	Muslim
to	to	to
win	win	win
the	the	the
title	titl	title
of	of	of
Miss	miss	Miss
USA	usa	USA
when	when	when
she	she	she
was	was	wa
crowned	crown	crowned
the	the	the
winner	winner	winner
in	in	in
2010	2010	2010
Now	now	Now
the	the	the
beauty	beauti	beauty
pageant	pageant	pageant
winner	winner	winner
has	has	ha
converted	convert	converted
to	to	to
Christianity	christian	Christianity
recently	recent	recently
sharing	share	sharing
a	a	a
verse	vers	verse
from	from	from
Philippians	philippian	Philippians
on	on	on
Twitter	twitter	Twitter
Philippians	philippian	Philippians
4	4	4
13	13	13
I	i	I
can	can	can
do	do	do
all	all	all
things	thing	thing
through	through	through
him	him	him
who	who	who
strengthens	strengthen	strengthens
me	me	me
pic.twitter.com/RSTZ9IJD3Z	pic.twitter.com/rstz9ijd3z	pic.twitter.com/RSTZ9IJD3Z
Rima	rima	Rima
Fakih	fakih	Fakih
@RimaFakih	@rimafakih	@RimaFakih
March	march	March
30	30	30
2016Fakih	2016fakih	2016Fakih
converted	convert	converted
to	to	to
Christianity	christian	Christianity
last	last	last
month	month	month
in	in	in
preparation	prepar	preparation
for	for	for
her	her	her
marriage	marriag	marriage
in	in	in
Lebanon	lebanon	Lebanon
next	next	next
week	week	week
to	to	to
Wassim	wassim	Wassim
Salibi	salibi	Salibi
a	a	a
wealthy	wealthi	wealthy
Christian	christian	Christian
music	music	music
producer	produc	producer
Christian	christian	Christian
Today	today	Today
reports	report	report
At	at	At
the	the	the
time	time	time
of	of	of
winning	win	winning
the	the	the
Miss	miss	Miss
USA	usa	USA
title	titl	title
Fakih	fakih	Fakih
said	said	said
I	i	I
d	d	d
like	like	like
to	to	to
say	say	say
I	i	I
m	m	m
American	american	American
first	first	first
and	and	and
I	i	I
am	am	am
an	an	an
Arab	arab	Arab
-American	-american	-American
I	i	I
am	am	am
Lebanese	lebanes	Lebanese
-American	-american	-American
and	and	and
I	i	I
am	am	am
Muslim	muslim	Muslim
-American	-american	-American
According	accord	According
to	to	to
the	the	the
news	news	news
site	site	site
Albawaba	albawaba	Albawaba
Fakih	fakih	Fakih
only	onli	only
connected	connect	connected
to	to	to
her	her	her
Muslim	muslim	Muslim
roots	root	root
in	in	in
college	colleg	college
When	when	When
I	i	I
went	went	went
to	to	to
the	the	the
University	univers	University
of	of	of
Michigan	michigan	Michigan
because	becaus	because
there	there	there
s	s	s
more	more	more
of	of	of
a	a	a
Muslim	muslim	Muslim
community	communiti	community
my	my	my
dad	dad	dad
wanted	want	wanted
me	me	me
to	to	to
learn	learn	learn
more	more	more
about	about	about
Islam	islam	Islam
she	she	she
said	said	said
I	i	I
didn	didn	didn
t	t	t
know	know	know
much	much	much
about	about	about
Ramadan	ramadan	Ramadan
and	and	and
other	other	other
holidays	holiday	holiday
and	and	and
my	my	my
dad	dad	dad
wanted	want	wanted
me	me	me
to	to	to
take	take	take
that	that	that
opportunity	opportun	opportunity
and	and	and
learn	learn	learn
After	after	After
winning	win	winning
Miss	miss	Miss
America	america	America
Fakih	fakih	Fakih
was	was	wa
involved	involv	involved
in	in	in
some	some	some
controversy	controversi	controversy
when	when	when
photos	photo	photo
surfaced	surfac	surfaced
of	of	of
her	her	her
participating	particip	participating
in	in	in
a	a	a
radio	radio	radio
station	station	station
s	s	s
Stripper	stripper	Stripper
101	101	101
contest	contest	contest
She	she	She
was	was	wa
also	also	also
convicted	convict	convicted
of	of	of
drunk	drunk	drunk
driving	drive	driving
in	in	in
2012	2012	2012
Even	even	Even
so	so	so
the	the	the
Muslim	muslim	Muslim
community	communiti	community
still	still	still
supported	support	supported
her	her	her
But	but	But
will	will	will
they	they	they
support	support	support
her	her	her
now	now	now
considering	consid	considering
her	her	her
recent	recent	recent
conversion	convers	conversion
to	to	to
Christianity	christian	Christianity
Via	via	Via
Fox	fox	Fox
News	news	News
