Coming	come	Coming
off	off	off
from	from	from
her	her	her
latest	latest	latest
record	record	record
-breaking	-break	-breaking
album	album	album
and	and	and
a	a	a
performance	perform	performance
at	at	at
the	the	the
GRAMMYs	grammi	GRAMMYs
,	,	,
singer	singer	singer
songwriter	songwrit	songwriter
extraordinaire	extraordinair	extraordinaire
Adele	adel	Adele
decided	decid	decided
to	to	to
take	take	take
some	some	some
downtime	downtim	downtime
and	and	and
enjoy	enjoy	enjoy
Disneyland	disneyland	Disneyland
with	with	with
her	her	her
partner	partner	partner
Simon	simon	Simon
Konecki	konecki	Konecki
and	and	and
son	son	son
Angelo	angelo	Angelo
.	.	.
Her	her	Her
security	secur	security
detail	detail	detail
must	must	must
have	have	have
been	been	been
fierce	fierc	fierce
,	,	,
and	and	and
day	day	day
guided	guid	guided
by	by	by
Disney	disney	Disney
s	s	s
wonderful	wonder	wonderful
cast	cast	cast
members	member	member
,	,	,
but	but	but
as	as	a
you	you	you
can	can	can
see	see	see
in	in	in
the	the	the
picture	pictur	picture
below	below	below
,	,	,
she	she	she
and	and	and
her	her	her
little	littl	little
family	famili	family
seemed	seem	seemed
to	to	to
have	have	have
the	the	the
time	time	time
of	of	of
their	their	their
lives	live	life
strolling	stroll	strolling
through	through	through
the	the	the
park	park	park
and	and	and
clearly	clear	clearly
buying	buy	buying
up	up	up
a	a	a
lot	lot	lot
of	of	of
the	the	the
merchandise	merchandis	merchandise
.	.	.
Something	someth	Something
else	els	else
was	was	wa
noticed	notic	noticed
in	in	in
the	the	the
photos	photo	photo
,	,	,
too	too	too
.	.	.
Adele	adel	Adele
s	s	s
son	son	son
appears	appear	appears
to	to	to
be	be	be
enjoying	enjoy	enjoying
his	his	his
fun	fun	fun
-filled	-fill	-filled
day	day	day
at	at	at
the	the	the
park	park	park
dressed	dress	dressed
as	as	a
Anna	anna	Anna
from	from	from
Disney	disney	Disney
s	s	s
mega	mega	mega
-hit	-hit	-hit
Frozen	frozen	Frozen
,	,	,
complete	complet	complete
with	with	with
dress	dress	dress
and	and	and
ballet	ballet	ballet
flats	flat	flat
.	.	.
It	it	It
seems	seem	seems
as	as	a
if	if	if
the	the	the
singer	singer	singer
is	is	is
allowing	allow	allowing
her	her	her
son	son	son
to	to	to
completely	complet	completely
be	be	be
himself	himself	himself
and	and	and
choose	choos	choose
what	what	what
he	he	he
wants	want	want
to	to	to
like	like	like
and	and	and
enjoy	enjoy	enjoy
.	.	.
1	1	1
.	.	.
Adele	adel	Adele
let	let	let
her	her	her
son	son	son
dress	dress	dress
up	up	up
as	as	a
Anna	anna	Anna
from	from	from
Frozen	frozen	Frozen
.	.	.
Amazing	amaz	Amazing
.	.	.
2	2	2
.	.	.
Peter	peter	Peter
is	is	is
smiling	smile	smiling
cuz	cuz	cuz
Disneyland	disneyland	Disneyland
pic.twitter.com/NwWb4BSN8C	pic.twitter.com/nwwb4bsn8c	pic.twitter.com/NwWb4BSN8C
Marc	marc	Marc
@MarcMonster	@marcmonst	@MarcMonster
February	februari	February
16	16	16
,	,	,
2016This	2016this	2016This
,	,	,
of	of	of
course	cours	course
,	,	,
isn	isn	isn
t	t	t
the	the	the
first	first	first
time	time	time
the	the	the
superstar	superstar	superstar
made	made	made
it	it	it
known	known	known
that	that	that
she	she	she
s	s	s
supportive	support	supportive
of	of	of
her	her	her
son	son	son
no	no	no
matter	matter	matter
what	what	what
.	.	.
Back	back	Back
in	in	in
2012	2012	2012
she	she	she
told	told	told
TIME	time	TIME
magazine	magazin	magazine
that	that	that
she	she	she
ll	ll	ll
always	alway	always
accept	accept	accept
him	him	him
.	.	.
He	he	He
makes	make	make
me	me	me
so	so	so
proud	proud	proud
of	of	of
myself	myself	myself
,	,	,
and	and	and
he	he	he
makes	make	make
me	me	me
like	like	like
myself	myself	myself
so	so	so
much	much	much
.	.	.
I	i	I
ve	ve	ve
never	never	never
not	not	not
liked	like	liked
myself	myself	myself
.	.	.
I	i	I
don	don	don
t	t	t
have	have	have
hangups	hangup	hangups
like	like	like
that	that	that
.	.	.
But	but	But
I	i	I
m	m	m
so	so	so
proud	proud	proud
of	of	of
myself	myself	myself
that	that	that
I	i	I
made	made	made
him	him	him
in	in	in
my	my	my
belly	belli	belly
I	i	I
can	can	can
t	t	t
wait	wait	wait
to	to	to
know	know	know
who	who	who
his	his	his
best	best	best
friends	friend	friend
are	are	are
going	go	going
to	to	to
be	be	be
,	,	,
who	who	who
his	his	his
girlfriend	girlfriend	girlfriend
or	or	or
his	his	his
boyfriend	boyfriend	boyfriend
is	is	is
going	go	going
to	to	to
be	be	be
or	or	or
what	what	what
movies	movi	movie
he	he	he
likes	like	like
