Seriously	serious	Seriously
,	,	,
this	this	this
actually	actual	actually
just	just	just
happened	happen	happened
.	.	.
Prior	prior	Prior
to	to	to
a	a	a
round	round	round
table	tabl	table
ass	ass	as
-kissing	-kiss	-kissing
contest	contest	contest
,	,	,
Donald	donald	Donald
Trump	trump	Trump
told	told	told
a	a	a
room	room	room
full	full	full
of	of	of
reporters	report	reporter
and	and	and
his	his	his
Cabinet	cabinet	Cabinet
members	member	member
that	that	that
he	he	he
has	has	ha
passed	pass	passed
more	more	more
legislation	legisl	legislation
than	than	than
any	ani	any
other	other	other
president	presid	president
except	except	except
Franklin	franklin	Franklin
D	d	D
.	.	.
Roosevelt	roosevelt	Roosevelt
.	.	.
I	i	I
will	will	will
say	say	say
that	that	that
never	never	never
has	has	ha
there	there	there
been	been	been
a	a	a
president	presid	president
with	with	with
few	few	few
exceptions	except	exception
,	,	,
in	in	in
the	the	the
case	case	case
of	of	of
FDR	fdr	FDR
he	he	he
had	had	had
a	a	a
major	major	major
Depression	depress	Depression
to	to	to
handle	handl	handle
who	who	who
s	s	s
passed	pass	passed
more	more	more
legislation	legisl	legislation
,	,	,
who	who	who
s	s	s
done	done	done
more	more	more
things	thing	thing
than	than	than
what	what	what
we	we	we
ve	ve	ve
done	done	done
,	,	,
Trump	trump	Trump
bragged	brag	bragged
.	.	.
We	we	We
ve	ve	ve
achieved	achiev	achieved
tremendous	tremend	tremendous
success	success	success
.	.	.
I	i	I
think	think	think
we	we	we
ve	ve	ve
been	been	been
about	about	about
as	as	a
active	activ	active
as	as	a
you	you	you
can	can	can
possibly	possibl	possibly
be	be	be
at	at	at
a	a	a
just	just	just
about	about	about
record	record	record
-setting	-set	-setting
pace	pace	pace
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
POLITICO	politico	POLITICO
Unfortunately	unfortun	Unfortunately
for	for	for
Trump	trump	Trump
,	,	,
most	most	most
of	of	of
what	what	what
he	he	he
has	has	ha
signed	sign	signed
is	is	is
insignificant	insignific	insignificant
stuff	stuff	stuff
that	that	that
Republicans	republican	Republicans
have	have	have
been	been	been
easily	easili	easily
able	abl	able
to	to	to
get	get	get
passed	pass	passed
to	to	to
make	make	make
it	it	it
seem	seem	seem
like	like	like
Trump	trump	Trump
is	is	is
getting	get	getting
things	thing	thing
done	done	done
.	.	.
In	in	In
reality	realiti	reality
,	,	,
he	he	he
s	s	s
not	not	not
.	.	.
As	as	As
POLITICO	politico	POLITICO
points	point	point
out	out	out
,	,	,
Many	mani	Many
of	of	of
the	the	the
bills	bill	bill
Trump	trump	Trump
has	has	ha
signed	sign	signed
,	,	,
such	such	such
as	as	a
designating	design	designating
buildings	build	building
and	and	and
appointing	appoint	appointing
board	board	board
members	member	member
to	to	to
the	the	the
Smithsonian	smithsonian	Smithsonian
,	,	,
do	do	do
not	not	not
have	have	have
a	a	a
major	major	major
,	,	,
direct	direct	direct
impact	impact	impact
on	on	on
Americans	american	Americans
,	,	,
and	and	and
Trump	trump	Trump
s	s	s
ambitious	ambiti	ambitious
legislative	legisl	legislative
agenda	agenda	agenda
on	on	on
tax	tax	tax
reform	reform	reform
and	and	and
infrastructure	infrastructur	infrastructure
is	is	is
largely	larg	largely
stalled	stall	stalled
.	.	.
NBC	nbc	NBC
News	news	News
further	further	further
points	point	point
out	out	out
that	that	that
one	one	one
