After	after	After
former	former	former
reality	realiti	reality
show	show	show
star	star	star
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
caught	caught	caught
on	on	on
video	video	video
speaking	speak	speaking
casually	casual	casually
about	about	about
sexually	sexual	sexually
assaulting	assault	assaulting
women	women	woman
,	,	,
it	it	it
s	s	s
clear	clear	clear
that	that	that
his	his	his
supporters	support	supporter
take	take	take
no	no	no
issue	issu	issue
with	with	with
that	that	that
.	.	.
Sexual	sexual	Sexual
assault	assault	assault
is	is	is
a	a	a
soul	soul	soul
-crushing	-crush	-crushing
experience	experi	experience
but	but	but
to	to	to
them	them	them
,	,	,
the	the	the
victim	victim	victim
just	just	just
needs	need	need
to	to	to
get	get	get
over	over	over
it	it	it
.	.	.
We	we	We
ve	ve	ve
heard	heard	heard
Trump	trump	Trump
s	s	s
defenders	defend	defender
refer	refer	refer
to	to	to
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
s	s	s
predatory	predatori	predatory
grab	grab	grab
them	them	them
by	by	by
the	the	the
pussy	pussi	pussy
comments	comment	comment
in	in	in
1995	1995	1995
as	as	a
simply	simpli	simply
locker	locker	locker
room	room	room
talk	talk	talk
.	.	.
Maybe	mayb	Maybe
they	they	they
re	re	re
speaking	speak	speaking
of	of	of
the	the	the
locker	locker	locker
rooms	room	room
at	at	at
Rikers	riker	Rikers
Island	island	Island
,	,	,
who	who	who
knows	know	know
.	.	.
It	it	It
s	s	s
not	not	not
just	just	just
Trump	trump	Trump
s	s	s
angry	angri	angry
white	white	white
male	male	male
supporters	support	supporter
,	,	,
but	but	but
women	women	woman
,	,	,
too	too	too
.	.	.
In	in	In
light	light	light
of	of	of
recent	recent	recent
allegations	alleg	allegation
by	by	by
up	up	up
to	to	to
12	12	12
women	women	woman
who	who	who
say	say	say
Trump	trump	Trump
sexually	sexual	sexually
assaulted	assault	assaulted
or	or	or
harassed	harass	harassed
them	them	them
,	,	,
CNN	cnn	CNN
s	s	s
Randi	randi	Randi
Kaye	kay	Kaye
spoke	spoke	spoke
to	to	to
Donald	donald	Donald
s	s	s
supporters	support	supporter
at	at	at
a	a	a
rally	ralli	rally
in	in	in
Eau	eau	Eau
Claire	clair	Claire
,	,	,
Wisconsin	wisconsin	Wisconsin
on	on	on
Tuesday	tuesday	Tuesday
to	to	to
get	get	get
their	their	their
take	take	take
on	on	on
it	it	it
.	.	.
Donald	donald	Donald
Trump	trump	Trump
really	realli	really
has	has	ha
the	the	the
character	charact	character
of	of	of
God	god	God
a	a	a
loving	love	loving
,	,	,
caring	care	caring
father	father	father
,	,	,
one	one	one
woman	woman	woman
told	told	told
Kaye	kay	Kaye
.	.	.
Donald	donald	Donald
Trump	trump	Trump
is	is	is
a	a	a
man	man	man
God	god	God
chose	chose	chose
for	for	for
a	a	a
