Liz	liz	Liz
Harrington	harrington	Harrington
,	,	,
a	a	a
writer	writer	writer
for	for	for
the	the	the
Washington	washington	Washington
Free	free	Free
Beacon	beacon	Beacon
appeared	appear	appeared
on	on	on
the	the	the
Tucker	tucker	Tucker
Carlson	carlson	Carlson
Show	show	Show
to	to	to
discuss	discuss	discus
the	the	the
real	real	real
cost	cost	cost
of	of	of
sex	sex	sex
reassignment	reassign	reassignment
surgery	surgeri	surgery
for	for	for
transgenders	transgend	transgenders
in	in	in
the	the	the
military	militari	military
.	.	.
Harrington	harrington	Harrington
debunked	debunk	debunked
the	the	the
fake	fake	fake
numbers	number	number
the	the	the
media	media	medium
s	s	s
been	been	been
peddling	peddl	peddling
to	to	to
the	the	the
American	american	American
public	public	public
about	about	about
the	the	the
cost	cost	cost
of	of	of
the	the	the
sex	sex	sex
assignment	assign	assignment
surgeries	surgeri	surgery
,	,	,
in	in	in
an	an	an
effort	effort	effort
to	to	to
discredit	discredit	discredit
President	presid	President
Trump	trump	Trump
s	s	s
decision	decis	decision
to	to	to
ban	ban	ban
transgenders	transgend	transgenders
serving	serv	serving
in	in	in
the	the	the
military	militari	military
.	.	.
It	it	It
turns	turn	turn
out	out	out
the	the	the
media	media	medium
hasn	hasn	hasn
t	t	t
been	been	been
exactly	exact	exactly
honest	honest	honest
about	about	about
actual	actual	actual
cost	cost	cost
of	of	of
allowing	allow	allowing
transgenders	transgend	transgenders
to	to	to
serve	serv	serve
in	in	in
our	our	our
military	militari	military
.	.	.
The	the	The
media	media	medium
s	s	s
been	been	been
saying	say	saying
the	the	the
costs	cost	cost
are	are	are
only	onli	only
a	a	a
few	few	few
million	million	million
per	per	per
year	year	year
,	,	,
but	but	but
according	accord	according
to	to	to
Harrington	harrington	Harrington
,	,	,
the	the	the
actual	actual	actual
estimated	estim	estimated
cost	cost	cost
is	is	is
more	more	more
like	like	like
1	1	1
.	.	.
3	3	3
billion	billion	billion
to	to	to
taxpayers	taxpay	taxpayer
over	over	over
a	a	a
10	10	10
year	year	year
period	period	period
.	.	.
Additionally	addit	Additionally
,	,	,
the	the	the
military	militari	military
members	member	member
who	who	who
have	have	have
these	these	these
surgeries	surgeri	surgery
take	take	take
an	an	an
estimated	estim	estimated
238	238	238
days	day	day
off	off	off
to	to	to
recover	recov	recover
.	.	.
As	as	As
a	a	a
side	side	side
note	note	note
,	,	,
the	the	the
1	1	1
.	.	.
3	3	3
billion	billion	billion
cost	cost	cost
to	to	to
taxpayers	taxpay	taxpayer
doesn	doesn	doesn
t	t	t
even	even	even
include	includ	include
the	the	the
very	veri	very
costly	cost	costly
hormone	hormon	hormone
treatments	treatment	treatment
that	that	that
transgenders	transgend	transgenders
in	in	in
the	the	the
military	militari	military
will	will	will
need	need	need
following	follow	following
the	the	the
costly	cost	costly
surgeries	surgeri	surgery
.	.	.
The	the	The
Washington	washington	Washington
Post	post	Post
has	has	ha
done	done	done
their	their	their
part	part	part
to	to	to
mislead	mislead	mislead
the	the	the
American	american	American
public	public	public
about	about	about
the	the	the
cost	cost	cost
of	of	of
transgenders	transgend	transgenders
serving	serv	serving
in	in	in
our	our	our
military	militari	military
.	.	.
They	they	They
re	re	re
not	not	not
interested	interest	interested
in	in	in
taking	take	taking
an	an	an
honest	honest	honest
look	look	look
at	at	at
the	the	the
costs	cost	cost
to	to	to
the	the	the
American	american	American
taxpayer	taxpay	taxpayer
.	.	.
For	for	For
the	the	the
