Donald	donald	Donald
Trump	trump	Trump
s	s	s
new	new	new
campaign	campaign	campaign
manager	manag	manager
is	is	is
just	just	just
a	a	a
few	few	few
days	day	day
into	into	into
her	her	her
role	role	role
,	,	,
but	but	but
already	alreadi	already
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
is	is	is
having	have	having
difficulty	difficulti	difficulty
defending	defend	defending
her	her	her
presidential	presidenti	presidential
candidate	candid	candidate
and	and	and
is	is	is
basically	basic	basically
showing	show	showing
us	us	u
that	that	that
she	she	she
is	is	is
just	just	just
as	as	a
much	much	much
of	of	of
a	a	a
flip	flip	flip
-flopper	-flopper	-flopper
as	as	a
Trump	trump	Trump
.	.	.
Trump	trump	Trump
s	s	s
refusal	refus	refusal
to	to	to
release	releas	release
his	his	his
tax	tax	tax
returns	return	return
has	has	ha
become	becom	become
a	a	a
massive	massiv	massive
talking	talk	talking
point	point	point
against	against	against
him	him	him
at	at	at
this	this	this
point	point	point
of	of	of
the	the	the
election	elect	election
,	,	,
with	with	with
people	peopl	people
from	from	from
both	both	both
parties	parti	party
asking	ask	asking
him	him	him
to	to	to
be	be	be
transparent	transpar	transparent
.	.	.
On	on	On
Sunday	sunday	Sunday
night	night	night
,	,	,
Conway	conway	Conway
went	went	went
on	on	on
CNN	cnn	CNN
to	to	to
tell	tell	tell
Americans	american	Americans
that	that	that
Trump	trump	Trump
would	would	would
be	be	be
releasing	releas	releasing
his	his	his
tax	tax	tax
returns	return	return
after	after	after
they	they	they
were	were	were
done	done	done
being	be	being
audited	audit	audited
.	.	.
But	but	But
just	just	just
seconds	second	second
later	later	later
,	,	,
Conway	conway	Conway
seemed	seem	seemed
to	to	to
contradict	contradict	contradict
that	that	that
statement	statement	statement
and	and	and
say	say	say
that	that	that
the	the	the
campaign	campaign	campaign
had	had	had
no	no	no
plans	plan	plan
to	to	to
release	releas	release
tax	tax	tax
returns	return	return
that	that	that
were	were	were
not	not	not
being	be	being
audited	audit	audited
.	.	.
CNN	cnn	CNN
host	host	host
