Sometimes	sometim	Sometimes
you	you	you
just	just	just
need	need	need
to	to	to
let	let	let
people	peopl	people
talk	talk	talk
and	and	and
they	they	they
ll	ll	ll
eventually	eventu	eventually
say	say	say
what	what	what
you	you	you
have	have	have
been	been	been
saying	say	saying
the	the	the
whole	whole	whole
time	time	time
.	.	.
Albeit	albeit	Albeit
,	,	,
it	it	it
may	may	may
be	be	be
accidental	accident	accidental
.	.	.
And	and	And
in	in	in
this	this	this
case	case	case
,	,	,
liberals	liber	liberal
should	should	should
take	take	take
what	what	what
they	they	they
can	can	can
get	get	get
when	when	when
it	it	it
comes	come	come
to	to	to
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
R	r	R
-WI	-wi	-WI
giving	give	giving
a	a	a
the	the	the
perfect	perfect	perfect
argument	argument	argument
for	for	for
Medicare	medicar	Medicare
for	for	for
all	all	all
.	.	.
They	they	They
should	should	should
also	also	also
not	not	not
let	let	let
him	him	him
forget	forget	forget
it	it	it
.	.	.
While	while	While
trying	tri	trying
to	to	to
make	make	make
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
look	look	look
bad	bad	bad
,	,	,
Ryan	ryan	Ryan
accidentally	accident	accidentally
made	made	made
the	the	the
perfect	perfect	perfect
argument	argument	argument
for	for	for
Medicare	medicar	Medicare
for	for	for
all	all	all
.	.	.
Ryan	ryan	Ryan
tweeted	tweet	tweeted
out	out	out
With	with	With
another	anoth	another
insurer	insur	insurer
leaving	leav	leaving
the	the	the
Iowa	iowa	Iowa
insurance	insur	insurance
market	market	market
,	,	,
more	more	more
Americans	american	Americans
will	will	will
be	be	be
left	left	left
without	without	without
a	a	a
choice	choic	choice
when	when	when
it	it	it
comes	come	come
to	to	to
their	their	their
health	health	health
care	care	care
.	.	.
With	with	With
another	anoth	another
insurer	insur	insurer
leaving	leav	leaving
the	the	the
Iowa	iowa	Iowa
insurance	insur	insurance
market	market	market
,	,	,
more	more	more
Americans	american	Americans
will	will	will
be	be	be
left	left	left
without	without	without
a	a	a
choice	choic	choice
when	when	when
it	it	it
comes	come	come
to	to	to
their	their	their
health	health	health
care	care	care
.	.	.
https://t.co/4agdcFoqLz	https://t.co/4agdcfoqlz	https://t.co/4agdcFoqLz
Paul	paul	Paul
Ryan	ryan	Ryan
@SpeakerRyan	@speakerryan	@SpeakerRyan
April	april	April
8	8	8
,	,	,
2017Then	2017then	2017Then
follows	follow	follows
it	it	it
up	up	up
with	with	with
this	this	this
Five	five	Five
Iowa	iowa	Iowa
counties	counti	county
will	will	will
now	now	now
be	be	be
left	left	left
with	with	with
just	just	just
two	two	two
health	health	health
insurers	insur	insurer
,	,	,
while	while	while
the	the	the
rest	rest	rest
will	will	will
only	onli	only
have	have	have
one	one	one
option	option	option
.	.	.
This	this	This
is	is	is
unacceptable	unaccept	unacceptable
.	.	.
Five	five	Five
Iowa	iowa	Iowa
counties	counti	county
will	will	will
now	now	now
be	be	be
left	left	left
with	with	with
just	just	just
two	two	two
health	health	health
insurers	insur	insurer
,	,	,
while	while	while
the	the	the
