FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
met	met	met
with	with	with
the	the	the
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
on	on	on
Thursday	thursday	Thursday
to	to	to
discuss	discuss	discus
Donald	donald	Donald
Trump	trump	Trump
s	s	s
claim	claim	claim
that	that	that
former	former	former
President	presid	President
Obama	obama	Obama
had	had	had
his	his	his
wires	wire	wire
tapped	tap	tapped
at	at	at
Trump	trump	Trump
Tower	tower	Tower
during	dure	during
the	the	the
election	elect	election
.	.	.

A	a	A
day	day	day
later	later	later
,	,	,
the	the	the
top	top	top
Democrat	democrat	Democrat
on	on	on
the	the	the
intelligence	intellig	intelligence
committee	committe	committee
said	said	said
that	that	that
he	he	he
hasn	hasn	hasn
t	t	t
seen	seen	seen
one	one	one
shred	shred	shred
of	of	of
evidence	evid	evidence
to	to	to
back	back	back
up	up	up
Trump	trump	Trump
s	s	s
bogus	bogus	bogus
claim	claim	claim
.	.	.
Rep	rep	Rep
.	.	.

Adam	adam	Adam
Schiff	schiff	Schiff
is	is	is
a	a	a
member	member	member
of	of	of
what	what	what
is	is	is
known	known	known
as	as	a
the	the	the
Gang	gang	Gang
of	of	of
Eight	eight	Eight
,	,	,
which	which	which
is	is	is
the	the	the
group	group	group
of	of	of
House	hous	House
members	member	member
who	who	who
are	are	are
privy	privi	privy
to	to	to
the	the	the
most	most	most
classified	classifi	classified
information	inform	information
out	out	out
there	there	there
.	.	.

Schiff	schiff	Schiff
said	said	said
that	that	that
Thursday	thursday	Thursday
s	s	s
meeting	meet	meeting
with	with	with
Comey	comey	Comey
didn	didn	didn
t	t	t
provide	provid	provide
the	the	the
committee	committe	committee
with	with	with
any	ani	any
evidence	evid	evidence
whatsoever	whatsoev	whatsoever
that	that	that
Trump	trump	Trump
s	s	s
phones	phone	phone
had	had	had
been	been	been
tapped	tap	tapped
by	by	by
Obama	obama	Obama
or	or	or
anyone	anyon	anyone
else	els	else
.	.	.

I	i	I
think	think	think
when	when	when
Sean	sean	Sean
Spicer	spicer	Spicer
isn	isn	isn
t	t	t
even	even	even
willing	will	willing
to	to	to
talk	talk	talk
about	about	about
it	it	it
,	,	,
you	you	you
know	know	know
there	there	there
s	s	s
a	a	a
real	real	real
problem	problem	problem
,	,	,
Schiff	schiff	Schiff
told	told	told
CNN	cnn	CNN
.	.	.
Rep	rep	Rep
.	.	.

Devin	devin	Devin
Nunes	nune	Nunes
,	,	,
who	who	who
is	is	is
the	the	the
Republican	republican	Republican
heading	head	heading
up	up	up
the	the	the
intelligence	intellig	intelligence
committee	committe	committee
,	,	,
said	said	said
earlier	earlier	earlier
this	this	this
week	week	week
that	that	that
he	he	he
hadn	hadn	hadn
t	t	t
seen	seen	seen
any	ani	any
evidence	evid	evidence
to	to	to
support	support	support
Trump	trump	Trump
s	s	s
wiretapping	wiretap	wiretapping
claims	claim	claim
either	either	either
.	.	.

After	after	After
meeting	meet	meeting
with	with	with
Comey	comey	Comey
,	,	,
he	he	he
said	said	said
that	that	that
nothing	noth	nothing
had	had	had
changed	chang	changed
.	.	.
Comey	comey	Comey
has	has	ha
said	said	said
previously	previous	previously
that	that	that
Trump	trump	Trump
is	is	is
full	full	full
of	of	of
it	it	it
when	when	when
it	it	it
comes	come	come
to	to	to
the	the	the
allegations	alleg	allegation
of	of	of
his	his	his
phones	phone	phone
being	be	being
tapped	tap	tapped
.	.	.

Schiff	schiff	Schiff
thinks	think	think
Comey	comey	Comey
will	will	will
answer	answer	answer
questions	question	question
regarding	regard	regarding
this	this	this
fiasco	fiasco	fiasco
during	dure	during
a	a	a
committee	committe	committee
hearing	hear	hearing
scheduled	schedul	scheduled
for	for	for
later	later	later
this	this	this
month	month	month
.	.	.

He	he	He
certainly	certain	certainly
is	is	is
prepared	prepar	prepared
for	for	for
the	the	the
question	question	question
,	,	,
Schiff	schiff	Schiff
told	told	told
CNN	cnn	CNN
.	.	.

I	i	I
don	don	don
t	t	t
see	see	see
any	ani	any
reason	reason	reason
why	whi	why
he	he	he
wouldn	wouldn	wouldn
t	t	t
answer	answer	answer
it	it	it
.	.	.

He	he	He
might	might	might
even	even	even
welcome	welcom	welcome
the	the	the
opportunity	opportun	opportunity
.	.	.

Trump	trump	Trump
decided	decid	decided
last	last	last
weekend	weekend	weekend
that	that	that
he	he	he
would	would	would
get	get	get
on	on	on
Twitter	twitter	Twitter
and	and	and
accuse	accus	accuse
Obama	obama	Obama
of	of	of
tapping	tap	tapping
the	the	the
phones	phone	phone
at	at	at
Trump	trump	Trump
Tower	tower	Tower
,	,	,
even	even	even
if	if	if
he	he	he
had	had	had
no	no	no
evidence	evid	evidence
to	to	to
back	back	back
up	up	up
this	this	this
allegation	alleg	allegation
.	.	.
Terrible	terribl	Terrible
!	!	!

Just	just	Just
found	found	found
out	out	out
that	that	that
Obama	obama	Obama
had	had	had
my	my	my
wires	wire	wire
tapped	tap	tapped
in	in	in
Trump	trump	Trump
Tower	tower	Tower
just	just	just
before	befor	before
the	the	the
victory	victori	victory
.	.	.

Nothing	noth	Nothing
found	found	found
.	.	.

This	this	This
is	is	is
McCarthyism	mccarthyism	McCarthyism
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
4	4	4
,	,	,
2017How	2017how	2017How
low	low	low
has	has	ha
President	presid	President
Obama	obama	Obama
gone	gone	gone
to	to	to
tapp	tapp	tapp
my	my	my
phones	phone	phone
during	dure	during
the	the	the
very	veri	very
sacred	sacr	sacred
election	elect	election
process	process	process
.	.	.

This	this	This
is	is	is
Nixon	nixon	Nixon
Watergate	waterg	Watergate
.	.	.

Bad	bad	Bad
or	or	or
sick	sick	sick
guy	guy	guy
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
4	4	4
,	,	,
2017Featured	2017featur	2017Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images

