David	david	David
Duke	duke	Duke
,	,	,
who	who	who
s	s	s
best	best	best
known	known	known
as	as	a
a	a	a
former	former	former
Ku	ku	Ku
Klux	klux	Klux
Klan	klan	Klan
leader	leader	leader
and	and	and
failed	fail	failed
politician	politician	politician
,	,	,
has	has	ha
a	a	a
whole	whole	whole
new	new	new
conspiracy	conspiraci	conspiracy
surrounding	surround	surrounding
Donald	donald	Donald
Trump	trump	Trump
.	.	.
You	you	You
see	see	see
,	,	,
it	it	it
s	s	s
not	not	not
really	realli	really
that	that	that
Trump	trump	Trump
s	s	s
a	a	a
racist	racist	racist
.	.	.
It	it	It
s	s	s
just	just	just
that	that	that
Wolf	wolf	Wolf
Blitzer	blitzer	Blitzer
and	and	and
the	the	the
rest	rest	rest
of	of	of
the	the	the
Jewish	jewish	Jewish
media	media	medium
is	is	is
making	make	making
him	him	him
seem	seem	seem
racist	racist	racist
.	.	.
Damn	damn	Damn
those	those	those
unedited	unedit	unedited
videos	video	video
.	.	.
Pointing	point	Pointing
out	out	out
the	the	the
Jewish	jewish	Jewish
establishment	establish	establishment
knows	know	know
all	all	all
about	about	about
psychology	psycholog	psychology
,	,	,
Duke	duke	Duke
went	went	went
on	on	on
to	to	to
explain	explain	explain
that	that	that
they	they	they
have	have	have
the	the	the
ability	abil	ability
to	to	to
marshal	marshal	marshal
up	up	up
an	an	an
army	armi	army
of	of	of
Jews	jew	Jews
to	to	to
go	go	go
after	after	after
opponents	oppon	opponent
like	like	like
Trump	trump	Trump
by	by	by
sending	send	sending
out	out	out
experts	expert	expert
to	to	to
attack	attack	attack
him	him	him
.	.	.
Duke	duke	Duke
cast	cast	cast
a	a	a
wide	wide	wide
net	net	net
,	,	,
including	includ	including
Chris	chris	Chris
Wallace	wallac	Wallace
from	from	from
Fox	fox	Fox
News	news	News
,	,	,
CNN	cnn	CNN
s	s	s
Jake	jake	Jake
Tapper	tapper	Tapper
as	as	a
well	well	well
as	as	a
Blitzer	blitzer	Blitzer
from	from	from
CNN	cnn	CNN
,	,	,
who	who	who
Duke	duke	Duke
claims	claim	claim
he	he	he
has	has	ha
already	alreadi	already
exposed	expos	exposed
as	as	a
a	a	a
Jewish	jewish	Jewish
agent	agent	agent
from	from	from
AIPAC	aipac	AIPAC
.	.	.
Duke	duke	Duke
went	went	went
on	on	on
to	to	to
point	point	point
out	out	out
that	that	that
CNN	cnn	CNN
is	is	is
run	run	run
by	by	by
Jewish	jewish	Jewish
extremist	extremist	extremist
Jeff	jeff	Jeff
Zucker	zucker	Zucker
,	,	,
helpfully	help	helpfully
noting	note	noting
that	that	that
Zucker	zucker	Zucker
has	has	ha
said	said	said
he	he	he
lives	live	life
and	and	and
breathes	breath	breathes
Israel	israel	Israel
.	.	.
They	they	They
re	re	re
the	the	the
ones	one	one
who	who	who
have	have	have
been	been	been
attacking	attack	attacking
Trump	trump	Trump
,	,	,
Duke	duke	Duke
continued	continu	continued
,	,	,
And	and	And
most	most	most
recently	recent	recently
Fox	fox	Fox
News	news	News
,	,	,
the	the	the
shabbat	shabbat	shabbat
goy	goy	goy
shiksa	shiksa	shiksa
Megyn	megyn	Megyn
Kelly	kelli	Kelly
,	,	,
because	becaus	because
they	they	they
love	love	love
to	to	to
have	have	have
some	some	some
gentile	gentil	gentile
they	they	they
don	don	don
t	t	t
always	alway	always
want	want	want
all	all	all
the	the	the
Jews	jew	Jews
out	out	out
front	front	front
.	.	.
She	she	She
recently	recent	recently
criticized	critic	criticized
Trump	trump	Trump
,	,	,
the	the	the
fact	fact	fact
that	that	that
he	he	he
said	said	said
this	this	this
judge	judg	judge
isn	isn	isn
t	t	t
fair	fair	fair
.	.	.
This	this	This
Mexican	mexican	Mexican
judge	judg	judge
.	.	.
This	this	This
Mexican	mexican	Mexican
-descended	-descend	-descended
judge	judg	judge
.	.	.
Source	sourc	Source
Raw	raw	Raw
StoryDuke	storyduk	StoryDuke
was	was	wa
especially	especi	especially
peeved	peev	peeved
at	at	at
the	the	the
Trump	trump	Trump
University	univers	University
scandal	scandal	scandal
,	,	,
in	in	in
which	which	which
Trump	trump	Trump
is	is	is
accused	accus	accused
of	of	of
bilking	bilk	bilking
thousands	thousand	thousand
of	of	of
people	peopl	people
out	out	out
of	of	of
upwards	upward	upwards
of	of	of
35	35	35
,	,	,
000	000	000
.	.	.
Trump	trump	Trump
is	is	is
the	the	the
one	one	one
who	who	who
is	is	is
alleged	alleg	alleged
to	to	to
have	have	have
committed	commit	committed
fraud	fraud	fraud
,	,	,
yet	yet	yet
,	,	,
the	the	the
Jews	jew	Jews
and	and	and
the	the	the
Mexican	mexican	Mexican
who	who	who
s	s	s
not	not	not
Mexican	mexican	Mexican
,	,	,
judge	judg	judge
Media	media	Media
coverage	coverag	coverage
of	of	of
the	the	the
case	case	case
is	is	is
very	veri	very
illustrative	illustr	illustrative
of	of	of
the	the	the
Jewish	jewish	Jewish
tribal	tribal	tribal
nature	natur	nature
,	,	,
Duke	duke	Duke
said	said	said
They	they	They
re	re	re
like	like	like
a	a	a
pack	pack	pack
of	of	of
wild	wild	wild
dogs	dog	dog
when	when	when
they	they	they
go	go	go
after	after	after
someone	someon	someone
who	who	who
they	they	they
see	see	see
as	as	a
a	a	a
threat	threat	threat
to	to	to
the	the	the
Jewish	jewish	Jewish
agenda	agenda	agenda
,	,	,
as	as	a
the	the	the
neocons	neocon	neocon
see	see	see
Trump	trump	Trump
as	as	a
a	a	a
threat	threat	threat
as	as	a
a	a	a
non	non	non
-interventionist	-interventionist	-interventionist
.	.	.
The	the	The
viciousness	vicious	viciousness
of	of	of
these	these	these
Jews	jew	Jews
is	is	is
unbelievable	unbeliev	unbelievable
,	,	,
he	he	he
added	ad	added
.	.	.
I	i	I
think	think	think
this	this	this
whole	whole	whole
Trump	trump	Trump
University	univers	University
case	case	case
really	realli	really
exploited	exploit	exploited
,	,	,
can	can	can
really	realli	really
expose	expos	expose
the	the	the
entire	entir	entire
Jewish	jewish	Jewish
manipulation	manipul	manipulation
of	of	of
the	the	the
American	american	American
media	media	medium
,	,	,
the	the	the
American	american	American
political	polit	political
process	process	process
.	.	.
Source	sourc	Source
Jerusalem	jerusalem	Jerusalem
PostHere	posther	PostHere
s	s	s
the	the	the
audio	audio	audio
Clearly	clear	Clearly
,	,	,
Duke	duke	Duke
is	is	is
certifiable	certifi	certifiable
.	.	.
He	he	He
has	has	ha
long	long	long
had	had	had
it	it	it
in	in	in
for	for	for
