During	dure	During
a	a	a
time	time	time
of	of	of
national	nation	national
crisis	crisi	crisis
,	,	,
most	most	most
presidents	presid	president
focus	focus	focus
on	on	on
helping	help	helping
people	peopl	people
in	in	in
need	need	need
.	.	.
But	but	But
not	not	not
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Instead	instead	Instead
,	,	,
he	he	he
is	is	is
sending	send	sending
out	out	out
mass	mass	mass
text	text	text
messages	messag	message
to	to	to
stroke	stroke	stroke
his	his	his
own	own	own
ego	ego	ego
and	and	and
try	tri	try
to	to	to
raise	rais	raise
money	money	money
.	.	.
He	he	He
keeps	keep	keep
telling	tell	telling
his	his	his
fans	fan	fan
that	that	that
if	if	if
they	they	they
don	don	don
t	t	t
keep	keep	keep
donating	donat	donating
,	,	,
their	their	their
big	big	big
election	elect	election
upset	upset	upset
will	will	will
all	all	all
be	be	be
for	for	for
naught	naught	naught
.	.	.
Here	here	Here
are	are	are
the	the	the
texts	text	text
he	he	he
sent	sent	sent
to	to	to
his	his	his
most	most	most
ardent	ardent	ardent
fans	fan	fan
and	and	and
a	a	a
few	few	few
people	peopl	people
who	who	who
just	just	just
subscribe	subscrib	subscribe
for	for	for
the	the	the
lulz	lulz	lulz
Now	now	Now
,	,	,
to	to	to
put	put	put
this	this	this
into	into	into
context	context	context
,	,	,
the	the	the
people	peopl	people
of	of	of
Puerto	puerto	Puerto
Rico	rico	Rico
are	are	are
literally	liter	literally
dying	die	dying
.	.	.
Trump	trump	Trump
has	has	ha
,	,	,
instead	instead	instead
of	of	of
trying	tri	trying
to	to	to
help	help	help
them	them	them
,	,	,
attacked	attack	attacked
the	the	the
mayor	mayor	mayor
of	of	of
San	san	San
Juan	juan	Juan
on	on	on
Twitter	twitter	Twitter
for	for	for
begging	beg	begging
for	for	for
help	help	help
to	to	to
save	save	save
the	the	the
lives	live	life
of	of	of
the	the	the
Americans	american	Americans
who	who	who
live	live	live
there	there	there
,	,	,
and	and	and
his	his	his
disaster	disast	disaster
response	respons	response
has	has	ha
been	been	been
abysmal	abysm	abysmal
,	,	,
because	becaus	because
,	,	,
you	you	you
know	know	know
,	,	,
brown	brown	brown
people	peopl	people
.	.	.
And	and	And
now	now	now
,	,	,
he	he	he
sends	send	sends
out	out	out
lying	lie	lying
mass	mass	mass
communications	communic	communication
pretending	pretend	pretending
that	that	that
he	he	he
has	has	ha
helped	help	helped
people	peopl	people
and	and	and
delivered	deliv	delivered
on	on	on
promises	promis	promise
when	when	when
he	he	he
has	has	ha
done	done	done
no	no	no
such	such	such
thing	thing	thing
.	.	.
Hell	hell	Hell
,	,	,
there	there	there
is	is	is
plenty	plenti	plenty
of	of	of
evidence	evid	evidence
that	that	that
there	there	there
was	was	wa
even	even	even
a	a	a
point	point	point
in	in	in
time	time	time
when	when	when
Trump	trump	Trump
didn	didn	didn
t	t	t
even	even	even
realize	realiz	realize
that	that	that
the	the	the
people	peopl	people
of	of	of
Puerto	puerto	Puerto
Rico	rico	Rico
are	are	are
American	american	American
citizens	citizen	citizen
.	.	.
In	in	In
short	short	short
,	,	,
this	this	this
is	is	is
a	a	a
man	man	man
who	who	who
is	is	is
raising	rais	raising
money	money	money
off	off	off
the	the	the
backs	back	back
of	of	of
suffering	suffer	suffering
and	and	and
dying	die	dying
people	peopl	people
,	,	,
and	and	and
using	use	using
the	the	the
protests	protest	protest
of	of	of
NFL	nfl	NFL
players	player	player
who	who	who
want	want	want
to	to	to
use	use	use
their	their	their
platforms	platform	platform
to	to	to
shine	shine	shine
a	a	a
light	light	light
on	on	on
the	the	the
injustices	injustic	injustice
suffered	suffer	suffered
at	at	at
the	the	the
hands	hand	hand
of	of	of
law	law	law
enforcement	enforc	enforcement
by	by	by
people	peopl	people
of	of	of
color	color	color
to	to	to
stoke	stoke	stoke
racial	racial	racial
divisions	divis	division
in	in	in
the	the	the
nation	nation	nation
.	.	.
In	in	In
fact	fact	fact
,	,	,
there	there	there
is	is	is
even	even	even
evidence	evid	evidence
that	that	that
this	this	this
part	part	part
of	of	of
it	it	it
was	was	wa
planned	plan	planned
.	.	.
MSNBC	msnbc	MSNBC
s	s	s
Rachel	rachel	Rachel
Maddow	maddow	Maddow
explains	explain	explains
that	that	that
bit	bit	bit
perfectly	perfect	perfectly
Donald	donald	Donald
Trump	trump	Trump
s	s	s
racist	racist	racist
,	,	,
divisive	divis	divisive
actions	action	action
are	are	are
absolutely	absolut	absolutely
disgraceful	disgrac	disgraceful
,	,	,
and	and	and
people	peopl	people
are	are	are
literally	liter	literally
dying	die	dying
on	on	on
his	his	his
watch	watch	watch
.	.	.
This	this	This
man	man	man
is	is	is
not	not	not
a	a	a
president	presid	president
.	.	.
He	he	He
s	s	s
a	a	a
racist	racist	racist
and	and	and
a	a	a
murderer	murder	murderer
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Andrew	andrew	Andrew
Harrer	harrer	Harrer
-Pool	-pool	-Pool
Getty	getti	Getty
Images	imag	Images
