After	after	After
ABC	abc	ABC
News	news	News
broke	broke	broke
the	the	the
General	general	General
Flynn	flynn	Flynn
-Trump	-trump	-Trump
story	stori	story
,	,	,
the	the	the
stock	stock	stock
market	market	market
began	began	began
its	it	it
freefall	freefal	freefall
,	,	,
Americans	american	Americans
were	were	were
stunned	stun	stunned
by	by	by
the	the	the
news	news	news
,	,	,
and	and	and
the	the	the
media	media	medium
,	,	,
who	who	who
s	s	s
been	been	been
searching	search	searching
for	for	for
blood	blood	blood
in	in	in
the	the	the
water	water	water
since	sinc	since
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
,	,	,
was	was	wa
in	in	in
a	a	a
feeding	feed	feeding
frenzy	frenzi	frenzy
over	over	over
the	the	the
prospect	prospect	prospect
of	of	of
President	presid	President
Trump	trump	Trump
being	be	being
caught	caught	caught
directing	direct	directing
General	general	General
Flynn	flynn	Flynn
to	to	to
meet	meet	meet
with	with	with
the	the	the
Russians	russian	Russians
when	when	when
he	he	he
was	was	wa
actively	activ	actively
campaigning	campaign	campaigning
.	.	.
As	as	As
it	it	it
turns	turn	turn
out	out	out
,	,	,
ABC	abc	ABC
News	news	News
got	got	got
it	it	it
wrong	wrong	wrong
.	.	.
But	but	But
no	no	no
worries	worri	worry
,	,	,
several	sever	several
hours	hour	hour
later	later	later
,	,	,
they	they	they
clarified	clarifi	clarified
how	how	how
the	the	the
story	stori	story
should	should	should
have	have	have
read	read	read
ABC	abc	ABC
News	news	News
major	major	major
report	report	report
on	on	on
Michael	michael	Michael
Flynn	flynn	Flynn
and	and	and
President	presid	President
Trump	trump	Trump
s	s	s
direction	direct	direction
on	on	on
reaching	reach	reaching
out	out	out
to	to	to
the	the	the
Russians	russian	Russians
has	has	ha
been	been	been
corrected	correct	corrected
.	.	.
Hours	hour	Hours
later	later	later
.	.	.
And	and	And
Twitter	twitter	Twitter
is	is	is
ripping	rip	ripping
the	the	the
network	network	network
over	over	over
it	it	it
.	.	.
Per	per	Per
multiple	multipl	multiple
reports	report	report
earlier	earlier	earlier
,	,	,
Brian	brian	Brian
Ross	ross	Ross
report	report	report
that	that	that
Flynn	flynn	Flynn
is	is	is
expected	expect	expected
to	to	to
testify	testifi	testify
Trump	trump	Trump
directed	direct	directed
him	him	him
to	to	to
meet	meet	meet
with	with	with
Russians	russian	Russians
as	as	a
a	a	a
candidate	candid	candidate
was	was	wa
followed	follow	followed
minutes	minut	minute
later	later	later
by	by	by
a	a	a
drop	drop	drop
in	in	in
the	the	the
stock	stock	stock
market	market	market
.	.	.
But	but	But
as	as	a
Ross	ross	Ross
clarified	clarifi	clarified
on	on	on
World	world	World
News	news	News
Tonight	tonight	Tonight
video	video	video
here	here	here
,	,	,
it	it	it
was	was	wa
as	as	a
President	presid	President
-elect	-elect	-elect
,	,	,
not	not	not
as	as	a
a	a	a
candidate	candid	candidate
,	,	,
and	and	and
that	that	that
is	is	is
kind	kind	kind
of	of	of
a	a	a
major	major	major
difference	differ	difference
.	.	.
MediaiteABC	mediaiteabc	MediaiteABC
News	news	News
also	also	also
tweeted	tweet	tweeted
out	out	out
a	a	a
clarification	clarif	clarification
and	and	and
deleted	delet	deleted
its	it	it
earlier	earlier	earlier
tweet	tweet	tweet
CLARIFICATION	clarif	CLARIFICATION
of	of	of
ABC	abc	ABC
News	news	News
Special	special	Special
Report	report	Report
Flynn	flynn	Flynn
prepared	prepar	prepared
to	to	to
testify	testifi	testify
that	that	that
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
directed	direct	directed
him	him	him
to	to	to
make	make	make
contact	contact	contact
with	with	with
the	the	the
Russians	russian	Russians
during	dure	during
the	the	the
transition	transit	transition
initially	initi	initially
as	as	a
a	a	a
way	way	way
to	to	to
work	work	work
together	togeth	together
to	to	to
fight	fight	fight
ISIS	isi	ISIS
in	in	in
Syria	syria	Syria
,	,	,
confidant	confid	confidant
now	now	now
says	say	say
.	.	.
https://t.co/ewrkVZBTbc	https://t.co/ewrkvzbtbc	https://t.co/ewrkVZBTbc
pic.twitter.com/GQAKwT1Eda	pic.twitter.com/gqakwt1eda	pic.twitter.com/GQAKwT1Eda
ABC	abc	ABC
News	news	News
@ABC	@abc	@ABC
December	decemb	December
2	2	2
,	,	,
2017Twitter	2017twitter	2017Twitter
users	user	user
responded	respond	responded
to	to	to
the	the	the
clarification	clarif	clarification
by	by	by
ABC	abc	ABC
News	news	News
,	,	,
who	who	who
should	should	should
NEVER	never	NEVER
have	have	have
gotten	gotten	gotten
this	this	this
story	stori	story
wrong	wrong	wrong
in	in	in
the	the	the
first	first	first
place	place	place
.	.	.
Jim	jim	Jim
VandeHei	vandehei	VandeHei
,	,	,
CEO	ceo	CEO
and	and	and
co	co	co
-founder	-founder	-founder
of	of	of
Axio	axio	Axio
slammed	slam	slammed
ABC	abc	ABC
for	for	for
moving	move	moving
the	the	the
markets	market	market
and	and	and
setting	set	setting
off	off	off
a	a	a
frenzy	frenzi	frenzy
with	with	with
their	their	their
massive	massiv	massive
mistake	mistak	mistake
Astonishing	astonish	Astonishing
.	.	.
The	the	The
story	stori	story
moved	move	moved
markets	market	market
,	,	,
set	set	set
off	off	off
a	a	a
media	media	medium
frenzy	frenzi	frenzy
,	,	,
suggested	suggest	suggested
worst	worst	worst
possible	possibl	possible
outcome	outcom	outcome
.	.	.
This	this	This
is	is	is
called	call	called
a	a	a
massive	massiv	massive
correction	correct	correction
,	,	,
or	or	or
retraction	retract	retraction
,	,	,
not	not	not
clarification	clarif	clarification
.	.	.
https://t.co/uVUamf4jYY	https://t.co/uvuamf4jyy	https://t.co/uVUamf4jYY
Jim	jim	Jim
VandeHei	vandehei	VandeHei
@JimVandeHei	@jimvandehei	@JimVandeHei
December	decemb	December
2	2	2
,	,	,
2017Associate	2017associ	2017Associate
editor	editor	editor
of	of	of
the	the	the
Daily	daili	Daily
Caller	caller	Caller
reminded	remind	reminded
ABC	abc	ABC
News	news	News
that	that	that
their	their	their
clarification	clarif	clarification
was	was	wa
actually	actual	actually
a	a	a
huge	huge	huge
correction	correct	correction
.	.	.
That's	that	That's
a	a	a
huge	huge	huge
correction	correct	correction
https://t.co/EIMaE0EkGu	https://t.co/eimae0ekgu	https://t.co/EIMaE0EkGu
Peter	peter	Peter
J	j	J
.	.	.
Hasson	hasson	Hasson
@peterjhasson	@peterjhasson	@peterjhasson
December	decemb	December
1	1	1
,	,	,
2017David	2017david	2017David
Rubin	rubin	Rubin
reminded	remind	reminded
ABC	abc	ABC
News	news	News
why	whi	why
no	no	no
one	one	one
trusts	trust	trust
them	them	them
anymore	anymor	anymore
Reason	reason	Reason
nobody	nobodi	nobody
trusts	trust	trust
the	the	the
mainstream	mainstream	mainstream
media	media	medium
14	14	14
,	,	,
761	761	761
.	.	.
Reason	reason	Reason
nobody	nobodi	nobody
trusts	trust	trust
the	the	the
mainstream	mainstream	mainstream
media	media	medium
14	14	14
,	,	,
761	761	761
https://t.co/1RQ7FRbava	https://t.co/1rq7frbava	https://t.co/1RQ7FRbava
Dave	dave	Dave
Rubin	rubin	Rubin
@RubinReport	@rubinreport	@RubinReport
December	decemb	December
2	2	2
,	,	,
2017Twitter	2017twitter	2017Twitter
user	user	user
Echo	echo	Echo
Lew	lew	Lew
called	call	called
out	out	out
ABC	abc	ABC
News	news	News
for	for	for
blaming	blame	blaming
their	their	their
source	sourc	source
and	and	and
not	not	not
Brian	brian	Brian
Ross	ross	Ross
,	,	,
their	their	their
reckless	reckless	reckless
reporter	report	reporter
who	who	who
actually	actual	actually
made	made	made
the	the	the
mistake	mistak	mistake
Blame	blame	Blame
it	it	it
on	on	on
a	a	a
source	sourc	source
and	and	and
not	not	not
your	your	your
reckless	reckless	reckless
reporter	report	reporter
@BrianRoss	@brianross	@BrianRoss
'on	on	'on
air'	air	air'
tremendous	tremend	tremendous
mistake	mistak	mistake
.	.	.
Echo	echo	Echo
Lew	lew	Lew
@PhinsnNoles	@phinsnnol	@PhinsnNoles
December	decemb	December
2	2	2
,	,	,
2017ABC	2017abc	2017ABC
News	news	News
has	has	ha
apparently	appar	apparently
earned	earn	earned
a	a	a
new	new	new
name	name	name
to	to	to
go	go	go
along	along	along
with	with	with
their	their	their
acronym	acronym	acronym
.	.	.
ABC	abc	ABC
Always	alway	Always
