Former	former	Former
White	white	White
House	hous	House
Chief	chief	Chief
Strategist	strategist	Strategist
Stephen	stephen	Stephen
K	k	K
.	.	.
Bannon	bannon	Bannon
left	left	left
the	the	the
White	white	White
House	hous	House
today	today	today
and	and	and
has	has	ha
already	alreadi	already
returned	return	returned
as	as	a
Executive	execut	Executive
Chairman	chairman	Chairman
of	of	of
Breitbart	breitbart	Breitbart
News	news	News
,	,	,
where	where	where
he	he	he
will	will	will
continue	continu	continue
to	to	to
go	go	go
to	to	to
war	war	war
for	for	for
President	presid	President
Trump	trump	Trump
.	.	.
Unfortunately	unfortun	Unfortunately
for	for	for
the	the	the
Left	left	Left
,	,	,
Steve	steve	Steve
Bannon	bannon	Bannon
will	will	will
continue	continu	continue
to	to	to
go	go	go
to	to	to
war	war	war
for	for	for
Trump	trump	Trump
against	against	against
his	his	his
opponents	oppon	opponent
,	,	,
he	he	he
just	just	just
won	won	won
t	t	t
be	be	be
conducting	conduct	conducting
the	the	the
war	war	war
from	from	from
the	the	the
White	white	White
House	hous	House
anymore	anymor	anymore
.	.	.
There	there	There
are	are	are
very	veri	very
few	few	few
conservatives	conserv	conservative
in	in	in
America	america	America
who	who	who
really	realli	really
know	know	know
how	how	how
to	to	to
beat	beat	beat
the	the	the
left	left	left
at	at	at
their	their	their
own	own	own
game	game	game
.	.	.
Conservatives	conserv	Conservatives
need	need	need
someone	someon	someone
like	like	like
Steve	steve	Steve
Bannon	bannon	Bannon
more	more	more
than	than	than
ever	ever	ever
right	right	right
now	now	now
.	.	.
Fortunately	fortun	Fortunately
for	for	for
us	us	u
,	,	,
he	he	he
doesn	doesn	doesn
t	t	t
plan	plan	plan
to	to	to
walk	walk	walk
away	away	away
from	from	from
the	the	the
fight	fight	fight
.	.	.
Josh	josh	Josh
Caplan	caplan	Caplan
reports	report	report
that	that	that
Bannon	bannon	Bannon
will	will	will
continue	continu	continue
his	his	his
fight	fight	fight
for	for	for
Trump	trump	Trump
from	from	from
the	the	the
outside	outsid	outside
after	after	after
his	his	his
exit	exit	exit
from	from	from
the	the	the
White	white	White
House	hous	House
today	today	today
.	.	.
FULL	full	FULL
STATEMENT	statement	STATEMENT
Bannon	bannon	Bannon
says	say	say
he	he	he
s	s	s
going	go	going
to	to	to
war	war	war
for	for	for
Trump	trump	Trump
after	after	after
White	white	White
House	hous	House
exit	exit	exit
pic.twitter.com/e61m6bb74O	pic.twitter.com/e61m6bb74o	pic.twitter.com/e61m6bb74O
Josh	josh	Josh
Caplan	caplan	Caplan
@joshdcaplan	@joshdcaplan	@joshdcaplan
August	august	August
18	18	18
,	,	,
2017	2017	2017
If	if	If
there	there	there
s	s	s
any	ani	any
confusion	confus	confusion
out	out	out
there	there	there
,	,	,
let	let	let
me	me	me
clear	clear	clear
it	it	it
up	up	up
I	i	I
m	m	m
leaving	leav	leaving
the	the	the
White	white	White
House	hous	House
and	and	and
going	go	going
to	to	to
war	war	war
for	for	for
Trump	trump	Trump
against	against	against
his	his	his
opponents	oppon	opponent
on	on	on
Capitol	capitol	Capitol
Hill	hill	Hill
,	,	,
in	in	in
the	the	the
media	media	medium
,	,	,
