Here	here	Here
s	s	s
yet	yet	yet
another	anoth	another
reason	reason	reason
to	to	to
be	be	be
very	veri	very
suspicious	suspici	suspicious
of	of	of
the	the	the
Obama	obama	Obama
administration	administr	administration
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
Via	via	Via
Free	free	Free
Beacon	beacon	Beacon
Former	former	Former
Secretary	secretari	Secretary
of	of	of
State	state	State
Hillary	hillari	Hillary
Clinton	clinton	Clinton
struck	struck	struck
a	a	a
deal	deal	deal
with	with	with
the	the	the
State	state	State
Department	depart	Department
while	while	while
serving	serv	serving
in	in	in
the	the	the
Obama	obama	Obama
administration	administr	administration
that	that	that
allowed	allow	allowed
her	her	her
to	to	to
take	take	take
ownership	ownership	ownership
of	of	of
records	record	record
she	she	she
did	did	did
not	not	not
want	want	want
made	made	made
public	public	public
,	,	,
according	accord	according
to	to	to
recently	recent	recently
released	releas	released
reports	report	report
.	.	.
Clinton	clinton	Clinton
and	and	and
her	her	her
then	then	then
-deputy	-deputi	-deputy
chief	chief	chief
of	of	of
staff	staff	staff
Huma	huma	Huma
Abedin	abedin	Abedin
were	were	were
permitted	permit	permitted
to	to	to
remove	remov	remove
electronic	electron	electronic
and	and	and
physical	physic	physical
records	record	record
under	under	under
a	a	a
claim	claim	claim
they	they	they
were	were	were
personal	person	personal
materials	materi	material
and	and	and
unclassified	unclassifi	unclassified
,	,	,
non	non	non
-record	-record	-record
materials	materi	material
.	.	.
Judicial	judici	Judicial
Watch	watch	Watch
made	made	made
the	the	the
revelation	revel	revelation
after	after	after
filing	file	filing
a	a	a
FOIA	foia	FOIA
request	request	request
with	with	with
the	the	the
State	state	State
Department	depart	Department
and	and	and
obtaining	obtain	obtaining
a	a	a
record	record	record
of	of	of
the	the	the
agreement	agreement	agreement
The	the	The
newly	newli	newly
released	releas	released
documents	document	document
show	show	show
the	the	the
deal	deal	deal
allowed	allow	allowed
Clinton	clinton	Clinton
and	and	and
Abedin	abedin	Abedin
to	to	to
remove	remov	remove
documents	document	document
related	relat	related
to	to	to
particular	particular	particular
calls	call	call
and	and	and
schedules	schedul	schedule
,	,	,
and	and	and
the	the	the
records	record	record
would	would	would
not	not	not
be	be	be
released	releas	released
to	to	to
the	the	the
general	general	general
public	public	public
under	under	under
FOIA	foia	FOIA
.	.	.
Abedin	abedin	Abedin
,	,	,
for	for	for
instance	instanc	instance
,	,	,
was	was	wa
allowed	allow	allowed
to	to	to
remove	remov	remove
electronic	electron	electronic
records	record	record
and	and	and
five	five	five
boxes	box	box
of	of	of
physical	physic	physical
files	file	file
,	,	,
including	includ	including
files	file	file
labeled	label	labeled
Muslim	muslim	Muslim
Engagement	engag	Engagement
Documents	document	Documents
.	.	.
The	the	The
released	releas	released
records	record	record
included	includ	included
a	a	a
list	list	list
of	of	of
designated	design	designated
materials	materi	material
that	that	that
would	would	would
not	not	not
be	be	be
released	releas	released
to	to	to
the	the	the
general	general	general
public	public	public
under	under	under
FOIA	foia	FOIA
and	and	and
were	were	were
to	to	to
be	be	be
released	releas	released
to	to	to
the	the	the
Secretary	secretari	Secretary
with	with	with
this	this	this
understanding	understand	understanding
.	.	.
Electronic	electron	Electronic
copy	copi	copy
of	of	of
daily	daili	daily
files	file	file
which	which	which
are	are	are
word	word	word
versions	version	version
of	of	of
public	public	public
documents	document	document
and	and	and
non	non	non
-records	-record	-records
speeches	speech	speech
press	press	press
statements	statement	statement
photos	photo	photo
from	from	from
the	the	the
website	websit	website
,	,	,
a	a	a
non	non	non
-record	-record	-record
copy	copi	copy
of	of	of
the	the	the
schedule	schedul	schedule
,	,	,
a	a	a
non	non	non
