The	the	The
Democrats	democrat	Democrats
in	in	in
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
last	last	last
week	week	week
showed	show	showed
a	a	a
level	level	level
of	of	of
spine	spine	spine
that	that	that
the	the	the
slimy	slimi	slimy
weasel	weasel	weasel
we	we	we
call	call	call
the	the	the
Speaker	speaker	Speaker
of	of	of
the	the	the
House	hous	House
,	,	,
Paul	paul	Paul
Ryan	ryan	Ryan
,	,	,
will	will	will
never	never	never
know	know	know
.	.	.
They	they	They
staged	stage	staged
a	a	a
sit	sit	sit
-in	-in	-in
,	,	,
led	led	led
by	by	by
civil	civil	civil
rights	right	right
icon	icon	icon
John	john	John
Lewis	lewi	Lewis
,	,	,
on	on	on
the	the	the
floor	floor	floor
of	of	of
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
.	.	.
Well	well	Well
,	,	,
Ryan	ryan	Ryan
seems	seem	seems
to	to	to
have	have	have
gotten	gotten	gotten
his	his	his
cowardly	coward	cowardly
boxer	boxer	boxer
briefs	brief	brief
in	in	in
a	a	a
twist	twist	twist
over	over	over
the	the	the
fact	fact	fact
that	that	that
his	his	his
pals	pal	pal
on	on	on
the	the	the
other	other	other
side	side	side
of	of	of
the	the	the
aisle	aisl	aisle
made	made	made
a	a	a
fool	fool	fool
of	of	of
him	him	him
and	and	and
caused	caus	caused
him	him	him
to	to	to
lose	lose	lose
control	control	control
of	of	of
the	the	the
House	hous	House
chamber	chamber	chamber
,	,	,
and	and	and
has	has	ha
issued	issu	issued
a	a	a
stern	stern	stern
warning	warn	warning
to	to	to
his	his	his
Democratic	democrat	Democratic
colleagues	colleagu	colleague
.	.	.
Speaking	speak	Speaking
with	with	with
Upfront	upfront	Upfront
with	with	with
Mike	mike	Mike
Gousha	gousha	Gousha
on	on	on
WISN	wisn	WISN
,	,	,
Ryan	ryan	Ryan
said	said	said
the	the	the
following	follow	following
of	of	of
what	what	what
he	he	he
would	would	would
do	do	do
if	if	if
the	the	the
Democrats	democrat	Democrats
dared	dare	dared
to	to	to
disrupt	disrupt	disrupt
his	his	his
ordered	order	ordered
,	,	,
delusional	delusion	delusional
life	life	life
as	as	a
Speaker	speaker	Speaker
of	of	of
the	the	the
House	hous	House
by	by	by
,	,	,
oh	oh	oh
,	,	,
you	you	you
know	know	know
,	,	,
standing	stand	standing
up	up	up
for	for	for
what	what	what
s	s	s
right	right	right
We	we	We
are	are	are
not	not	not
going	go	going
to	to	to
handle	handl	handle
it	it	it
the	the	the
same	same	same
way	way	way
.	.	.
We	we	We
will	will	will
not	not	not
take	take	take
this	this	this
.	.	.
We	we	We
will	will	will
not	not	not
tolerate	toler	tolerate
this	this	this
.	.	.
Ryan	ryan	Ryan
could	could	could
have	have	have
,	,	,
as	as	a
Speaker	speaker	Speaker
,	,	,
had	had	had
the	the	the
Democrats	democrat	Democrats
who	who	who
staged	stage	staged
the	the	the
sit	sit	sit
-in	-in	-in
arrested	arrest	arrested
,	,	,
but	but	but
he	he	he
chose	chose	chose
not	not	not
to	to	to
do	do	do
so	so	so
.	.	.
Because	becaus	Because
,	,	,
well	well	well
,	,	,
he	he	he
s	s	s
a	a	a
coward	coward	coward
with	with	with
no	no	no
spine	spine	spine
.	.	.
We	we	We
already	alreadi	already
knew	knew	knew
this	this	this
,	,	,
though	though	though
.	.	.
Instead	instead	Instead
of	of	of
admitting	admit	admitting
this	this	this
,	,	,
however	howev	however
,	,	,
he	he	he
blamed	blame	blamed
the	the	the
Democrats	democrat	Democrats
,	,	,
saying	say	saying
They	they	They
said	said	said
they	they	they
were	were	were
hoping	hope	hoping
to	to	to
get	get	get
arrested	arrest	arrested
and	and	and
hauled	haul	hauled
off	off	off
the	the	the
floor	floor	floor
.	.	.
They	they	They
told	told	told
a	a	a
number	number	number
of	of	of
my	my	my
staff	staff	staff
that	that	that
and	and	and
so	so	so
I	i	I
did	did	did
get	get	get
a	a	a
brief	brief	brief
heads	head	head
up	up	up
about	about	about
it	it	it
,	,	,
I	i	I
highly	high	highly
doubt	doubt	doubt
they	they	they
were	were	were
dumb	dumb	dumb
enough	enough	enough
to	to	to
tell	tell	tell
your	your	your
staff	staff	staff
,	,	,
who	who	who
they	they	they
knew	knew	knew
in	in	in
turn	turn	turn
would	would	would
be	be	be
obligated	oblig	obligated
to	to	to
tell	tell	tell
you	you	you
,	,	,
sir	sir	sir
,	,	,
what	what	what
they	they	they
were	were	were
planning	plan	planning
to	to	to
do	do	do
to	to	to
make	make	make
sure	sure	sure
the	the	the
sit	sit	sit
-in	-in	-in
was	was	wa
effective	effect	effective
.	.	.
You	you	You
re	re	re
just	just	just
embarrassed	embarrass	embarrassed
that	that	that
you	you	you
lost	lost	lost
control	control	control
of	of	of
the	the	the
House	hous	House
chamber	chamber	chamber
,	,	,
and	and	and
with	with	with
good	good	good
reason	reason	reason
.	.	.
You	you	You
re	re	re
always	alway	always
talking	talk	talking
about	about	about
doing	do	doing
the	the	the
people	peopl	people
s	s	s
work	work	work
in	in	in
the	the	the
people	peopl	people
s	s	s
house	hous	house
,	,	,
yet	yet	yet
you	you	you
defy	defi	defy
the	the	the
gun	gun	gun
control	control	control
measures	measur	measure
that	that	that
90	90	90
of	of	of
the	the	the
American	american	American
people	peopl	people
want	want	want
.	.	.
You	you	You
are	are	are
doing	do	doing
the	the	the
NRA	nra	NRA
s	s	s
bidding	bid	bidding
,	,	,
and	and	and
we	we	we
all	all	all
know	know	know
it	it	it
.	.	.
I	i	I
hope	hope	hope
House	hous	House
Democrats	democrat	Democrats
tell	tell	tell
you	you	you
to	to	to
shove	shove	shove
your	your	your
crazy	crazi	crazy
ideas	idea	idea
up	up	up
your	your	your
ass	ass	as
where	where	where
they	they	they
belong	belong	belong
,	,	,
should	should	should
you	you	you
ever	ever	ever
have	have	have
the	the	the
gall	gall	gall
to	to	to
actually	actual	actually
confront	confront	confront
any	ani	any
of	of	of
them	them	them
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
