Sen	sen	Sen
.	.	.

Bernie	berni	Bernie
Sanders	sander	Sanders
I	i	I
.	.	.
,	,	,
Vt	vt	Vt
.	.	.
could	could	could
not	not	not
say	say	say
on	on	on
Wednesday	wednesday	Wednesday
where	where	where
he	he	he
got	got	got
the	the	the
information	inform	information
that	that	that
thousands	thousand	thousand
will	will	will
die	die	die
if	if	if
Obamacare	obamacar	Obamacare
is	is	is
repealed	repeal	repealed
.	.	.
Sanders	sander	Sanders
made	made	made
the	the	the
claim	claim	claim
while	while	while
speaking	speak	speaking
with	with	with
CNN	cnn	CNN
s	s	s
Jake	jake	Jake
Tapper	tapper	Tapper
but	but	but
could	could	could
not	not	not
provide	provid	provide
any	ani	any
specific	specif	specific
sources	sourc	source
that	that	that
backed	back	backed
his	his	his
assertion	assert	assertion
,	,	,
instead	instead	instead
referring	refer	referring
to	to	to
studies	studi	study
that	that	that
have	have	have
been	been	been
done	done	done
.	.	.

You	you	You
ve	ve	ve
said	said	said
if	if	if
this	this	this
repeal	repeal	repeal
and	and	and
replace	replac	replace
plan	plan	plan
goes	goe	go
forward	forward	forward
that	that	that
thousands	thousand	thousand
of	of	of
Americans	american	Americans
will	will	will
die	die	die
,	,	,
Tapper	tapper	Tapper
said	said	said
to	to	to
Sanders	sander	Sanders
.	.	.

Where	where	Where
do	do	do
you	you	you
get	get	get
that	that	that
estimate	estim	estimate
from	from	from
?	?	?

I	i	I
get	get	get
that	that	that
estimate	estim	estimate
from	from	from
the	the	the
fact	fact	fact
that	that	that
studies	studi	study
have	have	have
been	been	been
done	done	done
that	that	that
people	peopl	people
who	who	who
do	do	do
not	not	not
have	have	have
health	health	health
insurance	insur	insurance
,	,	,
who	who	who
do	do	do
not	not	not
go	go	go
to	to	to
the	the	the
doctor	doctor	doctor
when	when	when
they	they	they
should	should	should
,	,	,
who	who	who
do	do	do
not	not	not
go	go	go
to	to	to
the	the	the
hospital	hospit	hospital
when	when	when
they	they	they
need	need	need
to	to	to
go	go	go
,	,	,
in	in	in
fact	fact	fact
die	die	die
,	,	,
Sanders	sander	Sanders
said	said	said
.	.	.

And	and	And
thousands	thousand	thousand
of	of	of
people	peopl	people
die	die	die
every	everi	every
year	year	year
because	becaus	because
they	they	they
don	don	don
t	t	t
have	have	have
health	health	health
insurance	insur	insurance
.	.	.

And	and	And
if	if	if
you	you	you
throw	throw	throw
24	24	24
million	million	million
people	peopl	people
off	off	off
of	of	of
health	health	health
insurance	insur	insurance
,	,	,
there	there	there
is	is	is
no	no	no
doubt	doubt	doubt
that	that	that
many	mani	many
thousands	thousand	thousand
of	of	of
people	peopl	people
will	will	will
die	die	die
.	.	.

Jake	jake	Jake
Tapper	tapper	Tapper
then	then	then
goes	goe	go
on	on	on
to	to	to
ask	ask	ask
Bernie	berni	Bernie
Sanders	sander	Sanders
about	about	about
the	the	the
disastrous	disastr	disastrous
results	result	result
of	of	of
Obamacare	obamacar	Obamacare
,	,	,
making	make	making
insurance	insur	insurance
unaffordable	unafford	unaffordable
for	for	for
so	so	so
many	mani	many
Americans	american	Americans
.	.	.

Tapper	tapper	Tapper
tells	tell	tell
Sanders	sander	Sanders
,	,	,
In	in	In
many	mani	many
states	state	state
Obamacare	obamacar	Obamacare
is	is	is
in	in	in
dire	dire	dire
straights	straight	straight
.	.	.

The	the	The
governor	governor	governor
of	of	of
Minnesota	minnesota	Minnesota
,	,	,
a	a	a
liberal	liber	liberal
Democrat	democrat	Democrat
said	said	said
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
is	is	is
unaffordable	unafford	unaffordable
.	.	.

To	to	To
his	his	his
credit	credit	credit
,	,	,
Tapper	tapper	Tapper
continues	continu	continues
with	with	with
his	his	his
line	line	line
of	of	of
questioning	question	questioning
and	and	and
actually	actual	actually
shocks	shock	shock
Sanders	sander	Sanders
when	when	when
he	he	he
asks	ask	asks
him	him	him
,	,	,
Don	don	Don
t	t	t
the	the	the
Democrats	democrat	Democrats
own	own	own
this	this	this
bill	bill	bill
that	that	that
in	in	in
so	so	so
many	mani	many
states	state	state
is	is	is
failing	fail	failing
?	?	?

No	no	No
,	,	,
I	i	I
think	think	think
what	what	what
the	the	the
American	american	American
,	,	,
look	look	look
,	,	,
what	what	what
you	you	you
re	re	re
saying	say	saying
is	is	is
true	true	true
,	,	,
Sanders	sander	Sanders
replied	repli	replied
.	.	.

No	no	No
one	one	one
,	,	,
certainly	certain	certainly
not	not	not
me	me	me
,	,	,
that	that	that
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
Obamacare	obamacar	Obamacare
,	,	,
has	has	ha
many	mani	many
serious	serious	serious
problems	problem	problem
.	.	.

Deductibles	deduct	Deductibles
are	are	are
too	too	too
high	high	high
,	,	,
premiums	premium	premium
are	are	are
too	too	too
high	high	high
,	,	,
we	we	we
still	still	still
have	have	have
too	too	too
many	mani	many
people	peopl	people
who	who	who
don	don	don
t	t	t
have	have	have
any	ani	any
health	health	health
insurance	insur	insurance
,	,	,
Sanders	sander	Sanders
said	said	said
.	.	.

It	it	It
s	s	s
too	too	too
complicated	complic	complicated
,	,	,
it	it	it
s	s	s
too	too	too
bureaucratic	bureaucrat	bureaucratic
.	.	.

WFBYEAH	wfbyeah	WFBYEAH
Okay	okay	Okay
Bernie	berni	Bernie
whatever	whatev	whatever
you	you	you
say	say	say
Watch	watch	Watch

